Angle		Acceleration
0		0.08
0.01		0.0957997
0.02		0.111198
0.03		0.126193
0.04		0.140783
0.05		0.154968
0.06		0.168745
0.07		0.182113
0.08		0.19507
0.09		0.207617
0.1		0.21975
0.11		0.23147
0.12		0.242774
0.13		0.253662
0.14		0.264133
0.15		0.274185
0.16		0.283818
0.17		0.293031
0.18		0.301822
0.19		0.310191
0.2		0.318137
0.21		0.325659
0.22		0.332757
0.23		0.33943
0.24		0.345676
0.25		0.351496
0.26		0.356889
0.27		0.361854
0.28		0.366391
0.29		0.370499
0.3		0.374178
0.31		0.377428
0.32		0.380248
0.33		0.382638
0.34		0.384598
0.35		0.386127
0.36		0.387226
0.37		0.387894
0.38		0.388131
0.39		0.387938
0.4		0.387313
0.41		0.386258
0.42		0.384772
0.43		0.382856
0.44		0.38051
0.45		0.377733
0.46		0.374527
0.47		0.370891
0.48		0.366826
0.49		0.362333
0.5		0.357411
0.51		0.352062
0.52		0.346285
0.53		0.340082
0.54		0.333452
0.55		0.326398
0.56		0.318918
0.57		0.311015
0.58		0.302689
0.59		0.29394
0.6		0.28477
0.61		0.27518
0.62		0.26517
0.63		0.254742
0.64		0.243896
0.65		0.232633
0.66		0.220956
0.67		0.208864
0.68		0.19636
0.69		0.183444
0.7		0.170117
0.71		0.156382
0.72		0.142238
0.73		0.127689
0.74		0.112735
0.75		0.0973775
0.76		0.0816184
0.77		0.0654591
0.78		0.0489012
0.79		0.0319465
0.8		0.0145966
0.81		-0.00314679
0.82		-0.0212818
0.83		-0.0398068
0.84		-0.0587197
0.85		-0.0780188
0.86		-0.097702
0.87		-0.117768
0.88		-0.138213
0.89		-0.159037
0.9		-0.180237
0.91		-0.201811
0.92		-0.223757
0.93		-0.246072
0.94		-0.268755
0.95		-0.291803
0.96		-0.315214
0.97		-0.338985
0.98		-0.363114
0.99		-0.387599
1		-0.412437
1.01		-0.437626
1.02		-0.463163
1.03		-0.489046
1.04		-0.515272
1.05		-0.541839
1.06		-0.568743
1.07		-0.595982
1.08		-0.623554
1.09		-0.651455
1.1		-0.679684
1.11		-0.708236
1.12		-0.73711
1.13		-0.766301
1.14		-0.795808
1.15		-0.825628
1.16		-0.855757
1.17		-0.886192
1.18		-0.916931
1.19		-0.94797
1.2		-0.979306
1.21		-1.01094
1.22		-1.04286
1.23		-1.07507
1.24		-1.10756
1.25		-1.14034
1.26		-1.17339
1.27		-1.20672
1.28		-1.24031
1.29		-1.27418
1.3		-1.30831
1.31		-1.3427
1.32		-1.37735
1.33		-1.41226
1.34		-1.44741
1.35		-1.48282
1.36		-1.51846
1.37		-1.55435
1.38		-1.59047
1.39		-1.62683
1.4		-1.66341
1.41		-1.70022
1.42		-1.73726
1.43		-1.77451
1.44		-1.81197
1.45		-1.84965
1.46		-1.88753
1.47		-1.92562
1.48		-1.9639
1.49		-2.00239
1.5		-2.04106
1.51		-2.07992
1.52		-2.11897
1.53		-2.15819
1.54		-2.19759
1.55		-2.23717
1.56		-2.27691
1.57		-2.31682
