Time			Height
0			300
0.01			300
0.02			299.998
0.03			299.996
0.04			299.992
0.05			299.988
0.06			299.983
0.07			299.976
0.08			299.969
0.09			299.961
0.1			299.952
0.11			299.942
0.12			299.931
0.13			299.919
0.14			299.906
0.15			299.892
0.16			299.877
0.17			299.862
0.18			299.845
0.19			299.828
0.2			299.809
0.21			299.79
0.22			299.77
0.23			299.749
0.24			299.727
0.25			299.704
0.26			299.68
0.27			299.655
0.28			299.63
0.29			299.603
0.3			299.576
0.31			299.548
0.32			299.519
0.33			299.489
0.34			299.458
0.35			299.427
0.36			299.394
0.37			299.361
0.38			299.327
0.39			299.292
0.4			299.256
0.41			299.22
0.42			299.182
0.43			299.144
0.44			299.105
0.45			299.065
0.46			299.024
0.47			298.982
0.48			298.94
0.49			298.897
0.5			298.853
0.51			298.808
0.52			298.762
0.53			298.716
0.54			298.669
0.55			298.621
0.56			298.572
0.57			298.522
0.58			298.472
0.59			298.421
0.6			298.369
0.61			298.316
0.62			298.263
0.63			298.209
0.64			298.154
0.65			298.098
0.66			298.042
0.67			297.984
0.68			297.926
0.69			297.868
0.7			297.808
0.71			297.748
0.72			297.687
0.73			297.625
0.74			297.563
0.75			297.5
0.76			297.436
0.77			297.371
0.78			297.306
0.79			297.24
0.8			297.173
0.81			297.106
0.82			297.038
0.83			296.969
0.84			296.899
0.85			296.829
0.86			296.758
0.87			296.686
0.88			296.614
0.89			296.541
0.9			296.467
0.91			296.393
0.92			296.318
0.93			296.242
0.94			296.166
0.95			296.088
0.96			296.011
0.97			295.932
0.98			295.853
0.99			295.773
1			295.693
1.01			295.612
1.02			295.53
1.03			295.448
1.04			295.365
1.05			295.281
1.06			295.197
1.07			295.112
1.08			295.026
1.09			294.94
1.1			294.853
1.11			294.765
1.12			294.677
1.13			294.588
1.14			294.499
1.15			294.409
1.16			294.318
1.17			294.227
1.18			294.135
1.19			294.043
1.2			293.95
1.21			293.856
1.22			293.762
1.23			293.667
1.24			293.571
1.25			293.475
1.26			293.378
1.27			293.281
1.28			293.183
1.29			293.085
1.3			292.986
1.31			292.886
1.32			292.786
1.33			292.685
1.34			292.584
1.35			292.482
1.36			292.379
1.37			292.276
1.38			292.172
1.39			292.068
1.4			291.963
1.41			291.858
1.42			291.752
1.43			291.646
1.44			291.539
1.45			291.431
1.46			291.323
1.47			291.214
1.48			291.105
1.49			290.996
1.5			290.885
1.51			290.774
1.52			290.663
1.53			290.551
1.54			290.439
1.55			290.326
1.56			290.212
1.57			290.098
1.58			289.984
1.59			289.869
1.6			289.753
1.61			289.637
1.62			289.521
1.63			289.404
1.64			289.286
1.65			289.168
1.66			289.049
1.67			288.93
1.68			288.81
1.69			288.69
1.7			288.57
1.71			288.449
1.72			288.327
1.73			288.205
1.74			288.082
1.75			287.959
1.76			287.836
1.77			287.712
1.78			287.587
1.79			287.462
1.8			287.336
1.81			287.21
1.82			287.084
1.83			286.957
1.84			286.83
1.85			286.702
1.86			286.573
1.87			286.445
1.88			286.315
1.89			286.186
1.9			286.055
1.91			285.925
1.92			285.794
1.93			285.662
1.94			285.53
1.95			285.398
1.96			285.265
1.97			285.131
1.98			284.998
1.99			284.863
2			284.729
2.01			284.593
2.02			284.458
2.03			284.322
2.04			284.185
2.05			284.049
2.06			283.911
2.07			283.774
2.08			283.635
2.09			283.497
2.1			283.358
2.11			283.218
2.12			283.078
2.13			282.938
2.14			282.797
2.15			282.656
2.16			282.515
2.17			282.373
2.18			282.23
2.19			282.088
2.2			281.945
2.21			281.801
2.22			281.657
2.23			281.513
2.24			281.368
2.25			281.223
2.26			281.077
2.27			280.931
2.28			280.785
2.29			280.638
2.3			280.491
2.31			280.343
2.32			280.195
2.33			280.047
2.34			279.898
2.35			279.749
2.36			279.6
2.37			279.45
2.38			279.299
2.39			279.149
2.4			278.998
2.41			278.846
2.42			278.695
2.43			278.543
2.44			278.39
2.45			278.237
2.46			278.084
2.47			277.93
2.48			277.776
2.49			277.622
2.5			277.467
2.51			277.312
2.52			277.157
2.53			277.001
2.54			276.845
2.55			276.689
2.56			276.532
2.57			276.375
2.58			276.217
2.59			276.059
2.6			275.901
2.61			275.742
2.62			275.583
2.63			275.424
2.64			275.265
2.65			275.105
2.66			274.944
2.67			274.784
2.68			274.623
2.69			274.461
2.7			274.3
2.71			274.138
2.72			273.976
2.73			273.813
2.74			273.65
2.75			273.487
2.76			273.323
2.77			273.159
2.78			272.995
2.79			272.83
2.8			272.665
2.81			272.5
2.82			272.335
2.83			272.169
2.84			272.003
2.85			271.836
2.86			271.669
2.87			271.502
2.88			271.335
2.89			271.167
2.9			270.999
2.91			270.831
2.92			270.662
2.93			270.493
2.94			270.324
2.95			270.154
2.96			269.984
2.97			269.814
2.98			269.644
2.99			269.473
3			269.302
3.01			269.13
3.02			268.959
3.03			268.787
3.04			268.615
3.05			268.442
3.06			268.269
3.07			268.096
3.08			267.923
3.09			267.749
3.1			267.575
3.11			267.401
3.12			267.226
3.13			267.052
3.14			266.877
3.15			266.701
3.16			266.526
3.17			266.35
3.18			266.173
3.19			265.997
3.2			265.82
3.21			265.643
3.22			265.466
3.23			265.288
3.24			265.111
3.25			264.932
3.26			264.754
3.27			264.575
3.28			264.397
3.29			264.217
3.3			264.038
3.31			263.858
3.32			263.678
3.33			263.498
3.34			263.318
3.35			263.137
3.36			262.956
3.37			262.775
3.38			262.593
3.39			262.412
3.4			262.23
3.41			262.047
3.42			261.865
3.43			261.682
3.44			261.499
3.45			261.316
3.46			261.132
3.47			260.949
3.48			260.765
3.49			260.58
3.5			260.396
3.51			260.211
3.52			260.026
3.53			259.841
3.54			259.656
3.55			259.47
3.56			259.284
3.57			259.098
3.58			258.912
3.59			258.725
3.6			258.538
3.61			258.351
3.62			258.164
3.63			257.976
3.64			257.789
3.65			257.601
3.66			257.412
3.67			257.224
3.68			257.035
3.69			256.846
3.7			256.657
3.71			256.468
3.72			256.278
3.73			256.089
3.74			255.899
3.75			255.708
3.76			255.518
3.77			255.327
3.78			255.136
3.79			254.945
3.8			254.754
3.81			254.562
3.82			254.371
3.83			254.179
3.84			253.987
3.85			253.794
3.86			253.602
3.87			253.409
3.88			253.216
3.89			253.023
3.9			252.829
3.91			252.636
3.92			252.442
3.93			252.248
3.94			252.053
3.95			251.859
3.96			251.664
3.97			251.47
3.98			251.275
3.99			251.079
4			250.884
4.01			250.688
4.02			250.492
4.03			250.296
4.04			250.1
4.05			249.904
4.06			249.707
4.07			249.51
4.08			249.313
4.09			249.116
4.1			248.919
4.11			248.721
4.12			248.523
4.13			248.325
4.14			248.127
4.15			247.929
4.16			247.73
4.17			247.532
4.18			247.333
4.19			247.134
4.2			246.935
4.21			246.735
4.22			246.536
4.23			246.336
4.24			246.136
4.25			245.936
4.26			245.735
4.27			245.535
4.28			245.334
4.29			245.133
4.3			244.932
4.31			244.731
4.32			244.53
4.33			244.328
4.34			244.126
4.35			243.924
4.36			243.722
4.37			243.52
4.38			243.318
4.39			243.115
4.4			242.912
4.41			242.709
4.42			242.506
4.43			242.303
4.44			242.1
4.45			241.896
4.46			241.692
4.47			241.488
4.48			241.284
4.49			241.08
4.5			240.875
4.51			240.671
4.52			240.466
4.53			240.261
4.54			240.056
4.55			239.851
4.56			239.646
4.57			239.44
4.58			239.234
4.59			239.028
4.6			238.822
4.61			238.616
4.62			238.41
4.63			238.203
4.64			237.997
4.65			237.79
4.66			237.583
4.67			237.376
4.68			237.169
4.69			236.961
4.7			236.754
4.71			236.546
4.72			236.338
4.73			236.13
4.74			235.922
4.75			235.714
4.76			235.505
4.77			235.297
4.78			235.088
4.79			234.879
4.8			234.67
4.81			234.461
4.82			234.252
4.83			234.042
4.84			233.833
4.85			233.623
4.86			233.413
4.87			233.203
4.88			232.993
4.89			232.783
4.9			232.572
4.91			232.362
4.92			232.151
4.93			231.94
4.94			231.729
4.95			231.518
4.96			231.307
4.97			231.096
4.98			230.884
4.99			230.672
5			230.461
5.01			230.249
5.02			230.037
5.03			229.825
5.04			229.612
5.05			229.4
5.06			229.187
5.07			228.975
5.08			228.762
5.09			228.549
5.1			228.336
5.11			228.123
5.12			227.909
5.13			227.696
5.14			227.482
5.15			227.268
5.16			227.055
5.17			226.841
5.18			226.627
5.19			226.412
5.2			226.198
5.21			225.984
5.22			225.769
5.23			225.554
5.24			225.339
5.25			225.125
5.26			224.909
5.27			224.694
5.28			224.479
5.29			224.264
5.3			224.048
5.31			223.832
5.32			223.617
5.33			223.401
5.34			223.185
5.35			222.969
5.36			222.752
5.37			222.536
5.38			222.32
5.39			222.103
5.4			221.886
5.41			221.67
5.42			221.453
5.43			221.236
5.44			221.018
5.45			220.801
5.46			220.584
5.47			220.366
5.48			220.149
5.49			219.931
5.5			219.713
5.51			219.495
5.52			219.277
5.53			219.059
5.54			218.841
5.55			218.623
5.56			218.404
5.57			218.186
5.58			217.967
5.59			217.748
5.6			217.529
5.61			217.31
5.62			217.091
5.63			216.872
5.64			216.653
5.65			216.434
5.66			216.214
5.67			215.994
5.68			215.775
5.69			215.555
5.7			215.335
5.71			215.115
5.72			214.895
5.73			214.675
5.74			214.455
5.75			214.234
5.76			214.014
5.77			213.793
5.78			213.572
5.79			213.352
5.8			213.131
5.81			212.91
5.82			212.689
5.83			212.468
5.84			212.246
5.85			212.025
5.86			211.803
5.87			211.582
5.88			211.36
5.89			211.139
5.9			210.917
5.91			210.695
5.92			210.473
5.93			210.251
5.94			210.029
5.95			209.806
5.96			209.584
5.97			209.361
5.98			209.139
5.99			208.916
6			208.694
6.01			208.471
6.02			208.248
6.03			208.025
6.04			207.802
6.05			207.579
6.06			207.355
6.07			207.132
6.08			206.909
6.09			206.685
6.1			206.461
6.11			206.238
6.12			206.014
6.13			205.79
6.14			205.566
6.15			205.342
6.16			205.118
6.17			204.894
6.18			204.67
6.19			204.445
6.2			204.221
6.21			203.996
6.22			203.772
6.23			203.547
6.24			203.322
6.25			203.097
6.26			202.872
6.27			202.647
6.28			202.422
6.29			202.197
6.3			201.972
6.31			201.747
6.32			201.521
6.33			201.296
6.34			201.07
6.35			200.844
6.36			200.619
6.37			200.393
6.38			200.167
6.39			199.941
6.4			199.715
6.41			199.489
6.42			199.263
6.43			199.037
6.44			198.81
6.45			198.584
6.46			198.357
6.47			198.131
6.48			197.904
6.49			197.678
6.5			197.451
6.51			197.224
6.52			196.997
6.53			196.77
6.54			196.543
6.55			196.316
6.56			196.089
6.57			195.861
6.58			195.634
6.59			195.407
6.6			195.179
6.61			194.952
6.62			194.724
6.63			194.496
6.64			194.268
6.65			194.041
6.66			193.813
6.67			193.585
6.68			193.357
6.69			193.129
6.7			192.901
6.71			192.672
6.72			192.444
6.73			192.216
6.74			191.987
6.75			191.759
6.76			191.53
6.77			191.301
6.78			191.073
6.79			190.844
6.8			190.615
6.81			190.386
6.82			190.157
6.83			189.928
6.84			189.699
6.85			189.47
6.86			189.241
6.87			189.012
6.88			188.782
6.89			188.553
6.9			188.323
6.91			188.094
6.92			187.864
6.93			187.635
6.94			187.405
6.95			187.175
6.96			186.945
6.97			186.715
6.98			186.485
6.99			186.255
7			186.025
7.01			185.795
7.02			185.565
7.03			185.335
7.04			185.105
7.05			184.874
7.06			184.644
7.07			184.413
7.08			184.183
7.09			183.952
7.1			183.721
7.11			183.491
7.12			183.26
7.13			183.029
7.14			182.798
7.15			182.567
7.16			182.336
7.17			182.105
7.18			181.874
7.19			181.643
7.2			181.412
7.21			181.18
7.22			180.949
7.23			180.718
7.24			180.486
7.25			180.255
7.26			180.023
7.27			179.792
7.28			179.56
7.29			179.328
7.3			179.097
7.31			178.865
7.32			178.633
7.33			178.401
7.34			178.169
7.35			177.937
7.36			177.705
7.37			177.473
7.38			177.241
7.39			177.008
7.4			176.776
7.41			176.544
7.42			176.311
7.43			176.079
7.44			175.846
7.45			175.614
7.46			175.381
7.47			175.149
7.48			174.916
7.49			174.683
7.5			174.451
7.51			174.218
7.52			173.985
7.53			173.752
7.54			173.519
7.55			173.286
7.56			173.053
7.57			172.82
7.58			172.587
7.59			172.353
7.6			172.12
7.61			171.887
7.62			171.653
7.63			171.42
7.64			171.187
7.65			170.953
7.66			170.72
7.67			170.486
7.68			170.252
7.69			170.019
7.7			169.785
7.71			169.551
7.72			169.317
7.73			169.084
7.74			168.85
7.75			168.616
7.76			168.382
7.77			168.148
7.78			167.914
7.79			167.68
7.8			167.445
7.81			167.211
7.82			166.977
7.83			166.743
7.84			166.508
7.85			166.274
7.86			166.04
7.87			165.805
7.88			165.571
7.89			165.336
7.9			165.101
7.91			164.867
7.92			164.632
7.93			164.397
7.94			164.163
7.95			163.928
7.96			163.693
7.97			163.458
7.98			163.223
7.99			162.988
8			162.753
8.01			162.518
8.02			162.283
8.03			162.048
8.04			161.813
8.05			161.578
8.06			161.343
8.07			161.107
8.08			160.872
8.09			160.637
8.1			160.401
8.11			160.166
8.12			159.93
8.13			159.695
8.14			159.459
8.15			159.224
8.16			158.988
8.17			158.752
8.18			158.517
8.19			158.281
8.2			158.045
8.21			157.809
8.22			157.574
8.23			157.338
8.24			157.102
8.25			156.866
8.26			156.63
8.27			156.394
8.28			156.158
8.29			155.922
8.3			155.686
8.31			155.449
8.32			155.213
8.33			154.977
8.34			154.741
8.35			154.504
8.36			154.268
8.37			154.032
8.38			153.795
8.39			153.559
8.4			153.322
8.41			153.086
8.42			152.849
8.43			152.613
8.44			152.376
8.45			152.14
8.46			151.903
8.47			151.666
8.48			151.429
8.49			151.193
8.5			150.956
8.51			150.719
8.52			150.482
8.53			150.245
8.54			150.008
8.55			149.771
8.56			149.534
8.57			149.297
8.58			149.06
8.59			148.823
8.6			148.586
8.61			148.349
8.62			148.112
8.63			147.874
8.64			147.637
8.65			147.4
8.66			147.163
8.67			146.925
8.68			146.688
8.69			146.45
8.7			146.213
8.71			145.976
8.72			145.738
8.73			145.501
8.74			145.263
8.75			145.025
8.76			144.788
8.77			144.55
8.78			144.312
8.79			144.075
8.8			143.837
8.81			143.599
8.82			143.361
8.83			143.124
8.84			142.886
8.85			142.648
8.86			142.41
8.87			142.172
8.88			141.934
8.89			141.696
8.9			141.458
8.91			141.22
8.92			140.982
8.93			140.744
8.94			140.506
8.95			140.268
8.96			140.029
8.97			139.791
8.98			139.553
8.99			139.315
9			139.076
9.01			138.838
9.02			138.6
9.03			138.361
9.04			138.123
9.05			137.885
9.06			137.646
9.07			137.408
9.08			137.169
9.09			136.931
9.1			136.692
9.11			136.453
9.12			136.215
9.13			135.976
9.14			135.738
9.15			135.499
9.16			135.26
9.17			135.021
9.18			134.783
9.19			134.544
9.2			134.305
9.21			134.066
9.22			133.827
9.23			133.589
9.24			133.35
9.25			133.111
9.26			132.872
9.27			132.633
9.28			132.394
9.29			132.155
9.3			131.916
9.31			131.677
9.32			131.437
9.33			131.198
9.34			130.959
9.35			130.72
9.36			130.481
9.37			130.242
9.38			130.002
9.39			129.763
9.4			129.524
9.41			129.285
9.42			129.045
9.43			128.806
9.44			128.567
9.45			128.327
9.46			128.088
9.47			127.848
9.48			127.609
9.49			127.369
9.5			127.13
9.51			126.89
9.52			126.651
9.53			126.411
9.54			126.172
9.55			125.932
9.56			125.692
9.57			125.453
9.58			125.213
9.59			124.973
9.6			124.734
9.61			124.494
9.62			124.254
9.63			124.014
9.64			123.774
9.65			123.535
9.66			123.295
9.67			123.055
9.68			122.815
9.69			122.575
9.7			122.335
9.71			122.095
9.72			121.855
9.73			121.615
9.74			121.375
9.75			121.135
9.76			120.895
9.77			120.655
9.78			120.415
9.79			120.175
9.8			119.935
9.81			119.695
9.82			119.454
9.83			119.214
9.84			118.974
9.85			118.734
9.86			118.494
9.87			118.253
9.88			118.013
9.89			117.773
9.9			117.532
9.91			117.292
9.92			117.052
9.93			116.811
9.94			116.571
9.95			116.331
9.96			116.09
9.97			115.85
9.98			115.609
9.99			115.369
10			115.128
10.01			114.888
10.02			114.647
10.03			114.407
10.04			114.166
10.05			113.925
10.06			113.685
10.07			113.444
10.08			113.203
10.09			112.963
10.1			112.722
10.11			112.481
10.12			112.241
10.13			112
10.14			111.759
10.15			111.518
10.16			111.278
10.17			111.037
10.18			110.796
10.19			110.555
10.2			110.314
10.21			110.074
10.22			109.833
10.23			109.592
10.24			109.351
10.25			109.11
10.26			108.869
10.27			108.628
10.28			108.387
10.29			108.146
10.3			107.905
10.31			107.664
10.32			107.423
10.33			107.182
10.34			106.941
10.35			106.7
10.36			106.459
10.37			106.217
10.38			105.976
10.39			105.735
10.4			105.494
10.41			105.253
10.42			105.012
10.43			104.77
10.44			104.529
10.45			104.288
10.46			104.047
10.47			103.805
10.48			103.564
10.49			103.323
10.5			103.082
10.51			102.84
10.52			102.599
10.53			102.357
10.54			102.116
10.55			101.875
10.56			101.633
10.57			101.392
10.58			101.15
10.59			100.909
10.6			100.668
10.61			100.426
10.62			100.185
10.63			99.9431
10.64			99.7015
10.65			99.46
10.66			99.2185
10.67			98.9769
10.68			98.7353
10.69			98.4937
10.7			98.2521
10.71			98.0105
10.72			97.7689
10.73			97.5273
10.74			97.2856
10.75			97.0439
10.76			96.8022
10.77			96.5605
10.78			96.3188
10.79			96.0771
10.8			95.8354
10.81			95.5936
10.82			95.3519
10.83			95.1101
10.84			94.8683
10.85			94.6265
10.86			94.3847
10.87			94.1429
10.88			93.901
10.89			93.6592
10.9			93.4173
10.91			93.1754
10.92			92.9336
10.93			92.6917
10.94			92.4497
10.95			92.2078
10.96			91.9659
10.97			91.7239
10.98			91.482
10.99			91.24
11			90.998
11.01			90.756
11.02			90.514
11.03			90.272
11.04			90.0299
11.05			89.7879
11.06			89.5458
11.07			89.3038
11.08			89.0617
11.09			88.8196
11.1			88.5775
11.11			88.3354
11.12			88.0933
11.13			87.8511
11.14			87.609
11.15			87.3668
11.16			87.1246
11.17			86.8824
11.18			86.6403
11.19			86.398
11.2			86.1558
11.21			85.9136
11.22			85.6714
11.23			85.4291
11.24			85.1868
11.25			84.9446
11.26			84.7023
11.27			84.46
11.28			84.2177
11.29			83.9754
11.3			83.733
11.31			83.4907
11.32			83.2484
11.33			83.006
11.34			82.7636
11.35			82.5213
11.36			82.2789
11.37			82.0365
11.38			81.7941
11.39			81.5516
11.4			81.3092
11.41			81.0668
11.42			80.8243
11.43			80.5818
11.44			80.3394
11.45			80.0969
11.46			79.8544
11.47			79.6119
11.48			79.3694
11.49			79.1269
11.5			78.8843
11.51			78.6418
11.52			78.3992
11.53			78.1567
11.54			77.9141
11.55			77.6715
11.56			77.4289
11.57			77.1863
11.58			76.9437
11.59			76.7011
11.6			76.4585
11.61			76.2158
11.62			75.9732
11.63			75.7305
11.64			75.4879
11.65			75.2452
11.66			75.0025
11.67			74.7598
11.68			74.5171
11.69			74.2744
11.7			74.0317
11.71			73.7889
11.72			73.5462
11.73			73.3034
11.74			73.0607
11.75			72.8179
11.76			72.5751
11.77			72.3324
11.78			72.0896
11.79			71.8468
11.8			71.6039
11.81			71.3611
11.82			71.1183
11.83			70.8755
11.84			70.6326
11.85			70.3898
11.86			70.1469
11.87			69.904
11.88			69.6611
11.89			69.4183
11.9			69.1754
11.91			68.9325
11.92			68.6895
11.93			68.4466
11.94			68.2037
11.95			67.9607
11.96			67.7178
11.97			67.4748
11.98			67.2319
11.99			66.9889
12			66.7459
12.01			66.5029
12.02			66.2599
12.03			66.0169
12.04			65.7739
12.05			65.5309
12.06			65.2879
12.07			65.0448
12.08			64.8018
12.09			64.5588
12.1			64.3157
12.11			64.0726
12.12			63.8296
12.13			63.5865
12.14			63.3434
12.15			63.1003
12.16			62.8572
12.17			62.6141
12.18			62.3709
12.19			62.1278
12.2			61.8847
12.21			61.6415
12.22			61.3984
12.23			61.1552
12.24			60.9121
12.25			60.6689
12.26			60.4257
12.27			60.1825
12.28			59.9393
12.29			59.6961
12.3			59.4529
12.31			59.2097
12.32			58.9665
12.33			58.7233
12.34			58.48
12.35			58.2368
12.36			57.9935
12.37			57.7503
12.38			57.507
12.39			57.2637
12.4			57.0205
12.41			56.7772
12.42			56.5339
12.43			56.2906
12.44			56.0473
12.45			55.804
12.46			55.5606
