Position			b=0.3		b=4.0
0		1			1
0.01		0.998303			0.980199
0.02		0.996211			0.960789
0.03		0.993729			0.941765
0.04		0.990857			0.923116
0.05		0.987597			0.904837
0.06		0.983953			0.88692
0.07		0.979927			0.869358
0.08		0.975522			0.852144
0.09		0.97074			0.83527
0.1		0.965585			0.818731
0.11		0.96006			0.802519
0.12		0.954168			0.786628
0.13		0.947912			0.771052
0.14		0.941297			0.755784
0.15		0.934325			0.740818
0.16		0.927001			0.726149
0.17		0.919329			0.71177
0.18		0.911313			0.697676
0.19		0.902957			0.683861
0.2		0.894265			0.67032
0.21		0.885242			0.657047
0.22		0.875892			0.644036
0.23		0.866221			0.631284
0.24		0.856232			0.618783
0.25		0.845932			0.606531
0.26		0.835325			0.594521
0.27		0.824415			0.582748
0.28		0.81321			0.571209
0.29		0.801713			0.559898
0.3		0.78993			0.548812
0.31		0.777867			0.537944
0.32		0.765529			0.527292
0.33		0.752923			0.516851
0.34		0.740054			0.506617
0.35		0.726928			0.496585
0.36		0.71355			0.486752
0.37		0.699928			0.477114
0.38		0.686067			0.467666
0.39		0.671974			0.458406
0.4		0.657654			0.449329
0.41		0.643115			0.440432
0.42		0.628362			0.431711
0.43		0.613403			0.423162
0.44		0.598243			0.414783
0.45		0.58289			0.40657
0.46		0.56735			0.398519
0.47		0.55163			0.390628
0.48		0.535737			0.382893
0.49		0.519678			0.375311
0.5		0.503459			0.367879
0.51		0.487087			0.360595
0.52		0.47057			0.353455
0.53		0.453915			0.346456
0.54		0.437128			0.339596
0.55		0.420217			0.332871
0.56		0.403189			0.32628
0.57		0.38605			0.319819
0.58		0.368809			0.313486
0.59		0.351472			0.307279
0.6		0.334047			0.301194
0.61		0.316541			0.29523
0.62		0.29896			0.289384
0.63		0.281313			0.283654
0.64		0.263606			0.278037
0.65		0.245847			0.272532
0.66		0.228044			0.267135
0.67		0.210202			0.261846
0.68		0.19233			0.256661
0.69		0.174434			0.251579
0.7		0.156523			0.246597
0.71		0.138602			0.241714
0.72		0.12068			0.236928
0.73		0.102764			0.232236
0.74		0.0848599			0.227638
0.75		0.0669757			0.22313
0.76		0.0491184			0.218712
0.77		0.0312949			0.214381
0.78		0.0135123			0.210136
0.79		-0.00422243			0.205975
0.8		-0.0219023			0.201897
0.81		-0.0395205			0.197899
0.82		-0.0570702			0.19398
0.83		-0.0745445			0.190139
0.84		-0.0919366			0.186374
0.85		-0.10924			0.182684
0.86		-0.126448			0.179066
0.87		-0.143554			0.17552
0.88		-0.160551			0.172045
0.89		-0.177433			0.168638
0.9		-0.194194			0.165299
0.91		-0.210827			0.162026
0.92		-0.227326			0.158817
0.93		-0.243685			0.155673
0.94		-0.259897			0.15259
0.95		-0.275957			0.149569
0.96		-0.291859			0.146607
0.97		-0.307597			0.143704
0.98		-0.323164			0.140858
0.99		-0.338556			0.138069
1		-0.353767			0.135335
1.01		-0.36879			0.132655
1.02		-0.383622			0.130029
1.03		-0.398256			0.127454
1.04		-0.412686			0.12493
1.05		-0.426909			0.122456
1.06		-0.440919			0.120032
1.07		-0.454711			0.117655
1.08		-0.468279			0.115325
1.09		-0.48162			0.113042
1.1		-0.494729			0.110803
1.11		-0.507601			0.108609
1.12		-0.520232			0.106459
1.13		-0.532617			0.10435
1.14		-0.544752			0.102284
1.15		-0.556633			0.100259
1.16		-0.568257			0.0982736
1.17		-0.579618			0.0963276
1.18		-0.590714			0.0944202
1.19		-0.601541			0.0925506
1.2		-0.612095			0.090718
1.21		-0.622373			0.0889216
1.22		-0.632372			0.0871609
1.23		-0.642088			0.085435
1.24		-0.651519			0.0837432
1.25		-0.660661			0.082085
1.26		-0.669512			0.0804596
1.27		-0.67807			0.0788664
1.28		-0.68633			0.0773047
1.29		-0.694292			0.075774
1.3		-0.701953			0.0742736
1.31		-0.70931			0.0728029
1.32		-0.716362			0.0713613
1.33		-0.723107			0.0699482
1.34		-0.729543			0.0685632
1.35		-0.735668			0.0672055
1.36		-0.741481			0.0658748
1.37		-0.74698			0.0645703
1.38		-0.752165			0.0632918
1.39		-0.757034			0.0620385
1.4		-0.761585			0.0608101
1.41		-0.765819			0.0596059
1.42		-0.769735			0.0584257
1.43		-0.773331			0.0572688
1.44		-0.776608			0.0561348
1.45		-0.779564			0.0550232
1.46		-0.782201			0.0539337
1.47		-0.784517			0.0528657
1.48		-0.786513			0.0518189
1.49		-0.788189			0.0507928
1.5		-0.789545			0.0497871
1.51		-0.790581			0.0488012
1.52		-0.791299			0.0478349
1.53		-0.791699			0.0468877
1.54		-0.791781			0.0459593
1.55		-0.791546			0.0450492
1.56		-0.790997			0.0441572
1.57		-0.790133			0.0432828
1.58		-0.788956			0.0424257
1.59		-0.787467			0.0415857
1.6		-0.785668			0.0407622
1.61		-0.783561			0.0399551
1.62		-0.781148			0.0391639
1.63		-0.778429			0.0383884
1.64		-0.775408			0.0376283
1.65		-0.772086			0.0368832
1.66		-0.768466			0.0361528
1.67		-0.76455			0.035437
1.68		-0.76034			0.0347353
1.69		-0.755839			0.0340475
1.7		-0.75105			0.0333733
1.71		-0.745975			0.0327124
1.72		-0.740617			0.0320647
1.73		-0.73498			0.0314298
1.74		-0.729066			0.0308074
1.75		-0.722878			0.0301974
1.76		-0.71642			0.0295994
1.77		-0.709696			0.0290133
1.78		-0.702708			0.0284388
1.79		-0.69546			0.0278757
1.8		-0.687957			0.0273237
1.81		-0.680201			0.0267827
1.82		-0.672197			0.0262523
1.83		-0.663948			0.0257325
1.84		-0.655459			0.025223
1.85		-0.646733			0.0247235
1.86		-0.637775			0.024234
1.87		-0.62859			0.0237541
1.88		-0.619181			0.0232837
1.89		-0.609552			0.0228227
1.9		-0.599709			0.0223708
1.91		-0.589656			0.0219278
1.92		-0.579398			0.0214936
1.93		-0.568939			0.021068
1.94		-0.558284			0.0206508
1.95		-0.547438			0.0202419
1.96		-0.536406			0.0198411
1.97		-0.525193			0.0194482
1.98		-0.513804			0.0190631
1.99		-0.502243			0.0186856
2		-0.490516			0.0183156
2.01		-0.478629			0.017953
2.02		-0.466586			0.0175975
2.03		-0.454393			0.017249
2.04		-0.442055			0.0169075
2.05		-0.429578			0.0165727
2.06		-0.416966			0.0162445
2.07		-0.404225			0.0159229
2.08		-0.391361			0.0156076
2.09		-0.37838			0.0152985
2.1		-0.365286			0.0149956
2.11		-0.352085			0.0146986
2.12		-0.338784			0.0144076
2.13		-0.325387			0.0141223
2.14		-0.3119			0.0138427
2.15		-0.298329			0.0135686
2.16		-0.284679			0.0132999
2.17		-0.270957			0.0130365
2.18		-0.257167			0.0127784
2.19		-0.243316			0.0125254
2.2		-0.22941			0.0122773
2.21		-0.215453			0.0120342
2.22		-0.201452			0.0117959
2.23		-0.187413			0.0115624
2.24		-0.173341			0.0113334
2.25		-0.159242			0.011109
2.26		-0.145121			0.010889
2.27		-0.130985			0.0106734
2.28		-0.116839			0.0104621
2.29		-0.102688			0.0102549
2.3		-0.0885394			0.0100518
2.31		-0.0743974			0.0098528
2.32		-0.0602679			0.0096577
2.33		-0.0461568			0.00946646
2.34		-0.0320695			0.00927901
2.35		-0.0180115			0.00909528
2.36		-0.00398852			0.00891518
2.37		0.00999408			0.00873865
2.38		0.0239308			0.00856561
2.39		0.0378162			0.008396
2.4		0.0516449			0.00822975
2.41		0.0654116			0.00806679
2.42		0.0791109			0.00790705
2.43		0.0927376			0.00775048
2.44		0.106286			0.00759701
2.45		0.119752			0.00744658
2.46		0.13313			0.00729913
2.47		0.146414			0.0071546
2.48		0.1596			0.00701293
2.49		0.172683			0.00687406
2.5		0.185658			0.00673795
2.51		0.19852			0.00660453
2.52		0.211263			0.00647375
2.53		0.223885			0.00634556
2.54		0.236379			0.00621991
2.55		0.248741			0.00609675
2.56		0.260967			0.00597602
2.57		0.273052			0.00585769
2.58		0.284992			0.0057417
2.59		0.296782			0.00562801
2.6		0.308418			0.00551656
2.61		0.319897			0.00540733
2.62		0.331213			0.00530026
2.63		0.342363			0.0051953
2.64		0.353343			0.00509243
2.65		0.364149			0.00499159
2.66		0.374777			0.00489275
2.67		0.385223			0.00479587
2.68		0.395485			0.00470091
2.69		0.405557			0.00460782
2.7		0.415438			0.00451658
2.71		0.425123			0.00442715
2.72		0.434609			0.00433948
2.73		0.443893			0.00425356
2.74		0.452972			0.00416933
2.75		0.461844			0.00408677
2.76		0.470504			0.00400585
2.77		0.47895			0.00392653
2.78		0.487179			0.00384878
2.79		0.49519			0.00377257
2.8		0.502978			0.00369786
2.81		0.510542			0.00362464
2.82		0.51788			0.00355287
2.83		0.524989			0.00348252
2.84		0.531867			0.00341356
2.85		0.538512			0.00334597
2.86		0.544922			0.00327971
2.87		0.551095			0.00321477
2.88		0.55703			0.00315111
2.89		0.562724			0.00308872
2.9		0.568177			0.00302755
2.91		0.573386			0.00296761
2.92		0.578351			0.00290884
2.93		0.58307			0.00285124
2.94		0.587541			0.00279479
2.95		0.591765			0.00273944
2.96		0.59574			0.0026852
2.97		0.599465			0.00263203
2.98		0.602939			0.00257991
2.99		0.606162			0.00252883
3		0.609134			0.00247875
3.01		0.611853			0.00242967
3.02		0.614319			0.00238156
3.03		0.616533			0.0023344
3.04		0.618494			0.00228818
3.05		0.620203			0.00224287
3.06		0.621658			0.00219846
3.07		0.622861			0.00215492
3.08		0.623811			0.00211225
3.09		0.624509			0.00207043
3.1		0.624956			0.00202943
3.11		0.625152			0.00198925
3.12		0.625098			0.00194986
3.13		0.624794			0.00191125
3.14		0.624242			0.0018734
3.15		0.623441			0.0018363
3.16		0.622395			0.00179994
3.17		0.621103			0.0017643
3.18		0.619566			0.00172937
3.19		0.617787			0.00169512
3.2		0.615766			0.00166156
3.21		0.613506			0.00162866
3.22		0.611007			0.00159641
3.23		0.608272			0.0015648
3.24		0.605302			0.00153381
3.25		0.602099			0.00150344
3.26		0.598665			0.00147367
3.27		0.595003			0.00144449
3.28		0.591113			0.00141589
3.29		0.587			0.00138785
3.3		0.582664			0.00136037
3.31		0.578108			0.00133343
3.32		0.573336			0.00130703
3.33		0.568348			0.00128115
3.34		0.563149			0.00125578
3.35		0.55774			0.00123091
3.36		0.552125			0.00120654
3.37		0.546306			0.00118265
3.38		0.540286			0.00115923
3.39		0.534068			0.00113627
3.4		0.527656			0.00111378
3.41		0.521052			0.00109172
3.42		0.51426			0.0010701
3.43		0.507283			0.00104891
3.44		0.500124			0.00102814
3.45		0.492787			0.00100779
3.46		0.485275			0.00098783
3.47		0.477592			0.00096827
3.48		0.469741			0.000949097
3.49		0.461725			0.000930303
3.5		0.45355			0.000911882
3.51		0.445218			0.000893825
3.52		0.436733			0.000876127
3.53		0.428099			0.000858778
3.54		0.41932			0.000841773
3.55		0.410399			0.000825105
3.56		0.401342			0.000808767
3.57		0.392151			0.000792752
3.58		0.382831			0.000777055
3.59		0.373387			0.000761668
3.6		0.363821			0.000746586
3.61		0.354139			0.000731802
3.62		0.344344			0.000717312
3.63		0.334441			0.000703108
3.64		0.324435			0.000689186
3.65		0.314328			0.000675539
3.66		0.304127			0.000662162
3.67		0.293834			0.000649051
3.68		0.283455			0.000636198
3.69		0.272994			0.000623601
3.7		0.262455			0.000611253
3.71		0.251843			0.000599149
3.72		0.241162			0.000587285
3.73		0.230417			0.000575656
3.74		0.219612			0.000564257
3.75		0.208752			0.000553084
3.76		0.19784			0.000542133
3.77		0.186883			0.000531398
3.78		0.175883			0.000520875
3.79		0.164847			0.000510561
3.8		0.153777			0.000500451
3.81		0.142679			0.000490542
3.82		0.131558			0.000480828
3.83		0.120417			0.000471307
3.84		0.109262			0.000461975
3.85		0.0980963			0.000452827
3.86		0.0869249			0.000443861
3.87		0.0757523			0.000435072
3.88		0.0645829			0.000426457
3.89		0.0534212			0.000418012
3.9		0.0422716			0.000409735
3.91		0.0311384			0.000401622
3.92		0.0200262			0.000393669
3.93		0.00893932			0.000385874
3.94		-0.00211796			0.000378233
3.95		-0.0131413			0.000370744
3.96		-0.0241263			0.000363402
3.97		-0.0350688			0.000356206
3.98		-0.0459645			0.000349153
3.99		-0.0568092			0.000342239
4		-0.0675988			0.000335463
4.01		-0.078329			0.00032882
4.02		-0.0889958			0.000322309
4.03		-0.0995951			0.000315927
4.04		-0.110123			0.000309671
4.05		-0.120575			0.000303539
4.06		-0.130948			0.000297529
4.07		-0.141237			0.000291637
4.08		-0.15144			0.000285862
4.09		-0.161551			0.000280202
4.1		-0.171567			0.000274654
4.11		-0.181485			0.000269215
4.12		-0.191301			0.000263884
4.13		-0.20101			0.000258659
4.14		-0.210611			0.000253537
4.15		-0.220098			0.000248517
4.16		-0.22947			0.000243596
4.17		-0.238721			0.000238772
4.18		-0.24785			0.000234044
4.19		-0.256852			0.00022941
4.2		-0.265724			0.000224867
4.21		-0.274464			0.000220415
4.22		-0.283068			0.00021605
4.23		-0.291534			0.000211772
4.24		-0.299857			0.000207579
4.25		-0.308036			0.000203468
4.26		-0.316067			0.000199439
4.27		-0.323948			0.00019549
4.28		-0.331676			0.000191619
4.29		-0.339248			0.000187825
4.3		-0.346663			0.000184106
4.31		-0.353916			0.00018046
4.32		-0.361007			0.000176887
4.33		-0.367932			0.000173384
4.34		-0.374689			0.000169951
4.35		-0.381276			0.000166586
4.36		-0.387692			0.000163287
4.37		-0.393933			0.000160054
4.38		-0.399999			0.000156885
4.39		-0.405886			0.000153778
4.4		-0.411594			0.000150733
4.41		-0.41712			0.000147748
4.42		-0.422463			0.000144823
4.43		-0.427621			0.000141955
4.44		-0.432593			0.000139144
4.45		-0.437378			0.000136389
4.46		-0.441973			0.000133688
4.47		-0.446378			0.000131041
4.48		-0.450592			0.000128446
4.49		-0.454613			0.000125903
4.5		-0.45844			0.00012341
4.51		-0.462073			0.000120966
4.52		-0.465511			0.000118571
4.53		-0.468752			0.000116223
4.54		-0.471796			0.000113922
4.55		-0.474643			0.000111666
4.56		-0.477292			0.000109455
4.57		-0.479742			0.000107287
4.58		-0.481993			0.000105163
4.59		-0.484045			0.000103081
4.6		-0.485898			0.000101039
4.61		-0.48755			9.90387e-005
4.62		-0.489004			9.70776e-005
4.63		-0.490257			9.51553e-005
4.64		-0.491311			9.32711e-005
4.65		-0.492166			9.14242e-005
4.66		-0.492821			8.96139e-005
4.67		-0.493278			8.78394e-005
4.68		-0.493536			8.61001e-005
4.69		-0.493597			8.43952e-005
4.7		-0.49346			8.27241e-005
4.71		-0.493126			8.1086e-005
4.72		-0.492597			7.94804e-005
4.73		-0.491872			7.79066e-005
4.74		-0.490953			7.63639e-005
4.75		-0.489841			7.48518e-005
4.76		-0.488536			7.33697e-005
4.77		-0.48704			7.19168e-005
4.78		-0.485355			7.04928e-005
4.79		-0.48348			6.90969e-005
4.8		-0.481418			6.77287e-005
4.81		-0.47917			6.63876e-005
4.82		-0.476737			6.50731e-005
4.83		-0.474121			6.37845e-005
4.84		-0.471323			6.25215e-005
4.85		-0.468346			6.12835e-005
4.86		-0.465191			6.007e-005
4.87		-0.461859			5.88805e-005
4.88		-0.458353			5.77146e-005
4.89		-0.454674			5.65718e-005
