Terms		x=PI/4.0		x=PI/3.0
10		0.00492312		0.00620612
11		0.00443002		0.0055829
12		0.00402666		0.00507337
13		0.00369058		0.00464903
14		0.00340627		0.00429017
15		0.00316261		0.00398272
16		0.00295147		0.00371638
17		0.00276675		0.00348342
18		0.00260378		0.00327794
19		0.00245895		0.00309534
20		0.00232937		0.00293202
21		0.00221276		0.00278506
22		0.00210727		0.00265212
23		0.00201138		0.0025313
24		0.00192383		0.00242101
25		0.00184359		0.00231992
26		0.00176977		0.00222694
27		0.00170164		0.00214112
28		0.00163855		0.00206167
29		0.00157998		0.0019879
30		0.00152545		0.00191924
31		0.00147456		0.00185515
32		0.00142695		0.00179521
33		0.00138232		0.00173902
34		0.0013404		0.00168624
35		0.00130094		0.00163657
36		0.00126374		0.00158974
37		0.00122861		0.00154552
38		0.00119538		0.00150369
39		0.0011639		0.00146406
40		0.00113404		0.00142647
41		0.00110567		0.00139076
42		0.00107868		0.0013568
43		0.00105298		0.00132445
44		0.00102848		0.00129361
45		0.00100509		0.00126418
46		0.00098274		0.00123605
47		0.000961363		0.00120915
48		0.000940896		0.0011834
49		0.000921282		0.00115872
50		0.00090247		0.00113504
51		0.00088441		0.00111232
52		0.000867059		0.00109048
53		0.000850376		0.00106949
54		0.000834323		0.00104929
55		0.000818864		0.00102984
56		0.000803968		0.0010111
57		0.000789604		0.000993028
58		0.000775744		0.00097559
59		0.000762363		0.000958754
60		0.000749435		0.000942489
61		0.000736938		0.000926767
62		0.000724852		0.000911561
63		0.000713155		0.000896846
64		0.00070183		0.000882598
65		0.000690859		0.000868796
66		0.000680226		0.000855419
67		0.000669915		0.000842447
68		0.000659912		0.000829863
69		0.000650203		0.00081765
70		0.000640776		0.000805791
71		0.000631618		0.00079427
72		0.000622718		0.000783075
73		0.000614066		0.000772191
74		0.000605651		0.000761605
75		0.000597463		0.000751306
76		0.000589494		0.000741281
77		0.000581734		0.000731521
78		0.000574176		0.000722014
79		0.000566812		0.000712751
80		0.000559635		0.000703722
81		0.000552637		0.00069492
82		0.000545812		0.000686335
83		0.000539153		0.000677959
84		0.000532655		0.000669786
85		0.000526311		0.000661807
86		0.000520117		0.000654016
87		0.000514067		0.000646407
88		0.000508157		0.000638972
89		0.00050238		0.000631707
90		0.000496734		0.000624604
91		0.000491212		0.00061766
92		0.000485813		0.000610869
93		0.000480531		0.000604225
94		0.000475362		0.000597724
95		0.000470303		0.000591362
96		0.000465351		0.000585133
97		0.000460502		0.000579035
98		0.000455753		0.000573062
99		0.000451101		0.000567211
100		0.000446543		0.000561479
