x		n=2			n=3			n=4			n=5			n=6			n=7			n=8			
-3.14159		-4.89851e-016			-7.34764e-016			-9.79685e-016			-1.22461e-015			-1.46953e-015			-1.71445e-015			-1.95937e-015			
-3.13159		-0.0399983			-0.0599953			-0.07999			-0.0999817			-0.11997			-0.139953			-0.159932			
-3.12159		-0.0799867			-0.119963			-0.15992			-0.199853			-0.239757			-0.279627			-0.319456			
-3.11159		-0.119955			-0.179874			-0.23973			-0.299505			-0.359182			-0.418742			-0.478168			
-3.10159		-0.159893			-0.239702			-0.319361			-0.398828			-0.478063			-0.557021			-0.635663			
-3.09159		-0.199792			-0.299417			-0.398752			-0.497713			-0.59622			-0.694191			-0.791546			
-3.08159		-0.23964			-0.358993			-0.477845			-0.596053			-0.713477			-0.82998			-0.945425			
-3.07159		-0.279429			-0.418402			-0.55658			-0.693739			-0.829659			-0.964124			-1.09692			
-3.06159		-0.319148			-0.477616			-0.634899			-0.790667			-0.944593			-1.09636			-1.24566			
-3.05159		-0.358787			-0.536608			-0.712745			-0.886731			-1.05811			-1.22644			-1.39128			
-3.04159		-0.398336			-0.59535			-0.790059			-0.981829			-1.17004			-1.35411			-1.53344			
-3.03159		-0.437786			-0.653815			-0.866785			-1.07586			-1.28023			-1.47913			-1.67181			
-3.02159		-0.477127			-0.711977			-0.942866			-1.16872			-1.38852			-1.60127			-1.80607			
-3.01159		-0.516349			-0.769808			-1.01825			-1.26032			-1.49475			-1.72032			-1.93592			
-3.00159		-0.555442			-0.827282			-1.09288			-1.35056			-1.59878			-1.83606			-2.06109			
-2.99159		-0.594396			-0.884373			-1.16669			-1.43935			-1.70046			-1.94829			-2.1813			
-2.98159		-0.633203			-0.941056			-1.23965			-1.5266			-1.79966			-2.05683			-2.29634			
-2.97159		-0.671852			-0.997303			-1.3117			-1.61221			-1.89625			-2.1615			-2.40596			
-2.96159		-0.710333			-1.05309			-1.38278			-1.69611			-1.9901			-2.26213			-2.50999			
-2.95159		-0.748638			-1.10839			-1.45285			-1.77822			-2.0811			-2.35857			-2.60825			
-2.94159		-0.786757			-1.16319			-1.52186			-1.85845			-2.16913			-2.45069			-2.70058			
-2.93159		-0.82468			-1.21744			-1.58976			-1.93673			-2.2541			-2.53836			-2.78687			
-2.92159		-0.862399			-1.27114			-1.65651			-2.013			-2.3359			-2.62148			-2.86702			
-2.91159		-0.899903			-1.32426			-1.72206			-2.08717			-2.41445			-2.69995			-2.94094			
-2.90159		-0.937184			-1.37677			-1.78637			-2.15919			-2.48967			-2.77368			-3.0086			
-2.89159		-0.974233			-1.42866			-1.84939			-2.22899			-2.56149			-2.84263			-3.06995			
-2.88159		-1.01104			-1.47989			-1.9111			-2.29652			-2.62983			-2.90672			-3.12501			
-2.87159		-1.0476			-1.53046			-1.97144			-2.36173			-2.69466			-2.96594			-3.17378			
-2.86159		-1.0839			-1.58033			-2.03038			-2.42456			-2.7559			-3.02025			-3.21633			
-2.85159		-1.11993			-1.62948			-2.08788			-2.48497			-2.81354			-3.06966			-3.25271			
-2.84159		-1.15568			-1.6779			-2.14392			-2.54292			-2.86753			-3.11417			-3.28303			
-2.83159		-1.19115			-1.72557			-2.19846			-2.59837			-2.91786			-3.1538			-3.30739			
-2.82159		-1.22633			-1.77246			-2.25146			-2.65129			-2.96451			-3.1886			-3.32594			
-2.81159		-1.2612			-1.81855			-2.30291			-2.70166			-3.00747			-3.21861			-3.33882			
-2.80159		-1.29577			-1.86384			-2.35277			-2.74944			-3.04675			-3.24391			-3.34621			
