x		n=2			n=3			n=4			n=5			n=6
-9.42478		-0.0150234			-0.0816901			-0.110262			-0.126135			-0.136236
-9.41478		-0.0199567			-0.08657			-0.11509			-0.130912			-0.140963
-9.40478		-0.0247561			-0.0912096			-0.119576			-0.135246			-0.145145
-9.39478		-0.0294214			-0.0956086			-0.123718			-0.139137			-0.148786
-9.38478		-0.033952			-0.0997672			-0.12752			-0.142587			-0.151891
-9.37478		-0.0383478			-0.103686			-0.130981			-0.145601			-0.154465
-9.36478		-0.0426083			-0.107364			-0.134104			-0.148183			-0.15652
-9.35478		-0.0467335			-0.110804			-0.136892			-0.150341			-0.158066
-9.34478		-0.0507232			-0.114006			-0.139348			-0.15208			-0.159117
-9.33478		-0.0545773			-0.11697			-0.141476			-0.15341			-0.159689
-9.32478		-0.0582957			-0.1197			-0.143281			-0.15434			-0.159797
-9.31478		-0.0618784			-0.122195			-0.144766			-0.15488			-0.159462
-9.30478		-0.0653255			-0.124459			-0.145939			-0.155042			-0.158702
-9.29478		-0.0686372			-0.126492			-0.146804			-0.154839			-0.157541
-9.28478		-0.0718135			-0.128297			-0.147368			-0.154283			-0.156
-9.27478		-0.0748547			-0.129877			-0.147637			-0.153389			-0.154104
-9.26478		-0.077761			-0.131234			-0.14762			-0.152171			-0.151876
-9.25478		-0.0805328			-0.132371			-0.147324			-0.150646			-0.149344
-9.24478		-0.0831705			-0.133291			-0.146757			-0.148828			-0.146533
-9.23478		-0.0856744			-0.133997			-0.145928			-0.146734			-0.143469
-9.22478		-0.0880451			-0.134492			-0.144845			-0.144382			-0.140178
-9.21478		-0.090283			-0.134781			-0.143518			-0.141788			-0.136689
-9.20478		-0.0923888			-0.134866			-0.141956			-0.138971			-0.133026
-9.19478		-0.094363			-0.134751			-0.140169			-0.135948			-0.129218
-9.18478		-0.0962064			-0.134441			-0.138167			-0.132737			-0.125288
-9.17478		-0.0979196			-0.13394			-0.135961			-0.129355			-0.121263
-9.16478		-0.0995034			-0.133251			-0.13356			-0.125822			-0.117167
-9.15478		-0.100959			-0.132381			-0.130975			-0.122155			-0.113023
-9.14478		-0.102286			-0.131332			-0.128218			-0.118371			-0.108853
-9.13478		-0.103487			-0.13011			-0.125298			-0.114488			-0.10468
-9.12478		-0.104562			-0.128719			-0.122228			-0.110523			-0.100523
-9.11478		-0.105512			-0.127165			-0.119017			-0.106493			-0.0964008
-9.10478		-0.106339			-0.125453			-0.115677			-0.102414			-0.0923302
-9.09478		-0.107042			-0.123587			-0.112219			-0.0983017			-0.0883271
-9.08478		-0.107625			-0.121574			-0.108654			-0.0941713			-0.0844057
-9.07478		-0.108086			-0.119418			-0.104993			-0.0900375			-0.0805783
-9.06478		-0.108429			-0.117124			-0.101247			-0.0859139			-0.0768558
-9.05478		-0.108654			-0.114699			-0.0974259			-0.0818138			-0.0732472
-9.04478		-0.108762			-0.112147			-0.0935408			-0.0777496			-0.06976
-9.03478		-0.108756			-0.109475			-0.089602			-0.0737327			-0.0664
-9.02478		-0.108635			-0.106688			-0.0856198			-0.0697739			-0.0631714
-9.01478		-0.108402			-0.103792			-0.0816042			-0.065883			-0.0600767
-9.00478		-0.108058			-0.100792			-0.077565			-0.062069			-0.0571169
-8.99478		-0.107605			-0.0976946			-0.0735115			-0.05834			-0.0542915
-8.98478		-0.107044			-0.0945051			-0.0694532			-0.0547031			-0.0515987
-8.97478		-0.106376			-0.0912294			-0.0653988			-0.0511645			-0.0490353
-8.96478		-0.105604			-0.0878733			-0.0613569			-0.0477295			-0.0465967
-8.95478		-0.104729			-0.0844426			-0.0573359			-0.0444025			-0.0442774
-8.94478		-0.103753			-0.0809431			-0.0533436			-0.041187			-0.0420708
-8.93478		-0.102677			-0.0773805			-0.0493876			-0.0380855			-0.0399695
-8.92478		-0.101504			-0.0737605			-0.045475			-0.0350997			-0.037965
-8.91478		-0.100234			-0.070089			-0.0416126			-0.0322305			-0.0360484
-8.90478		-0.0988703			-0.0663715			-0.0378067			-0.0294778			-0.0342103
-8.89478		-0.0974141			-0.0626136			-0.0340632			-0.0268408			-0.0324405
-8.88478		-0.0958676			-0.058821			-0.0303878			-0.024318			-0.030729
-8.87478		-0.0942324			-0.054999			-0.0267853			-0.021907			-0.0290653
-8.86478		-0.0925107			-0.0511533			-0.0232606			-0.019605			-0.027439
-8.85478		-0.0907043			-0.047289			-0.0198177			-0.0174082			-0.0258396
-8.84478		-0.0888153			-0.0434115			-0.0164605			-0.0153125			-0.0242572
-8.83478		-0.0868456			-0.0395261			-0.0131923			-0.0133132			-0.0226816
-8.82478		-0.0847973			-0.0356377			-0.010016			-0.0114049			-0.0211036
-8.81478		-0.0826724			-0.0317514			-0.006934			-0.00958205			-0.0195141
-8.80478		-0.0804731			-0.0278721			-0.0039483			-0.00783859			-0.0179047
-8.79478		-0.0782015			-0.0240047			-0.00106049			-0.00616814			-0.0162677
-8.78478		-0.0758596			-0.0201537			0.00172827			-0.00456407			-0.0145962
-8.77478		-0.0734496			-0.0163237			0.00441725			-0.00301953			-0.012884
-8.76478		-0.0709737			-0.0125192			0.00700612			-0.00152752			-0.0111258
-8.75478		-0.068434			-0.00874442			0.00949494			-8.09739e-005			-0.00931717
-8.74478		-0.0658328			-0.00500362			0.0118842			0.00132724			-0.00745455
-8.73478		-0.0631723			-0.0013008			0.0141747			0.00270424			-0.00553541
-8.72478		-0.0604547			0.00236015			0.0163676			0.00405703			-0.00355814
-8.71478		-0.0576822			0.00597549			0.0184645			0.00539255			-0.00152207
-8.70478		-0.054857			0.0095416			0.0204672			0.00671751			0.00057255
-8.69478		-0.0519815			0.0130551			0.022378			0.00803844			0.00272453
-8.68478		-0.0490579			0.0165125			0.0241992			0.00936158			0.00493181
-8.67478		-0.0460886			0.0199109			0.0259337			0.0106929			0.00719151
-8.66478		-0.0430757			0.0232473			0.0275844			0.0120379			0.00949993
-8.65478		-0.0400216			0.0265187			0.0291546			0.0134019			0.0118527
-8.64478		-0.0369285			0.0297226			0.0306478			0.0147896			0.0142446
-8.63478		-0.0337989			0.0328565			0.0320677			0.0162054			0.0166701
-8.62478		-0.030635			0.035918			0.033418			0.0176532			0.0191229
-8.61478		-0.0274391			0.038905			0.0347029			0.0191363			0.0215963
-8.60478		-0.0242135			0.0418156			0.0359264			0.0206576			0.0240834
-8.59478		-0.0209607			0.0446478			0.0370928			0.0222195			0.0265769
-8.58478		-0.0176828			0.0474002			0.0382064			0.0238238			0.0290691
-8.57478		-0.0143822			0.0500711			0.0392717			0.0254717			0.0315527
-8.56478		-0.0110612			0.0526592			0.0402931			0.0271641			0.0340199
-8.55478		-0.0077221			0.0551635			0.0412752			0.0289011			0.0364632
-8.54478		-0.00436727			0.057583			0.0422225			0.0306824			0.0388752
-8.53478		-0.000998987			0.0599168			0.0431393			0.0325071			0.0412488
-8.52478		0.00238046			0.0621644			0.0440303			0.0343739			0.0435772
-8.51478		0.00576879			0.0643251			0.0448997			0.036281			0.0458539
-8.50478		0.0091637			0.0663988			0.045752			0.038226			0.0480729
-8.49478		0.0125629			0.0683852			0.0465913			0.0402063			0.0502288
-8.48478		0.0159642			0.0702844			0.0474219			0.0422186			0.0523165
-8.47478		0.0193653			0.0720965			0.0482476			0.0442593			0.0543318
-8.46478		0.022764			0.0738218			0.0490723			0.0463246			0.056271
-8.45478		0.026158			0.0754608			0.0498998			0.0484102			0.0581311
-8.44478		0.0295451			0.077014			0.0507335			0.0505116			0.0599098
