Terms		Difference
0		0.858407
1		0.474926
2		0.325074
3		0.246355
4		0.19809
5		0.165546
6		0.142146
7		0.124521
8		0.110773
9		0.099753
10		0.0907232
11		0.0831899
12		0.0768101
13		0.071338
14		0.066593
15		0.0624393
16		0.0587729
17		0.0555129
18		0.0525953
19		0.0499688
20		0.0475921
21		0.0454311
22		0.0434578
23		0.0416486
24		0.039984
25		0.0384473
26		0.0370244
27		0.0357029
28		0.0344725
29		0.0333241
30		0.0322497
31		0.0312424
32		0.0302961
33		0.0294054
34		0.0285656
35		0.0277724
36		0.0270221
37		0.0263112
38		0.0256368
39		0.0249961
40		0.0243866
41		0.0238062
42		0.0232527
43		0.0227243
44		0.0222195
45		0.0217366
46		0.0212742
47		0.0208311
48		0.020406
49		0.019998
50		0.019606
51		0.019229
52		0.0188662
53		0.0185169
54		0.0181803
55		0.0178557
56		0.0175425
57		0.0172401
58		0.0169479
59		0.0166655
60		0.0163923
61		0.016128
62		0.015872
63		0.015624
64		0.0153837
65		0.0151506
66		0.0149245
67		0.0147051
68		0.014492
69		0.014285
70		0.0140838
71		0.0138882
72		0.013698
73		0.0135129
74		0.0133327
75		0.0131573
76		0.0129865
77		0.01282
78		0.0126577
79		0.0124995
80		0.0123452
81		0.0121947
82		0.0120478
83		0.0119043
84		0.0117643
85		0.0116275
86		0.0114939
87		0.0113633
88		0.0112356
89		0.0111108
90		0.0109887
91		0.0108692
92		0.0107524
93		0.010638
94		0.010526
95		0.0104164
96		0.010309
97		0.0102038
98		0.0101008
99		0.00999975
100		0.00990075
101		0.00980369
102		0.00970851
103		0.00961516
104		0.00952359
105		0.00943375
106		0.00934559
107		0.00925906
108		0.00917412
109		0.00909072
110		0.00900883
111		0.00892839
112		0.00884938
113		0.00877176
114		0.00869549
115		0.00862053
116		0.00854685
117		0.00847442
118		0.00840321
119		0.00833319
120		0.00826432
121		0.00819658
122		0.00812995
123		0.00806439
124		0.00799987
125		0.00793638
126		0.00787389
127		0.00781238
128		0.00775182
129		0.00769219
130		0.00763348
131		0.00757565
132		0.00751869
133		0.00746258
134		0.00740731
135		0.00735284
136		0.00729917
137		0.00724628
138		0.00719415
139		0.00714277
140		0.00709211
141		0.00704217
142		0.00699292
143		0.00694436
144		0.00689647
145		0.00684923
146		0.00680264
147		0.00675668
148		0.00671133
149		0.00666659
150		0.00662244
151		0.00657888
152		0.00653588
153		0.00649344
154		0.00645155
155		0.00641019
156		0.00636936
157		0.00632905
158		0.00628925
159		0.00624994
160		0.00621112
161		0.00617278
