m		K(m)		E(m)
0		1.5708		1.5708
0.01		1.57472		1.56689
0.02		1.57869		1.56297
0.03		1.5827		1.55903
0.04		1.58676		1.55507
0.05		1.59087		1.55111
0.06		1.59502		1.54712
0.07		1.59923		1.54312
0.08		1.60349		1.53911
0.09		1.6078		1.53507
0.1		1.61216		1.53103
0.11		1.61657		1.52696
0.12		1.62105		1.52288
0.13		1.62558		1.51878
0.14		1.63017		1.51466
0.15		1.63481		1.51053
0.16		1.63952		1.50638
0.17		1.6443		1.50221
0.18		1.64913		1.49802
0.19		1.65403		1.49381
0.2		1.65901		1.48959
0.21		1.66405		1.48534
0.22		1.66916		1.48108
0.23		1.67434		1.47679
0.24		1.6796		1.47249
0.25		1.68494		1.46816
0.26		1.69036		1.46382
0.27		1.69586		1.45945
0.28		1.70144		1.45506
0.29		1.70711		1.45065
0.3		1.71287		1.44622
0.31		1.71872		1.44176
0.32		1.72466		1.43728
0.33		1.7307		1.43278
0.34		1.73685		1.42826
0.35		1.74309		1.42371
0.36		1.74944		1.41913
0.37		1.75591		1.41453
0.38		1.76248		1.4099
0.39		1.76918		1.40525
0.4		1.776		1.40057
0.41		1.78294		1.39587
0.42		1.79001		1.39113
0.43		1.79722		1.38637
0.44		1.80457		1.38158
0.45		1.81206		1.37675
0.46		1.8197		1.3719
0.47		1.8275		1.36702
0.48		1.83547		1.36211
0.49		1.8436		1.35716
0.5		1.85191		1.35218
0.51		1.8604		1.34716
0.52		1.86908		1.34211
0.53		1.87796		1.33703
0.54		1.88705		1.33191
0.55		1.89636		1.32675
0.56		1.90589		1.32155
0.57		1.91566		1.31631
0.58		1.92568		1.31104
0.59		1.93597		1.30572
0.6		1.94652		1.30035
0.61		1.95737		1.29495
0.62		1.96853		1.28949
0.63		1.98		1.28399
0.64		1.99181		1.27844
0.65		2.00398		1.27285
0.66		2.01654		1.2672
0.67		2.02949		1.26149
0.68		2.04287		1.25573
0.69		2.05671		1.24992
0.7		2.07104		1.24404
0.71		2.08589		1.2381
0.72		2.10129		1.2321
0.73		2.11729		1.22603
0.74		2.13394		1.21989
0.75		2.15128		1.21367
0.76		2.16938		1.20738
0.77		2.18829		1.20101
0.78		2.2081		1.19456
0.79		2.22888		1.18802
0.8		2.25073		1.18138
0.81		2.27377		1.17465
0.82		2.29813		1.16781
0.83		2.32395		1.16086
0.84		2.35141		1.1538
0.85		2.38073		1.1466
0.86		2.41218		1.13927
0.87		2.44605		1.1318
0.88		2.48276		1.12416
0.89		2.52278		1.11636
0.9		2.56677		1.10835
0.91		2.61556		1.10014
0.92		2.67028		1.09169
0.93		2.73252		1.08297
0.94		2.80461		1.07394
0.95		2.89016		1.06454
0.96		2.99517		1.05469
0.97		3.13088		1.04428
0.98		3.32235		1.03309
0.99		3.64851		1.02071
