angle		Time-Period
0			1.00137
0.01			1.00138
0.02			1.0014
0.03			1.00143
0.04			1.00147
0.05			1.00153
0.06			1.0016
0.07			1.00168
0.08			1.00177
0.09			1.00188
0.1			1.002
0.11			1.00213
0.12			1.00227
0.13			1.00243
0.14			1.00259
0.15			1.00278
0.16			1.00297
0.17			1.00317
0.18			1.00339
0.19			1.00362
0.2			1.00387
0.21			1.00412
0.22			1.00439
0.23			1.00467
0.24			1.00497
0.25			1.00527
0.26			1.00559
0.27			1.00593
0.28			1.00627
0.29			1.00663
0.3			1.007
0.31			1.00738
0.32			1.00778
0.33			1.00819
0.34			1.00861
0.35			1.00904
0.36			1.00949
0.37			1.00995
0.38			1.01043
0.39			1.01091
0.4			1.01141
0.41			1.01193
0.42			1.01245
0.43			1.01299
0.44			1.01355
0.45			1.01411
0.46			1.01469
0.47			1.01528
0.48			1.01589
0.49			1.01651
0.5			1.01714
0.51			1.01779
0.52			1.01845
0.53			1.01912
0.54			1.01981
0.55			1.02051
0.56			1.02123
0.57			1.02196
0.58			1.0227
0.59			1.02346
0.6			1.02423
0.61			1.02501
0.62			1.02581
0.63			1.02662
0.64			1.02745
0.65			1.02829
0.66			1.02915
0.67			1.03002
0.68			1.0309
0.69			1.0318
0.7			1.03272
0.71			1.03365
0.72			1.03459
0.73			1.03555
0.74			1.03652
0.75			1.03751
0.76			1.03851
0.77			1.03953
0.78			1.04056
0.79			1.04161
0.8			1.04268
0.81			1.04376
0.82			1.04485
0.83			1.04596
0.84			1.04709
0.85			1.04823
0.86			1.04939
0.87			1.05057
0.88			1.05176
0.89			1.05296
0.9			1.05419
0.91			1.05543
0.92			1.05668
0.93			1.05795
0.94			1.05924
0.95			1.06055
0.96			1.06187
0.97			1.06321
0.98			1.06457
0.99			1.06594
1			1.06733
1.01			1.06874
1.02			1.07017
1.03			1.07162
1.04			1.07308
1.05			1.07456
1.06			1.07606
1.07			1.07757
1.08			1.07911
1.09			1.08066
1.1			1.08223
1.11			1.08382
1.12			1.08543
1.13			1.08706
1.14			1.08871
1.15			1.09038
1.16			1.09207
1.17			1.09377
1.18			1.0955
1.19			1.09725
1.2			1.09901
1.21			1.1008
1.22			1.10261
1.23			1.10444
1.24			1.10629
1.25			1.10816
1.26			1.11005
1.27			1.11196
1.28			1.11389
1.29			1.11585
1.3			1.11783
1.31			1.11983
1.32			1.12185
1.33			1.1239
1.34			1.12597
1.35			1.12806
1.36			1.13017
1.37			1.13231
1.38			1.13447
1.39			1.13666
1.4			1.13887
1.41			1.1411
1.42			1.14336
1.43			1.14564
1.44			1.14795
1.45			1.15028
1.46			1.15264
1.47			1.15503
1.48			1.15744
1.49			1.15988
1.5			1.16234
1.51			1.16483
1.52			1.16735
1.53			1.1699
1.54			1.17247
1.55			1.17508
1.56			1.17771
1.57			1.18037
