x		Diffraction
-5		0.127227
-4.99		0.12694
-4.98		0.126633
-4.97		0.12632
-4.96		0.126015
-4.95		0.12573
-4.94		0.125479
-4.93		0.125272
-4.92		0.12512
-4.91		0.125027
-4.9		0.125
-4.89		0.12504
-4.88		0.125144
-4.87		0.12531
-4.86		0.125531
-4.85		0.125797
-4.84		0.126099
-4.83		0.126424
-4.82		0.12676
-4.81		0.127092
-4.8		0.127409
-4.79		0.127696
-4.78		0.127943
-4.77		0.12814
-4.76		0.128279
-4.75		0.128356
-4.74		0.128366
-4.73		0.128311
-4.72		0.128191
-4.71		0.128013
-4.7		0.127782
-4.69		0.127509
-4.68		0.127203
-4.67		0.126878
-4.66		0.126545
-4.65		0.126217
-4.64		0.125908
-4.63		0.125629
-4.62		0.125392
-4.61		0.125204
-4.6		0.125075
-4.59		0.125009
-4.58		0.125008
-4.57		0.125074
-4.56		0.125204
-4.55		0.125395
-4.54		0.125639
-4.53		0.125928
-4.52		0.126252
-4.51		0.1266
-4.5		0.12696
-4.49		0.127319
-4.48		0.127665
-4.47		0.127985
-4.46		0.12827
-4.45		0.128509
-4.44		0.128694
-4.43		0.128818
-4.42		0.128879
-4.41		0.128873
-4.4		0.128801
-4.39		0.128666
-4.38		0.128472
-4.37		0.128227
-4.36		0.127938
-4.35		0.127615
-4.34		0.12727
-4.33		0.126914
-4.32		0.126559
-4.31		0.126217
-4.3		0.125899
-4.29		0.125617
-4.28		0.125379
-4.27		0.125194
-4.26		0.125069
-4.25		0.125006
-4.24		0.12501
-4.23		0.125081
-4.22		0.125216
-4.21		0.125412
-4.2		0.125663
-4.19		0.125962
-4.18		0.1263
-4.17		0.126667
-4.16		0.127053
-4.15		0.127445
-4.14		0.127833
-4.13		0.128205
-4.12		0.128549
-4.11		0.128857
-4.1		0.129119
-4.09		0.129328
-4.08		0.129477
-4.07		0.129563
-4.06		0.129582
-4.05		0.129536
-4.04		0.129425
-4.03		0.129252
-4.02		0.129023
-4.01		0.128744
-4		0.128424
-3.99		0.128072
-3.98		0.127697
-3.97		0.127311
-3.96		0.126925
-3.95		0.126549
-3.94		0.126194
-3.93		0.125871
-3.92		0.125588
-3.91		0.125354
-3.9		0.125175
-3.89		0.125057
-3.88		0.125003
-3.87		0.125016
-3.86		0.125094
-3.85		0.125238
-3.84		0.125443
-3.83		0.125705
-3.82		0.126018
-3.81		0.126373
-3.8		0.126763
-3.79		0.127178
-3.78		0.127607
-3.77		0.128041
-3.76		0.128468
-3.75		0.128879
-3.74		0.129264
-3.73		0.129614
-3.72		0.129919
-3.71		0.130173
-3.7		0.130371
-3.69		0.130507
-3.68		0.130578
-3.67		0.130583
-3.66		0.130522
-3.65		0.130396
-3.64		0.13021
-3.63		0.129966
-3.62		0.129672
-3.61		0.129333
-3.6		0.128959
-3.59		0.128558
-3.58		0.128139
-3.57		0.127712
-3.56		0.127287
-3.55		0.126874
-3.54		0.126483
-3.53		0.126122
-3.52		0.1258
-3.51		0.125525
-3.5		0.125303
-3.49		0.125138
-3.48		0.125037
-3.47		0.125
-3.46		0.12503
-3.45		0.125126
-3.44		0.125287
-3.43		0.12551
-3.42		0.125791
-3.41		0.126125
-3.4		0.126506
-3.39		0.126926
-3.38		0.127377
-3.37		0.12785
-3.36		0.128337
-3.35		0.128829
-3.34		0.129315
-3.33		0.129787
-3.32		0.130236
-3.31		0.130654
-3.3		0.131032
-3.29		0.131364
-3.28		0.131643
-3.27		0.131866
-3.26		0.132026
-3.25		0.132123
-3.24		0.132153
-3.23		0.132118
-3.22		0.132017
-3.21		0.131853
-3.2		0.131629
-3.19		0.131349
-3.18		0.131018
-3.17		0.130644
-3.16		0.130231
-3.15		0.129789
-3.14		0.129325
-3.13		0.128848
-3.12		0.128366
-3.11		0.127888
-3.1		0.127423
-3.09		0.126978
-3.08		0.126563
-3.07		0.126184
-3.06		0.125848
-3.05		0.125561
-3.04		0.12533
-3.03		0.125157
-3.02		0.125047
-3.01		0.125001
-3		0.125022
-2.99		0.12511
-2.98		0.125263
-2.97		0.12548
-2.96		0.125759
-2.95		0.126095
-2.94		0.126485
-2.93		0.126922
-2.92		0.127401
-2.91		0.127915
-2.9		0.128457
-2.89		0.129019
-2.88		0.129594
-2.87		0.130174
-2.86		0.13075
-2.85		0.131315
-2.84		0.131861
-2.83		0.132381
-2.82		0.132867
-2.81		0.133313
-2.8		0.133713
-2.79		0.134063
-2.78		0.134356
-2.77		0.134591
-2.76		0.134763
-2.75		0.134871
-2.74		0.134913
-2.73		0.134889
-2.72		0.1348
-2.71		0.134647
-2.7		0.134432
-2.69		0.134159
-2.68		0.13383
-2.67		0.133452
-2.66		0.133028
-2.65		0.132564
-2.64		0.132067
-2.63		0.131543
-2.62		0.130998
-2.61		0.13044
-2.6		0.129877
-2.59		0.129314
-2.58		0.128761
-2.57		0.128222
-2.56		0.127706
-2.55		0.127219
-2.54		0.126767
-2.53		0.126357
-2.52		0.125992
-2.51		0.125679
-2.5		0.125421
-2.49		0.125222
-2.48		0.125085
-2.47		0.125012
-2.46		0.125005
-2.45		0.125064
-2.44		0.12519
-2.43		0.125382
-2.42		0.125638
-2.41		0.125958
-2.4		0.126338
-2.39		0.126775
-2.38		0.127266
-2.37		0.127806
-2.36		0.12839
-2.35		0.129014
-2.34		0.129672
-2.33		0.130359
-2.32		0.131067
-2.31		0.131792
-2.3		0.132527
-2.29		0.133265
-2.28		0.134
-2.27		0.134726
-2.26		0.135437
-2.25		0.136126
-2.24		0.136788
-2.23		0.137418
-2.22		0.13801
-2.21		0.138559
-2.2		0.139061
-2.19		0.139512
-2.18		0.139909
-2.17		0.140248
-2.16		0.140527
-2.15		0.140744
-2.14		0.140897
-2.13		0.140986
-2.12		0.14101
-2.11		0.140969
-2.1		0.140864
-2.09		0.140696
-2.08		0.140466
-2.07		0.140177
-2.06		0.139832
-2.05		0.139432
-2.04		0.138982
-2.03		0.138486
-2.02		0.137947
-2.01		0.13737
-2		0.136759
-1.99		0.136119
-1.98		0.135456
-1.97		0.134774
-1.96		0.134079
-1.95		0.133376
-1.94		0.132671
-1.93		0.131968
-1.92		0.131274
-1.91		0.130593
-1.9		0.129931
-1.89		0.129293
-1.88		0.128683
-1.87		0.128107
-1.86		0.127568
-1.85		0.127071
-1.84		0.126619
-1.83		0.126217
-1.82		0.125868
-1.81		0.125574
-1.8		0.125338
-1.79		0.125163
-1.78		0.125051
-1.77		0.125002
-1.76		0.125019
-1.75		0.125101
-1.74		0.125251
-1.73		0.125467
-1.72		0.12575
-1.71		0.126099
-1.7		0.126513
-1.69		0.126991
-1.68		0.127531
-1.67		0.128132
-1.66		0.128791
-1.65		0.129506
-1.64		0.130275
-1.63		0.131095
-1.62		0.131962
-1.61		0.132874
-1.6		0.133826
-1.59		0.134816
-1.58		0.135839
-1.57		0.136892
-1.56		0.137971
-1.55		0.139072
-1.54		0.14019
-1.53		0.141322
-1.52		0.142464
-1.51		0.143611
-1.5		0.144759
-1.49		0.145905
-1.48		0.147044
-1.47		0.148172
-1.46		0.149286
-1.45		0.150382
-1.44		0.151455
-1.43		0.152504
-1.42		0.153523
-1.41		0.15451
-1.4		0.155463
-1.39		0.156377
-1.38		0.15725
-1.37		0.15808
-1.36		0.158865
-1.35		0.159601
-1.34		0.160287
-1.33		0.160922
-1.32		0.161503
-1.31		0.16203
-1.3		0.1625
-1.29		0.162913
-1.28		0.163269
-1.27		0.163566
-1.26		0.163803
-1.25		0.163982
-1.24		0.164102
-1.23		0.164162
-1.22		0.164164
-1.21		0.164107
-1.2		0.163992
-1.19		0.163821
-1.18		0.163593
-1.17		0.163311
-1.16		0.162975
-1.15		0.162587
-1.14		0.162148
-1.13		0.16166
-1.12		0.161125
-1.11		0.160544
-1.1		0.15992
-1.09		0.159255
-1.08		0.15855
-1.07		0.157807
-1.06		0.15703
-1.05		0.156221
-1.04		0.155381
-1.03		0.154514
-1.02		0.153621
-1.01		0.152706
-1		0.151771
-0.99		0.150818
-0.98		0.14985
-0.97		0.148869
-0.96		0.147879
-0.95		0.146881
-0.94		0.145879
-0.93		0.144875
-0.92		0.143871
-0.91		0.14287
-0.9		0.141874
-0.89		0.140887
-0.88		0.139909
-0.87		0.138945
-0.86		0.137996
-0.85		0.137064
-0.84		0.136152
-0.83		0.135262
-0.82		0.134396
-0.81		0.133557
-0.8		0.132745
-0.79		0.131964
-0.78		0.131216
-0.77		0.130501
-0.76		0.129823
-0.75		0.129183
-0.74		0.128582
-0.73		0.128022
-0.72		0.127505
-0.71		0.127033
-0.7		0.126606
-0.69		0.126227
-0.68		0.125896
-0.67		0.125616
-0.66		0.125386
-0.65		0.125209
-0.64		0.125085
-0.63		0.125016
-0.62		0.125002
-0.61		0.125045
-0.6		0.125145
-0.59		0.125303
-0.58		0.125521
-0.57		0.125798
-0.56		0.126136
-0.55		0.126535
-0.54		0.126996
-0.53		0.12752
-0.52		0.128106
-0.51		0.128755
-0.5		0.129469
-0.49		0.130247
-0.48		0.131089
-0.47		0.131997
-0.46		0.13297
-0.45		0.134008
-0.44		0.135113
-0.43		0.136283
-0.42		0.13752
-0.41		0.138823
-0.4		0.140193
-0.39		0.14163
-0.38		0.143134
-0.37		0.144704
-0.36		0.146342
-0.35		0.148047
-0.34		0.149819
-0.33		0.151659
-0.32		0.153566
-0.31		0.15554
-0.3		0.157581
-0.29		0.15969
-0.28		0.161866
-0.27		0.164109
-0.26		0.166419
-0.25		0.168797
-0.24		0.171242
-0.23		0.173754
-0.22		0.176333
-0.21		0.17898
-0.2		0.181693
-0.19		0.184474
-0.18		0.187321
-0.17		0.190236
-0.16		0.193217
-0.15		0.196265
-0.14		0.19938
-0.13		0.202562
-0.12		0.205811
-0.11		0.209127
-0.1		0.212509
-0.09		0.215958
-0.08		0.219474
-0.07		0.223056
-0.06		0.226705
-0.05		0.230421
-0.04		0.234203
-0.03		0.238053
-0.02		0.241968
-0.01		0.245951
-6.23078e-014		0.25
0.01		0.254116
0.02		0.258298
0.03		0.262547
0.04		0.266863
0.05		0.271246
0.06		0.275695
0.07		0.280211
0.08		0.284793
0.09		0.289442
0.1		0.294158
0.11		0.29894
0.12		0.303788
0.13		0.308704
0.14		0.313685
0.15		0.318733
0.16		0.323847
0.17		0.329027
0.18		0.334274
0.19		0.339586
0.2		0.344964
0.21		0.350408
0.22		0.355917
0.23		0.361491
0.24		0.36713
0.25		0.372834
0.26		0.378602
0.27		0.384435
0.28		0.390331
0.29		0.39629
0.3		0.402312
0.31		0.408397
0.32		0.414544
0.33		0.420753
0.34		0.427022
0.35		0.433351
0.36		0.43974
0.37		0.446188
0.38		0.452694
0.39		0.459257
0.4		0.465876
0.41		0.472551
0.42		0.47928
0.43		0.486063
0.44		0.492897
0.45		0.499783
0.46		0.506718
0.47		0.513702
0.48		0.520732
0.49		0.527808
0.5		0.534928
0.51		0.54209
0.52		0.549292
0.53		0.556533
0.54		0.563811
0.55		0.571123
0.56		0.578468
0.57		0.585843
0.58		0.593246
0.59		0.600674
0.6		0.608126
0.61		0.615598
0.62		0.623088
0.63		0.630593
0.64		0.63811
0.65		0.645636
0.66		0.653168
0.67		0.660702
0.68		0.668236
0.69		0.675766
0.7		0.683288
0.71		0.690798
0.72		0.698293
0.73		0.705768
0.74		0.713221
0.75		0.720646
0.76		0.728039
0.77		0.735396
0.78		0.742713
0.79		0.749985
0.8		0.757206
0.81		0.764373
0.82		0.771481
0.83		0.778524
0.84		0.785498
0.85		0.792396
0.86		0.799215
0.87		0.805948
0.88		0.812591
0.89		0.819137
0.9		0.825582
0.91		0.831918
0.92		0.838142
0.93		0.844247
0.94		0.850227
0.95		0.856076
0.96		0.861789
0.97		0.86736
0.98		0.872783
0.99		0.878052
1		0.883161
1.01		0.888104
1.02		0.892876
1.03		0.897471
1.04		0.901882
1.05		0.906105
