x		C(u)		S(u)
-5		-0.566738		-0
-4.99		-0.562291		-0
-4.98		-0.557154		-0
-4.97		-0.551384		-0
-4.96		-0.545045		-0
-4.95		-0.538207		-0
-4.94		-0.530944		-0
-4.93		-0.523334		-0
-4.92		-0.515461		-0
-4.91		-0.507407		-0
-4.9		-0.499258		-0
-4.89		-0.4911		-0
-4.88		-0.48302		-0
-4.87		-0.4751		-0
-4.86		-0.467424		-0
-4.85		-0.46007		-0
-4.84		-0.453113		-0
-4.83		-0.446625		-0
-4.82		-0.44067		-0
-4.81		-0.435309		-0
-4.8		-0.430594		-0
-4.79		-0.426571		-0
-4.78		-0.423281		-0
-4.77		-0.420753		-0
-4.76		-0.419013		-0
-4.75		-0.418074		-0
-4.74		-0.417946		-0
-4.73		-0.418628		-0
-4.72		-0.420111		-0
-4.71		-0.422379		-0
-4.7		-0.425408		-0
-4.69		-0.429168		-0
-4.68		-0.43362		-0
-4.67		-0.438721		-0
-4.66		-0.444419		-0
-4.65		-0.45066		-0
-4.64		-0.457383		-0
-4.63		-0.464524		-0
-4.62		-0.472014		-0
-4.61		-0.479783		-0
-4.6		-0.487757		-0
-4.59		-0.495863		-0
-4.58		-0.504024		-0
-4.57		-0.512166		-0
-4.56		-0.520214		-0
-4.55		-0.528095		-0
-4.54		-0.535738		-0
-4.53		-0.543073		-0
-4.52		-0.550036		-0
-4.51		-0.556565		-0
-4.5		-0.562603		-0
-4.49		-0.568097		-0
-4.48		-0.573		-0
-4.47		-0.57727		-0
-4.46		-0.58087		-0
-4.45		-0.583772		-0
-4.44		-0.585951		-0
-4.43		-0.587389		-0
-4.42		-0.588078		-0
-4.41		-0.588011		-0
-4.4		-0.587192		-0
-4.39		-0.585628		-0
-4.38		-0.583336		-0
-4.37		-0.580336		-0
-4.36		-0.576654		-0
-4.35		-0.572323		-0
-4.34		-0.567381		-0
-4.33		-0.561869		-0
-4.32		-0.555835		-0
-4.31		-0.549329		-0
-4.3		-0.542404		-0
-4.29		-0.535119		-0
-4.28		-0.527533		-0
-4.27		-0.519707		-0
-4.26		-0.511706		-0
-4.25		-0.503592		-0
-4.24		-0.49543		-0
-4.23		-0.487286		-0
-4.22		-0.479222		-0
-4.21		-0.471303		-0
-4.2		-0.463588		-0
-4.19		-0.456137		-0
-4.18		-0.449008		-0
-4.17		-0.442253		-0
-4.16		-0.435924		-0
-4.15		-0.430068		-0
-4.14		-0.424728		-0
-4.13		-0.419942		-0
-4.12		-0.415745		-0
-4.11		-0.412168		-0
-4.1		-0.409234		-0
-4.09		-0.406965		-0
-4.08		-0.405375		-0
-4.07		-0.404474		-0
-4.06		-0.404267		-0
-4.05		-0.404754		-0
-4.04		-0.405929		-0
-4.03		-0.407783		-0
-4.02		-0.410301		-0
-4.01		-0.413463		-0
-4		-0.417244		-0
-3.99		-0.421618		-0
-3.98		-0.426552		-0
-3.97		-0.432011		-0
-3.96		-0.437954		-0
-3.95		-0.444341		-0
-3.94		-0.451126		-0
-3.93		-0.458262		-0
-3.92		-0.4657		-0
-3.91		-0.473388		-0
-3.9		-0.481275		-0
-3.89		-0.489308		-0
-3.88		-0.497432		-0
-3.87		-0.505594		-0
-3.86		-0.513741		-0
-3.85		-0.521817		-0
-3.84		-0.529773		-0
-3.83		-0.537555		-0
-3.82		-0.545115		-0
-3.81		-0.552405		-0
-3.8		-0.559379		-0
-3.79		-0.565993		-0
-3.78		-0.572207		-0
-3.77		-0.577983		-0
-3.76		-0.583286		-0
-3.75		-0.588084		-0
-3.74		-0.59235		-0
-3.73		-0.596057		-0
-3.72		-0.599186		-0
-3.71		-0.601719		-0
-3.7		-0.603641		-0
-3.69		-0.604944		-0
-3.68		-0.60562		-0
-3.67		-0.605668		-0
-3.66		-0.605089		-0
-3.65		-0.603889		-0
-3.64		-0.602075		-0
-3.63		-0.59966		-0
-3.62		-0.59666		-0
-3.61		-0.593093		-0
-3.6		-0.588982		-0
-3.59		-0.584351		-0
-3.58		-0.579229		-0
-3.57		-0.573645		-0
-3.56		-0.567631		-0
-3.55		-0.561223		-0
-3.54		-0.554457		-0
-3.53		-0.547371		-0
-3.52		-0.540006		-0
-3.51		-0.532401		-0
-3.5		-0.524598		-0
-3.49		-0.516641		-0
-3.48		-0.508572		-0
-3.47		-0.500434		-0
-3.46		-0.492271		-0
-3.45		-0.484125		-0
-3.44		-0.47604		-0
-3.43		-0.468056		-0
-3.42		-0.460215		-0
-3.41		-0.452557		-0
-3.4		-0.445121		-0
-3.39		-0.437942		-0
-3.38		-0.431058		-0
-3.37		-0.424501		-0
-3.36		-0.418303		-0
-3.35		-0.412495		-0
-3.34		-0.407102		-0
-3.33		-0.402152		-0
-3.32		-0.397665		-0
-3.31		-0.393663		-0
-3.3		-0.390164		-0
-3.29		-0.387183		-0
-3.28		-0.384731		-0
-3.27		-0.382821		-0
-3.26		-0.381457		-0
-3.25		-0.380646		-0
-3.24		-0.38039		-0
-3.23		-0.380687		-0
-3.22		-0.381535		-0
-3.21		-0.382928		-0
-3.2		-0.384858		-0
-3.19		-0.387316		-0
-3.18		-0.390287		-0
-3.17		-0.393758		-0
-3.16		-0.397712		-0
-3.15		-0.402129		-0
-3.14		-0.406989		-0
-3.13		-0.41227		-0
-3.12		-0.417947		-0
-3.11		-0.423996		-0
-3.1		-0.430388		-0
-3.09		-0.437096		-0
-3.08		-0.444091		-0
-3.07		-0.451343		-0
-3.06		-0.458821		-0
-3.05		-0.466493		-0
-3.04		-0.474328		-0
-3.03		-0.482293		-0
-3.02		-0.490355		-0
-3.01		-0.498482		-0
-3		-0.506642		-0
-2.99		-0.514801		-0
-2.98		-0.522929		-0
-2.97		-0.530993		-0
-2.96		-0.538962		-0
-2.95		-0.546807		-0
-2.94		-0.554497		-0
-2.93		-0.562003		-0
-2.92		-0.569299		-0
-2.91		-0.576357		-0
-2.9		-0.583152		-0
-2.89		-0.58966		-0
-2.88		-0.595858		-0
-2.87		-0.601724		-0
-2.86		-0.607239		-0
-2.85		-0.612384		-0
-2.84		-0.617141		-0
-2.83		-0.621495		-0
-2.82		-0.625433		-0
-2.81		-0.628942		-0
-2.8		-0.632011		-0
-2.79		-0.634631		-0
-2.78		-0.636795		-0
-2.77		-0.638498		-0
-2.76		-0.639735		-0
-2.75		-0.640503		-0
-2.74		-0.640803		-0
-2.73		-0.640634		-0
-2.72		-0.639999		-0
-2.71		-0.638901		-0
-2.7		-0.637346		-0
-2.69		-0.635341		-0
-2.68		-0.632894		-0
-2.67		-0.630013		-0
-2.66		-0.62671		-0
-2.65		-0.622996		-0
-2.64		-0.618885		-0
-2.63		-0.61439		-0
-2.62		-0.609527		-0
-2.61		-0.604311		-0
-2.6		-0.59876		-0
-2.59		-0.592892		-0
-2.58		-0.586724		-0
-2.57		-0.580277		-0
-2.56		-0.573569		-0
-2.55		-0.566622		-0
-2.54		-0.559455		-0
-2.53		-0.552091		-0
-2.52		-0.544551		-0
-2.51		-0.536856		-0
-2.5		-0.529028		-0
-2.49		-0.521089		-0
-2.48		-0.513062		-0
-2.47		-0.504969		-0
-2.46		-0.496831		-0
-2.45		-0.48867		-0
-2.44		-0.480508		-0
-2.43		-0.472366		-0
-2.42		-0.464266		-0
-2.41		-0.456228		-0
-2.4		-0.448271		-0
-2.39		-0.440417		-0
-2.38		-0.432684		-0
-2.37		-0.425091		-0
-2.36		-0.417657		-0
-2.35		-0.410398		-0
-2.34		-0.403332		-0
-2.33		-0.396474		-0
-2.32		-0.389841		-0
-2.31		-0.383447		-0
-2.3		-0.377306		-0
-2.29		-0.371431		-0
-2.28		-0.365835		-0
-2.27		-0.360528		-0
-2.26		-0.355523		-0
-2.25		-0.350828		-0
-2.24		-0.346453		-0
-2.23		-0.342406		-0
-2.22		-0.338695		-0
-2.21		-0.335326		-0
-2.2		-0.332304		-0
-2.19		-0.329635		-0
-2.18		-0.327323		-0
-2.17		-0.32537		-0
-2.16		-0.323779		-0
-2.15		-0.322553		-0
-2.14		-0.32169		-0
-2.13		-0.321193		-0
-2.12		-0.321059		-0
-2.11		-0.321288		-0
-2.1		-0.321877		-0
-2.09		-0.322824		-0
-2.08		-0.324124		-0
-2.07		-0.325775		-0
-2.06		-0.32777		-0
-2.05		-0.330105		-0
-2.04		-0.332773		-0
-2.03		-0.335769		-0
-2.02		-0.339085		-0
-2.01		-0.342713		-0
-2		-0.346646		-0
-1.99		-0.350875		-0
-1.98		-0.355392		-0
-1.97		-0.360186		-0
-1.96		-0.365249		-0
-1.95		-0.370571		-0
-1.94		-0.376141		-0
-1.93		-0.381949		-0
-1.92		-0.387984		-0
-1.91		-0.394235		-0
-1.9		-0.400691		-0
-1.89		-0.407341		-0
