Time		Tempurature
10		0.034662
10.01		0.0348997
10.02		0.0351386
10.03		0.0353787
10.04		0.0356199
10.05		0.0358623
10.06		0.0361059
10.07		0.0363507
10.08		0.0365967
10.09		0.0368438
10.1		0.0370921
10.11		0.0373416
10.12		0.0375924
10.13		0.0378443
10.14		0.0380974
10.15		0.0383517
10.16		0.0386072
10.17		0.038864
10.18		0.0391219
10.19		0.0393811
10.2		0.0396415
10.21		0.0399031
10.22		0.0401659
10.23		0.04043
10.24		0.0406952
10.25		0.0409618
10.26		0.0412295
10.27		0.0414985
10.28		0.0417688
10.29		0.0420402
10.3		0.042313
10.31		0.042587
10.32		0.0428622
10.33		0.0431387
10.34		0.0434164
10.35		0.0436955
10.36		0.0439757
10.37		0.0442573
10.38		0.0445401
10.39		0.0448242
10.4		0.0451096
10.41		0.0453962
10.42		0.0456842
10.43		0.0459734
10.44		0.0462639
10.45		0.0465557
10.46		0.0468488
10.47		0.0471432
10.48		0.0474389
10.49		0.0477359
10.5		0.0480342
10.51		0.0483338
10.52		0.0486347
10.53		0.0489369
10.54		0.0492405
10.55		0.0495453
10.56		0.0498515
10.57		0.0501591
10.58		0.0504679
10.59		0.0507781
10.6		0.0510896
10.61		0.0514024
10.62		0.0517166
10.63		0.0520321
10.64		0.052349
10.65		0.0526672
10.66		0.0529868
10.67		0.0533077
10.68		0.05363
10.69		0.0539536
10.7		0.0542786
10.71		0.054605
10.72		0.0549327
10.73		0.0552618
10.74		0.0555923
10.75		0.0559241
10.76		0.0562574
10.77		0.056592
10.78		0.056928
10.79		0.0572653
10.8		0.0576041
10.81		0.0579442
10.82		0.0582858
10.83		0.0586287
10.84		0.0589731
10.85		0.0593188
10.86		0.059666
10.87		0.0600145
10.88		0.0603645
10.89		0.0607158
10.9		0.0610686
10.91		0.0614228
10.92		0.0617785
10.93		0.0621355
10.94		0.062494
10.95		0.0628539
10.96		0.0632153
10.97		0.063578
10.98		0.0639422
10.99		0.0643079
11		0.064675
11.01		0.0650435
11.02		0.0654135
11.03		0.0657849
11.04		0.0661578
11.05		0.0665321
11.06		0.0669079
11.07		0.0672851
11.08		0.0676639
11.09		0.068044
11.1		0.0684257
11.11		0.0688088
11.12		0.0691934
11.13		0.0695794
11.14		0.069967
11.15		0.070356
11.16		0.0707465
11.17		0.0711385
11.18		0.0715319
11.19		0.0719269
11.2		0.0723233
11.21		0.0727213
11.22		0.0731207
11.23		0.0735217
11.24		0.0739241
11.25		0.074328
11.26		0.0747335
11.27		0.0751405
11.28		0.0755489
11.29		0.0759589
