x		Spherical-Bessel-Function
0			0
0.01			0.00033329
0.02			0.000942667
0.03			0.00173173
0.04			0.00266604
0.05			0.00372566
0.06			0.00489712
0.07			0.00617051
0.08			0.00753811
0.09			0.0089937
0.1			0.0105321
0.11			0.012149
0.12			0.0138405
0.13			0.0156033
0.14			0.0174345
0.15			0.0193315
0.16			0.0212918
0.17			0.0233132
0.18			0.0253939
0.19			0.0275319
0.2			0.0297255
0.21			0.0319732
0.22			0.0342735
0.23			0.0366249
0.24			0.0390261
0.25			0.041476
0.26			0.0439732
0.27			0.0465167
0.28			0.0491055
0.29			0.0517384
0.3			0.0544145
0.31			0.0571328
0.32			0.0598925
0.33			0.0626927
0.34			0.0655324
0.35			0.0684109
0.36			0.0713275
0.37			0.0742812
0.38			0.0772714
0.39			0.0802973
0.4			0.0833583
0.41			0.0864536
0.42			0.0895825
0.43			0.0927444
0.44			0.0959387
0.45			0.0991647
0.46			0.102422
0.47			0.105709
0.48			0.109027
0.49			0.112374
0.5			0.115749
0.51			0.119153
0.52			0.122584
0.53			0.126042
0.54			0.129527
0.55			0.133037
0.56			0.136574
0.57			0.140135
0.58			0.14372
0.59			0.147329
0.6			0.150962
0.61			0.154618
0.62			0.158296
0.63			0.161996
0.64			0.165717
0.65			0.16946
0.66			0.173223
0.67			0.177005
0.68			0.180808
0.69			0.18463
0.7			0.18847
0.71			0.192328
0.72			0.196204
0.73			0.200098
0.74			0.204008
0.75			0.207935
0.76			0.211878
0.77			0.215837
0.78			0.21981
0.79			0.223798
0.8			0.227801
0.81			0.231817
0.82			0.235847
0.83			0.23989
0.84			0.243946
0.85			0.248014
0.86			0.252093
0.87			0.256185
0.88			0.260287
0.89			0.264399
0.9			0.268522
0.91			0.272655
0.92			0.276797
0.93			0.280949
0.94			0.285108
0.95			0.289277
0.96			0.293453
0.97			0.297636
0.98			0.301827
0.99			0.306024
1			0.310228
1.01			0.314437
1.02			0.318653
1.03			0.322873
1.04			0.327099
1.05			0.331328
1.06			0.335562
1.07			0.3398
1.08			0.344041
1.09			0.348285
1.1			0.352532
1.11			0.356781
1.12			0.361032
1.13			0.365285
1.14			0.369539
1.15			0.373794
1.16			0.378049
1.17			0.382305
1.18			0.38656
1.19			0.390815
1.2			0.395069
1.21			0.399322
1.22			0.403573
1.23			0.407822
1.24			0.41207
1.25			0.416314
1.26			0.420556
1.27			0.424795
1.28			0.42903
1.29			0.433261
1.3			0.437488
1.31			0.44171
1.32			0.445928
1.33			0.450141
1.34			0.454348
1.35			0.458549
1.36			0.462744
1.37			0.466932
1.38			0.471114
1.39			0.475289
1.4			0.479456
1.41			0.483616
1.42			0.487768
1.43			0.491911
1.44			0.496046
1.45			0.500171
1.46			0.504288
1.47			0.508395
1.48			0.512493
1.49			0.51658
1.5			0.520657
1.51			0.524723
