u0		I/Io
-1			0.0410761
-0.99			0.0416996
-0.98			0.0423354
-0.97			0.0429839
-0.96			0.0436453
-0.95			0.0443198
-0.94			0.0450079
-0.93			0.0457098
-0.92			0.0464258
-0.91			0.0471562
-0.9			0.0479014
-0.89			0.0486618
-0.88			0.0494376
-0.87			0.0502292
-0.86			0.0510369
-0.85			0.0518613
-0.84			0.0527025
-0.83			0.0535611
-0.82			0.0544373
-0.81			0.0553317
-0.8			0.0562446
-0.79			0.0571765
-0.78			0.0581278
-0.77			0.0590989
-0.76			0.0600903
-0.75			0.0611024
-0.74			0.0621358
-0.73			0.0631909
-0.72			0.0642683
-0.71			0.0653684
-0.7			0.0664917
-0.69			0.0676388
-0.68			0.0688103
-0.67			0.0700066
-0.66			0.0712284
-0.65			0.0724763
-0.64			0.0737508
-0.63			0.0750526
-0.62			0.0763822
-0.61			0.0777404
-0.6			0.0791277
-0.59			0.0805448
-0.58			0.0819925
-0.57			0.0834713
-0.56			0.0849821
-0.55			0.0865255
-0.54			0.0881022
-0.53			0.0897131
-0.52			0.0913589
-0.51			0.0930403
-0.5			0.0947582
-0.49			0.0965134
-0.48			0.0983068
-0.47			0.100139
-0.46			0.102011
-0.45			0.103924
-0.44			0.105879
-0.43			0.107876
-0.42			0.109916
-0.41			0.112001
-0.4			0.114132
-0.39			0.116309
-0.38			0.118533
-0.37			0.120806
-0.36			0.123128
-0.35			0.125501
-0.34			0.127925
-0.33			0.130402
-0.32			0.132933
-0.31			0.135519
-0.3			0.138161
-0.29			0.140861
-0.28			0.143619
-0.27			0.146436
-0.26			0.149315
-0.25			0.152256
-0.24			0.15526
-0.23			0.158329
-0.22			0.161465
-0.21			0.164667
-0.2			0.167939
-0.19			0.17128
-0.18			0.174693
-0.17			0.178179
-0.16			0.181739
-0.15			0.185375
-0.14			0.189087
-0.13			0.192879
-0.12			0.19675
-0.11			0.200703
-0.1			0.204739
-0.09			0.20886
-0.08			0.213066
-0.07			0.21736
-0.06			0.221744
-0.05			0.226217
-0.04			0.230783
-0.03			0.235443
-0.02			0.240198
-0.01			0.24505
7.5287e-016			0.25
0.01			0.25505
0.02			0.260202
0.03			0.265457
0.04			0.270817
0.05			0.276283
0.06			0.281856
0.07			0.28754
0.08			0.293334
0.09			0.29924
0.1			0.30526
0.11			0.311396
0.12			0.317649
0.13			0.32402
0.14			0.330511
0.15			0.337123
0.16			0.343857
0.17			0.350716
0.18			0.357699
0.19			0.36481
0.2			0.372047
0.21			0.379414
0.22			0.38691
0.23			0.394538
0.24			0.402298
0.25			0.410191
0.26			0.418217
0.27			0.426379
0.28			0.434676
0.29			0.443109
0.3			0.451679
0.31			0.460387
0.32			0.469232
0.33			0.478215
0.34			0.487337
0.35			0.496597
0.36			0.505996
0.37			0.515533
0.38			0.525208
0.39			0.535021
0.4			0.544972
0.41			0.55506
0.42			0.565283
0.43			0.575642
0.44			0.586135
0.45			0.596762
0.46			0.60752
0.47			0.618408
0.48			0.629424
0.49			0.640567
0.5			0.651835
0.51			0.663225
0.52			0.674735
0.53			0.686362
0.54			0.698103
0.55			0.709955
0.56			0.721916
0.57			0.733981
0.58			0.746146
0.59			0.758409
0.6			0.770763
0.61			0.783206
0.62			0.795732
0.63			0.808336
0.64			0.821013
0.65			0.833758
0.66			0.846564
0.67			0.859426
0.68			0.872337
0.69			0.885291
0.7			0.89828
0.71			0.911299
0.72			0.924338
0.73			0.937391
0.74			0.95045
0.75			0.963506
0.76			0.97655
0.77			0.989574
0.78			1.00257
0.79			1.01552
0.8			1.02843
0.81			1.04128
0.82			1.05406
0.83			1.06676
0.84			1.07937
0.85			1.09188
0.86			1.10427
0.87			1.11655
0.88			1.12868
0.89			1.14067
0.9			1.1525
0.91			1.16416
0.92			1.17563
0.93			1.18691
0.94			1.19797
0.95			1.20882
0.96			1.21942
0.97			1.22978
0.98			1.23988
0.99			1.2497
1			1.25923
1.01			1.26846
1.02			1.27737
1.03			1.28596
1.04			1.2942
1.05			1.30209
1.06			1.30961
1.07			1.31675
1.08			1.3235
1.09			1.32984
1.1			1.33577
1.11			1.34126
1.12			1.34632
1.13			1.35092
1.14			1.35506
1.15			1.35873
1.16			1.36192
1.17			1.36461
1.18			1.36681
1.19			1.36849
1.2			1.36966
1.21			1.37031
1.22			1.37042
1.23			1.37
1.24			1.36905
1.25			1.36755
1.26			1.3655
1.27			1.36291
1.28			1.35977
1.29			1.35608
1.3			1.35184
1.31			1.34706
1.32			1.34173
1.33			1.33587
1.34			1.32947
1.35			1.32255
1.36			1.31511
1.37			1.30715
1.38			1.2987
1.39			1.28976
1.4			1.28035
1.41			1.27047
1.42			1.26015
1.43			1.24939
1.44			1.23823
1.45			1.22667
1.46			1.21475
1.47			1.20247
1.48			1.18986
1.49			1.17695
1.5			1.16377
1.51			1.15033
1.52			1.13667
1.53			1.12282
1.54			1.1088
1.55			1.09465
1.56			1.0804
1.57			1.06608
1.58			1.05172
1.59			1.03737
1.6			1.02304
1.61			1.00879
1.62			0.994649
1.63			0.980648
1.64			0.966827
1.65			0.953222
1.66			0.939872
1.67			0.926813
1.68			0.914082
1.69			0.901716
1.7			0.889751
1.71			0.878224
1.72			0.867168
1.73			0.856619
1.74			0.84661
1.75			0.837173
1.76			0.82834
1.77			0.82014
1.78			0.812602
1.79			0.805751
1.8			0.799614
1.81			0.794213
1.82			0.789569
1.83			0.785701
1.84			0.782625
1.85			0.780355
1.86			0.778903
1.87			0.778277
1.88			0.778484
1.89			0.779527
1.9			0.781406
1.91			0.784119
1.92			0.787658
1.93			0.792016
1.94			0.79718
1.95			0.803135
1.96			0.809861
1.97			0.817337
1.98			0.825538
1.99			0.834436
2			0.843997
2.01			0.854188
2.02			0.864972
2.03			0.876306
2.04			0.888147
2.05			0.900449
2.06			0.913162
2.07			0.926236
2.08			0.939616
2.09			0.953245
2.1			0.967067
2.11			0.981022
2.12			0.995049
2.13			1.00908
2.14			1.02307
2.15			1.03693
2.16			1.05062
2.17			1.06405
2.18			1.07718
2.19			1.08994
2.2			1.10226
2.21			1.11408
2.22			1.12535
2.23			1.13601
2.24			1.14599
2.25			1.15526
2.26			1.16375
2.27			1.17143
2.28			1.17824
2.29			1.18416
2.3			1.18914
2.31			1.19315
2.32			1.19617
2.33			1.19818
2.34			1.19917
2.35			1.19911
2.36			1.19802
2.37			1.19588
2.38			1.19271
2.39			1.18852
2.4			1.18333
2.41			1.17715
2.42			1.17004
2.43			1.16201
2.44			1.15312
2.45			1.1434
2.46			1.13292
2.47			1.12174
2.48			1.10991
2.49			1.09751
2.5			1.0846
2.51			1.07128
2.52			1.05761
2.53			1.04368
2.54			1.02957
2.55			1.01538
2.56			1.0012
2.57			0.987113
2.58			0.973213
2.59			0.959593
2.6			0.946343
2.61			0.933553
2.62			0.921308
2.63			0.909695
2.64			0.898793
2.65			0.88868
2.66			0.879429
2.67			0.871107
2.68			0.863775
2.69			0.857489
2.7			0.852297
2.71			0.848239
2.72			0.845349
2.73			0.843653
2.74			0.843165
2.75			0.843895
2.76			0.84584
2.77			0.848991
2.78			0.853327
2.79			0.858819
2.8			0.865429
2.81			0.873109
2.82			0.881804
2.83			0.891448
2.84			0.901969
2.85			0.913285
2.86			0.925309
2.87			0.937945
2.88			0.951094
2.89			0.964648
2.9			0.978499
2.91			0.992531
2.92			1.00663
2.93			1.02067
2.94			1.03454
2.95			1.04812
2.96			1.06129
2.97			1.07394
2.98			1.08595
2.99			1.09721
3			1.10763
3.01			1.11711
3.02			1.12556
3.03			1.1329
3.04			1.13906
3.05			1.14398
3.06			1.14761
3.07			1.14991
3.08			1.15086
3.09			1.15044
3.1			1.14866
3.11			1.14552
3.12			1.14105
3.13			1.13529
3.14			1.12829
3.15			1.12011
3.16			1.11083
3.17			1.10053
3.18			1.08932
3.19			1.07731
3.2			1.0646
3.21			1.05133
3.22			1.03763
3.23			1.02363
3.24			1.00949
3.25			0.995336
3.26			0.981327
3.27			0.967607
3.28			0.95432
3.29			0.941608
3.3			0.929609
3.31			0.918452
3.32			0.90826
3.33			0.899147
3.34			0.891215
3.35			0.884554
3.36			0.879241
3.37			0.875339
3.38			0.872896
3.39			0.871943
3.4			0.872495
3.41			0.87455
3.42			0.878088
3.43			0.883073
3.44			0.889451
3.45			0.897151
3.46			0.906086
3.47			0.916155
3.48			0.927242
3.49			0.939216
3.5			0.951936
3.51			0.965251
3.52			0.979001
3.53			0.993018
3.54			1.00713
3.55			1.02117
3.56			1.03495
3.57			1.04831
3.58			1.06107
3.59			1.07308
3.6			1.08417
3.61			1.09421
3.62			1.10306
3.63			1.1106
3.64			1.11674
3.65			1.12138
3.66			1.12446
3.67			1.12595
3.68			1.1258
3.69			1.12403
3.7			1.12064
3.71			1.11569
3.72			1.10923
3.73			1.10134
3.74			1.09214
3.75			1.08174
3.76			1.07028
3.77			1.05793
3.78			1.04484
3.79			1.03121
3.8			1.01722
3.81			1.00307
3.82			0.988969
3.83			0.97511
3.84			0.961697
3.85			0.948926
3.86			0.936984
3.87			0.926048
3.88			0.916282
3.89			0.907833
3.9			0.900831
3.91			0.895383
3.92			0.891576
3.93			0.88947
3.94			0.889103
3.95			0.890483
3.96			0.893594
3.97			0.898391
3.98			0.904805
3.99			0.91274
4			0.922073
