x		Fresnel-Sin		Fresnel-Cos
0		0		0
0.01		5.23599e-007		0.01
0.02		4.18879e-006		0.02
0.03		1.41372e-005		0.03
0.04		3.35103e-005		0.04
0.05		6.54498e-005		0.0499999
0.06		0.000113097		0.0599998
0.07		0.000179594		0.0699996
0.08		0.000268081		0.0799992
0.09		0.000381699		0.0899985
0.1		0.00052359		0.0999975
0.11		0.000696892		0.109996
0.12		0.000904746		0.119994
0.13		0.00115029		0.129991
0.14		0.00143666		0.139987
0.15		0.00176699		0.149981
0.16		0.00214441		0.159974
0.17		0.00257206		0.169965
0.18		0.00305306		0.179953
0.19		0.00359054		0.189939
0.2		0.00418761		0.199921
0.21		0.00484739		0.209899
0.22		0.00557298		0.219873
0.23		0.00636748		0.229841
0.24		0.007234		0.239804
0.25		0.0081756		0.249759
0.26		0.00919536		0.259707
0.27		0.0102963		0.269646
0.28		0.0114816		0.279576
0.29		0.0127541		0.289494
0.3		0.014117		0.299401
0.31		0.0155732		0.309294
0.32		0.0171256		0.319173
0.33		0.0187773		0.329036
0.34		0.0205311		0.338881
0.35		0.02239		0.348706
0.36		0.0243568		0.358511
0.37		0.0264344		0.368293
0.38		0.0286255		0.37805
0.39		0.0309329		0.38778
0.4		0.0333594		0.397481
0.41		0.0359076		0.407151
0.42		0.0385802		0.416787
0.43		0.0413796		0.426387
0.44		0.0443085		0.435948
0.45		0.0473692		0.445468
0.46		0.0505642		0.454944
0.47		0.0538959		0.464373
0.48		0.0573663		0.473751
0.49		0.0609778		0.483076
0.5		0.0647324		0.492344
0.51		0.0686322		0.501552
0.52		0.0726789		0.510697
0.53		0.0768745		0.519774
0.54		0.0812206		0.52878
0.55		0.0857189		0.537711
0.56		0.0903708		0.546563
0.57		0.0951777		0.555332
0.58		0.100141		0.564013
0.59		0.105261		0.572602
0.6		0.11054		0.581095
0.61		0.115978		0.589487
0.62		0.121576		0.597774
0.63		0.127334		0.605949
0.64		0.133253		0.614009
0.65		0.139332		0.621949
0.66		0.145573		0.629763
0.67		0.151974		0.637445
0.68		0.158535		0.644991
0.69		0.165256		0.652396
0.7		0.172136		0.659652
0.71		0.179174		0.666756
0.72		0.186369		0.673701
0.73		0.193719		0.680482
0.74		0.201222		0.687092
0.75		0.208877		0.693526
0.76		0.216682		0.699778
0.77		0.224633		0.705842
0.78		0.232729		0.711711
0.79		0.240966		0.717381
0.8		0.249341		0.722844
0.81		0.257851		0.728095
0.82		0.266492		0.733128
0.83		0.27526		0.737937
0.84		0.28415		0.742515
0.85		0.293158		0.746858
0.86		0.302278		0.750958
0.87		0.311506		0.75481
0.88		0.320836		0.758409
0.89		0.330261		0.761748
0.9		0.339776		0.764823
0.91		0.349375		0.767627
0.92		0.359049		0.770156
0.93		0.368793		0.772405
0.94		0.378598		0.774367
0.95		0.388457		0.776039
0.96		0.398361		0.777417
0.97		0.408303		0.778495
0.98		0.418272		0.779269
0.99		0.428261		0.779737
1		0.438259		0.779893
1.01		0.448257		0.779736
1.02		0.458246		0.779261
1.03		0.468214		0.778467
1.04		0.478151		0.77735
1.05		0.488046		0.77591
1.06		0.497888		0.774143
1.07		0.507666		0.772051
1.08		0.517369		0.76963
1.09		0.526983		0.766882
1.1		0.536498		0.763807
1.11		0.545901		0.760404
1.12		0.555179		0.756676
1.13		0.564321		0.752624
1.14		0.573313		0.748249
1.15		0.582142		0.743556
1.16		0.590797		0.738547
1.17		0.599263		0.733226
1.18		0.607527		0.727597
1.19		0.615578		0.721666
1.2		0.623401		0.715438
1.21		0.630984		0.708919
1.22		0.638313		0.702118
1.23		0.645377		0.69504
1.24		0.652162		0.687695
1.25		0.658656		0.680091
1.26		0.664846		0.672238
1.27		0.67072		0.664146
1.28		0.676267		0.655826
1.29		0.681475		0.64729
1.3		0.686333		0.63855
1.31		0.69083		0.629619
1.32		0.694956		0.620511
1.33		0.698701		0.611239
1.34		0.702055		0.60182
1.35		0.70501		0.592267
1.36		0.707557		0.582597
1.37		0.709688		0.572828
1.38		0.711398		0.562976
1.39		0.712678		0.553059
1.4		0.713525		0.543096
1.41		0.713933		0.533105
1.42		0.713898		0.523106
1.43		0.713417		0.513118
1.44		0.712488		0.503162
1.45		0.711109		0.493259
1.46		0.709282		0.483428
1.47		0.707005		0.473691
1.48		0.704281		0.464071
1.49		0.701113		0.454587
1.5		0.697505		0.445261
1.51		0.693461		0.436116
1.52		0.688989		0.427173
1.53		0.684094		0.418454
1.54		0.678787		0.40998
1.55		0.673075		0.401773
1.56		0.666971		0.393853
1.57		0.660487		0.386242
1.58		0.653635		0.37896
1.59		0.64643		0.372026
1.6		0.638888		0.365462
1.61		0.631025		0.359284
1.62		0.622861		0.353512
1.63		0.614413		0.348163
1.64		0.605703		0.343253
1.65		0.596751		0.338798
1.66		0.58758		0.334813
1.67		0.578215		0.331312
1.68		0.568678		0.328306
1.69		0.558997		0.325808
1.7		0.549196		0.323827
1.71		0.539304		0.322372
1.72		0.529347		0.32145
1.73		0.519356		0.321068
1.74		0.509358		0.321228
1.75		0.499385		0.321935
1.76		0.489465		0.323189
1.77		0.479629		0.324989
1.78		0.469909		0.327332
1.79		0.460335		0.330216
1.8		0.450939		0.333633
1.81		0.44175		0.337575
1.82		0.432801		0.342034
1.83		0.42412		0.346996
1.84		0.41574		0.352449
1.85		0.407688		0.358378
1.86		0.399994		0.364763
1.87		0.392687		0.371588
1.88		0.385792		0.378829
1.89		0.379338		0.386465
1.9		0.373347		0.39447
1.91		0.367845		0.402819
1.92		0.362854		0.411482
1.93		0.358393		0.420431
1.94		0.354484		0.429633
1.95		0.351142		0.439057
1.96		0.348383		0.448667
1.97		0.346221		0.458429
1.98		0.344666		0.468306
1.99		0.343729		0.47826
2		0.343415		0.488253
2.01		0.34373		0.498247
2.02		0.344675		0.5082
2.03		0.346248		0.518074
2.04		0.348448		0.527827
2.05		0.351269		0.53742
2.06		0.3547		0.546811
2.07		0.358732		0.55596
2.08		0.36335		0.564828
2.09		0.368536		0.573376
2.1		0.374273		0.581564
2.11		0.380537		0.589357
2.12		0.387303		0.596718
2.13		0.394545		0.603612
2.14		0.402231		0.610006
2.15		0.410329		0.61587
2.16		0.418804		0.621174
2.17		0.42762		0.62589
2.18		0.436736		0.629996
2.19		0.446112		0.633467
2.2		0.455704		0.636286
2.21		0.465469		0.638436
2.22		0.475358		0.639904
2.23		0.485326		0.640678
2.24		0.495324		0.640753
2.25		0.505302		0.640125
2.26		0.515211		0.638793
2.27		0.525001		0.636762
2.28		0.53462		0.634039
2.29		0.544021		0.630634
2.3		0.553152		0.626562
2.31		0.561965		0.621842
2.32		0.570413		0.616495
2.33		0.578449		0.610547
2.34		0.586029		0.604027
2.35		0.593109		0.596969
2.36		0.599649		0.589407
2.37		0.605612		0.581382
2.38		0.61096		0.572935
2.39		0.615663		0.564112
2.4		0.619691		0.554962
2.41		0.623018		0.545534
2.42		0.625622		0.535881
2.43		0.627486		0.526059
2.44		0.628595		0.516123
2.45		0.62894		0.506131
2.46		0.628515		0.496143
2.47		0.627321		0.486217
2.48		0.625361		0.476413
2.49		0.622644		0.466792
2.5		0.619183		0.457413
2.51		0.614997		0.448334
2.52		0.610109		0.439613
2.53		0.604546		0.431306
2.54		0.598342		0.423467
2.55		0.591532		0.416147
2.56		0.584158		0.409396
2.57		0.576266		0.403259
2.58		0.567905		0.397778
2.59		0.559127		0.392993
2.6		0.54999		0.388936
2.61		0.540552		0.385639
2.62		0.530876		0.383126
2.63		0.521026		0.381417
2.64		0.511068		0.380527
2.65		0.501071		0.380464
2.66		0.491104		0.381233
2.67		0.481235		0.382832
2.68		0.471535		0.385251
2.69		0.462073		0.388478
2.7		0.452917		0.392492
2.71		0.444134		0.397267
2.72		0.435789		0.402772
2.73		0.427944		0.408969
2.74		0.420659		0.415815
2.75		0.413989		0.423262
2.76		0.407987		0.431257
2.77		0.4027		0.439742
2.78		0.39817		0.448653
2.79		0.394435		0.457926
2.8		0.391526		0.467491
2.81		0.389469		0.477274
2.82		0.388282		0.4872
2.83		0.387977		0.497192
2.84		0.388562		0.507172
2.85		0.390033		0.51706
2.86		0.392382		0.526777
2.87		0.395594		0.536244
2.88		0.399645		0.545383
2.89		0.404506		0.554119
2.9		0.410138		0.562378
2.91		0.416498		0.57009
2.92		0.423536		0.57719
2.93		0.431195		0.583615
2.94		0.439412		0.589309
2.95		0.448119		0.59422
2.96		0.457243		0.598305
2.97		0.466707		0.601525
2.98		0.47643		0.603849
2.99		0.486327		0.605254
3		0.496313		0.605725
3.01		0.506298		0.605253
3.02		0.516195		0.603841
3.03		0.525913		0.601498
3.04		0.535364		0.598242
3.05		0.544462		0.594099
3.06		0.553122		0.589105
3.07		0.561262		0.583303
3.08		0.568806		0.576744
3.09		0.57568		0.569486
3.1		0.58182		0.561597
3.11		0.587162		0.553148
3.12		0.591655		0.544218
