a	Error-Function
-4		0.999937
-3.999		0.999936
-3.998		0.999936
-3.997		0.999936
-3.996		0.999936
-3.995		0.999935
-3.994		0.999935
-3.993		0.999935
-3.992		0.999934
-3.991		0.999934
-3.99		0.999934
-3.989		0.999934
-3.988		0.999933
-3.987		0.999933
-3.986		0.999933
-3.985		0.999933
-3.984		0.999932
-3.983		0.999932
-3.982		0.999932
-3.981		0.999931
-3.98		0.999931
-3.979		0.999931
-3.978		0.99993
-3.977		0.99993
-3.976		0.99993
-3.975		0.99993
-3.974		0.999929
-3.973		0.999929
-3.972		0.999929
-3.971		0.999928
-3.97		0.999928
-3.969		0.999928
-3.968		0.999928
-3.967		0.999927
-3.966		0.999927
-3.965		0.999927
-3.964		0.999926
-3.963		0.999926
-3.962		0.999926
-3.961		0.999925
-3.96		0.999925
-3.959		0.999925
-3.958		0.999924
-3.957		0.999924
-3.956		0.999924
-3.955		0.999923
-3.954		0.999923
-3.953		0.999923
-3.952		0.999922
-3.951		0.999922
-3.95		0.999922
-3.949		0.999922
-3.948		0.999921
-3.947		0.999921
-3.946		0.999921
-3.945		0.99992
-3.944		0.99992
-3.943		0.99992
-3.942		0.999919
-3.941		0.999919
-3.94		0.999919
-3.939		0.999918
-3.938		0.999918
-3.937		0.999917
-3.936		0.999917
-3.935		0.999917
-3.934		0.999916
-3.933		0.999916
-3.932		0.999916
-3.931		0.999915
-3.93		0.999915
-3.929		0.999915
-3.928		0.999914
-3.927		0.999914
-3.926		0.999914
-3.925		0.999913
-3.924		0.999913
-3.923		0.999913
-3.922		0.999912
-3.921		0.999912
-3.92		0.999911
-3.919		0.999911
-3.918		0.999911
-3.917		0.99991
-3.916		0.99991
-3.915		0.99991
-3.914		0.999909
-3.913		0.999909
-3.912		0.999908
-3.911		0.999908
-3.91		0.999908
-3.909		0.999907
-3.908		0.999907
-3.907		0.999907
-3.906		0.999906
-3.905		0.999906
-3.904		0.999905
-3.903		0.999905
-3.902		0.999905
-3.901		0.999904
-3.9		0.999904
-3.899		0.999903
-3.898		0.999903
-3.897		0.999903
-3.896		0.999902
-3.895		0.999902
-3.894		0.999901
-3.893		0.999901
-3.892		0.999901
-3.891		0.9999
-3.89		0.9999
-3.889		0.999899
-3.888		0.999899
-3.887		0.999899
-3.886		0.999898
-3.885		0.999898
-3.884		0.999897
-3.883		0.999897
-3.882		0.999896
-3.881		0.999896
-3.88		0.999896
-3.879		0.999895
-3.878		0.999895
-3.877		0.999894
-3.876		0.999894
-3.875		0.999893
-3.874		0.999893
-3.873		0.999892
-3.872		0.999892
-3.871		0.999892
-3.87		0.999891
-3.869		0.999891
-3.868		0.99989
-3.867		0.99989
-3.866		0.999889
-3.865		0.999889
-3.864		0.999888
-3.863		0.999888
-3.862		0.999888
-3.861		0.999887
-3.86		0.999887
-3.859		0.999886
-3.858		0.999886
-3.857		0.999885
-3.856		0.999885
-3.855		0.999884
-3.854		0.999884
-3.853		0.999883
-3.852		0.999883
-3.851		0.999882
-3.85		0.999882
-3.849		0.999881
-3.848		0.999881
-3.847		0.99988
-3.846		0.99988
-3.845		0.999879
-3.844		0.999879
-3.843		0.999878
-3.842		0.999878
-3.841		0.999877
-3.84		0.999877
-3.839		0.999876
-3.838		0.999876
-3.837		0.999875
-3.836		0.999875
-3.835		0.999874
-3.834		0.999874
-3.833		0.999873
-3.832		0.999873
-3.831		0.999872
-3.83		0.999872
-3.829		0.999871
-3.828		0.999871
-3.827		0.99987
-3.826		0.99987
-3.825		0.999869
-3.824		0.999869
-3.823		0.999868
-3.822		0.999868
-3.821		0.999867
-3.82		0.999867
-3.819		0.999866
-3.818		0.999865
-3.817		0.999865
-3.816		0.999864
-3.815		0.999864
-3.814		0.999863
-3.813		0.999863
-3.812		0.999862
-3.811		0.999862
-3.81		0.999861
-3.809		0.99986
-3.808		0.99986
-3.807		0.999859
-3.806		0.999859
-3.805		0.999858
-3.804		0.999858
-3.803		0.999857
-3.802		0.999856
-3.801		0.999856
-3.8		0.999855
-3.799		0.999855
-3.798		0.999854
-3.797		0.999854
-3.796		0.999853
-3.795		0.999852
-3.794		0.999852
-3.793		0.999851
-3.792		0.999851
-3.791		0.99985
-3.79		0.999849
-3.789		0.999849
-3.788		0.999848
-3.787		0.999848
-3.786		0.999847
-3.785		0.999846
-3.784		0.999846
-3.783		0.999845
-3.782		0.999844
-3.781		0.999844
-3.78		0.999843
-3.779		0.999843
-3.778		0.999842
-3.777		0.999841
-3.776		0.999841
-3.775		0.99984
-3.774		0.999839
-3.773		0.999839
-3.772		0.999838
-3.771		0.999837
-3.77		0.999837
-3.769		0.999836
-3.768		0.999835
-3.767		0.999835
-3.766		0.999834
-3.765		0.999833
-3.764		0.999833
-3.763		0.999832
-3.762		0.999831
-3.761		0.999831
-3.76		0.99983
-3.759		0.999829
-3.758		0.999829
-3.757		0.999828
-3.756		0.999827
-3.755		0.999827
-3.754		0.999826
-3.753		0.999825
-3.752		0.999825
-3.751		0.999824
-3.75		0.999823
-3.749		0.999822
-3.748		0.999822
-3.747		0.999821
-3.746		0.99982
-3.745		0.99982
-3.744		0.999819
-3.743		0.999818
-3.742		0.999817
-3.741		0.999817
-3.74		0.999816
-3.739		0.999815
-3.738		0.999815
-3.737		0.999814
-3.736		0.999813
-3.735		0.999812
-3.734		0.999812
-3.733		0.999811
-3.732		0.99981
-3.731		0.999809
-3.73		0.999809
-3.729		0.999808
-3.728		0.999807
-3.727		0.999806
-3.726		0.999805
-3.725		0.999805
-3.724		0.999804
-3.723		0.999803
-3.722		0.999802
-3.721		0.999802
-3.72		0.999801
-3.719		0.9998
-3.718		0.999799
-3.717		0.999798
-3.716		0.999798
-3.715		0.999797
-3.714		0.999796
-3.713		0.999795
-3.712		0.999794
-3.711		0.999794
-3.71		0.999793
-3.709		0.999792
-3.708		0.999791
-3.707		0.99979
-3.706		0.999789
-3.705		0.999789
-3.704		0.999788
-3.703		0.999787
-3.702		0.999786
-3.701		0.999785
-3.7		0.999784
-3.699		0.999784
-3.698		0.999783
-3.697		0.999782
-3.696		0.999781
-3.695		0.99978
-3.694		0.999779
-3.693		0.999778
-3.692		0.999777
-3.691		0.999777
-3.69		0.999776
-3.689		0.999775
-3.688		0.999774
-3.687		0.999773
-3.686		0.999772
-3.685		0.999771
-3.684		0.99977
-3.683		0.999769
-3.682		0.999769
-3.681		0.999768
-3.68		0.999767
-3.679		0.999766
-3.678		0.999765
-3.677		0.999764
-3.676		0.999763
-3.675		0.999762
-3.674		0.999761
-3.673		0.99976
-3.672		0.999759
-3.671		0.999758
-3.67		0.999757
-3.669		0.999756
-3.668		0.999756
-3.667		0.999755
-3.666		0.999754
-3.665		0.999753
-3.664		0.999752
-3.663		0.999751
-3.662		0.99975
-3.661		0.999749
-3.66		0.999748
-3.659		0.999747
-3.658		0.999746
-3.657		0.999745
-3.656		0.999744
-3.655		0.999743
-3.654		0.999742
-3.653		0.999741
-3.652		0.99974
-3.651		0.999739
-3.65		0.999738
-3.649		0.999737
-3.648		0.999736
-3.647		0.999735
-3.646		0.999734
-3.645		0.999733
-3.644		0.999732
-3.643		0.999731
-3.642		0.999729
-3.641		0.999728
-3.64		0.999727
-3.639		0.999726
-3.638		0.999725
-3.637		0.999724
-3.636		0.999723
-3.635		0.999722
-3.634		0.999721
-3.633		0.99972
-3.632		0.999719
-3.631		0.999718
-3.63		0.999717
-3.629		0.999715
-3.628		0.999714
-3.627		0.999713
-3.626		0.999712
-3.625		0.999711
-3.624		0.99971
-3.623		0.999709
-3.622		0.999708
-3.621		0.999707
-3.62		0.999705
-3.619		0.999704
-3.618		0.999703
-3.617		0.999702
-3.616		0.999701
-3.615		0.9997
-3.614		0.999698
-3.613		0.999697
-3.612		0.999696
-3.611		0.999695
-3.61		0.999694
-3.609		0.999693
-3.608		0.999691
-3.607		0.99969
-3.606		0.999689
-3.605		0.999688
-3.604		0.999687
-3.603		0.999685
-3.602		0.999684
-3.601		0.999683
-3.6		0.999682
-3.599		0.999681
-3.598		0.999679
-3.597		0.999678
-3.596		0.999677
-3.595		0.999676
-3.594		0.999674
-3.593		0.999673
-3.592		0.999672
-3.591		0.999671
-3.59		0.999669
-3.589		0.999668
-3.588		0.999667
-3.587		0.999665
-3.586		0.999664
-3.585		0.999663
-3.584		0.999662
-3.583		0.99966
-3.582		0.999659
-3.581		0.999658
-3.58		0.999656
-3.579		0.999655
-3.578		0.999654
-3.577		0.999652
-3.576		0.999651
-3.575		0.99965
-3.574		0.999648
-3.573		0.999647
-3.572		0.999646
-3.571		0.999644
-3.57		0.999643
-3.569		0.999642
-3.568		0.99964
-3.567		0.999639
-3.566		0.999638
-3.565		0.999636
-3.564		0.999635
-3.563		0.999633
-3.562		0.999632
-3.561		0.999631
-3.56		0.999629
-3.559		0.999628
-3.558		0.999626
-3.557		0.999625
-3.556		0.999623
-3.555		0.999622
-3.554		0.999621
-3.553		0.999619
-3.552		0.999618
-3.551		0.999616
-3.55		0.999615
-3.549		0.999613
-3.548		0.999612
-3.547		0.99961
-3.546		0.999609
-3.545		0.999607
-3.544		0.999606
-3.543		0.999604
-3.542		0.999603
-3.541		0.999601
-3.54		0.9996
-3.539		0.999598
-3.538		0.999597
-3.537		0.999595
-3.536		0.999594
-3.535		0.999592
-3.534		0.999591
-3.533		0.999589
-3.532		0.999588
-3.531		0.999586
-3.53		0.999584
-3.529		0.999583
-3.528		0.999581
-3.527		0.99958
-3.526		0.999578
-3.525		0.999577
-3.524		0.999575
-3.523		0.999573
-3.522		0.999572
-3.521		0.99957
-3.52		0.999568
-3.519		0.999567
-3.518		0.999565
-3.517		0.999564
-3.516		0.999562
-3.515		0.99956
-3.514		0.999559
-3.513		0.999557
-3.512		0.999555
-3.511		0.999554
-3.51		0.999552
-3.509		0.99955
-3.508		0.999549
-3.507		0.999547
-3.506		0.999545
-3.505		0.999543
-3.504		0.999542
-3.503		0.99954
-3.502		0.999538
-3.501		0.999536
-3.5		0.999535
-3.499		0.999533
-3.498		0.999531
-3.497		0.999529
-3.496		0.999528
-3.495		0.999526
-3.494		0.999524
-3.493		0.999522
-3.492		0.999521
-3.491		0.999519
-3.49		0.999517
-3.489		0.999515
-3.488		0.999513
-3.487		0.999512
-3.486		0.99951
-3.485		0.999508
-3.484		0.999506
-3.483		0.999504
-3.482		0.999502
-3.481		0.9995
-3.48		0.999499
-3.479		0.999497
-3.478		0.999495
-3.477		0.999493
-3.476		0.999491
-3.475		0.999489
-3.474		0.999487
-3.473		0.999485
-3.472		0.999483
-3.471		0.999481
-3.47		0.99948
-3.469		0.999478
-3.468		0.999476
-3.467		0.999474
-3.466		0.999472
-3.465		0.99947
-3.464		0.999468
-3.463		0.999466
-3.462		0.999464
-3.461		0.999462
-3.46		0.99946
-3.459		0.999458
-3.458		0.999456
-3.457		0.999454
-3.456		0.999452
-3.455		0.99945
-3.454		0.999448
-3.453		0.999446
-3.452		0.999444
-3.451		0.999441
-3.45		0.999439
-3.449		0.999437
-3.448		0.999435
-3.447		0.999433
-3.446		0.999431
-3.445		0.999429
-3.444		0.999427
-3.443		0.999425
-3.442		0.999423
-3.441		0.99942
-3.44		0.999418
-3.439		0.999416
-3.438		0.999414
-3.437		0.999412
-3.436		0.99941
-3.435		0.999407
-3.434		0.999405
-3.433		0.999403
-3.432		0.999401
-3.431		0.999399
-3.43		0.999396
-3.429		0.999394
-3.428		0.999392
-3.427		0.99939
-3.426		0.999387
-3.425		0.999385
-3.424		0.999383
-3.423		0.999381
-3.422		0.999378
-3.421		0.999376
-3.42		0.999374
-3.419		0.999371
-3.418		0.999369
-3.417		0.999367
-3.416		0.999365
-3.415		0.999362
-3.414		0.99936
-3.413		0.999357
-3.412		0.999355
-3.411		0.999353
-3.41		0.99935
-3.409		0.999348
-3.408		0.999346
-3.407		0.999343
-3.406		0.999341
-3.405		0.999338
-3.404		0.999336
-3.403		0.999333
-3.402		0.999331
-3.401		0.999329
-3.4		0.999326
-3.399		0.999324
-3.398		0.999321
-3.397		0.999319
-3.396		0.999316
-3.395		0.999314
-3.394		0.999311
-3.393		0.999309
-3.392		0.999306
-3.391		0.999304
-3.39		0.999301
-3.389		0.999299
-3.388		0.999296
-3.387		0.999293
-3.386		0.999291
-3.385		0.999288
-3.384		0.999286
-3.383		0.999283
-3.382		0.99928
-3.381		0.999278
-3.38		0.999275
-3.379		0.999272
