Angle		Time-Period
0			0.999402
0.00314159			0.999402
0.00628319			0.999404
0.00942478			0.999407
0.0125664			0.999412
0.015708			0.999417
0.0188496			0.999424
0.0219911			0.999432
0.0251327			0.999441
0.0282743			0.999452
0.0314159			0.999463
0.0345575			0.999476
0.0376991			0.999491
0.0408407			0.999506
0.0439823			0.999523
0.0471239			0.999541
0.0502655			0.99956
0.0534071			0.99958
0.0565487			0.999602
0.0596903			0.999624
0.0628319			0.999648
0.0659734			0.999674
0.069115			0.9997
0.0722566			0.999728
0.0753982			0.999757
0.0785398			0.999787
0.0816814			0.999819
0.084823			0.999851
0.0879646			0.999885
0.0911062			0.999921
0.0942478			0.999957
0.0973894			0.999995
0.100531			1.00003
0.103673			1.00007
0.106814			1.00011
0.109956			1.00016
0.113097			1.0002
0.116239			1.00025
0.119381			1.00029
0.122522			1.00034
0.125664			1.00039
0.128805			1.00044
0.131947			1.00049
0.135088			1.00054
0.13823			1.0006
0.141372			1.00065
0.144513			1.00071
0.147655			1.00077
0.150796			1.00082
0.153938			1.00088
0.15708			1.00095
0.160221			1.00101
0.163363			1.00107
0.166504			1.00114
0.169646			1.0012
0.172788			1.00127
0.175929			1.00134
0.179071			1.00141
0.182212			1.00148
0.185354			1.00155
0.188496			1.00163
0.191637			1.0017
0.194779			1.00178
0.19792			1.00185
0.201062			1.00193
0.204204			1.00201
0.207345			1.00209
0.210487			1.00218
0.213628			1.00226
0.21677			1.00234
0.219911			1.00243
0.223053			1.00252
0.226195			1.00261
0.229336			1.0027
0.232478			1.00279
0.235619			1.00288
0.238761			1.00297
0.241903			1.00307
0.245044			1.00317
0.248186			1.00326
0.251327			1.00336
0.254469			1.00346
0.257611			1.00356
0.260752			1.00367
0.263894			1.00377
0.267035			1.00387
0.270177			1.00398
0.273319			1.00409
0.27646			1.0042
0.279602			1.00431
0.282743			1.00442
0.285885			1.00453
0.289027			1.00464
0.292168			1.00476
0.29531			1.00488
0.298451			1.00499
0.301593			1.00511
0.304734			1.00523
0.307876			1.00535
0.311018			1.00548
0.314159			1.0056
0.317301			1.00573
0.320442			1.00585
