Time		Euler_Method		Actual_Solution
0		0.99		1
0.01		0.980592		0.990295
0.02		0.971749		0.981163
0.03		0.963445		0.972578
0.04		0.955655		0.964514
0.05		0.948354		0.956947
0.06		0.941521		0.949854
0.07		0.935133		0.943213
0.08		0.929168		0.937003
0.09		0.923608		0.931203
0.1		0.918433		0.925795
0.11		0.913624		0.920759
0.12		0.909164		0.916078
0.13		0.905035		0.911734
0.14		0.901222		0.907713
0.15		0.89771		0.903997
0.16		0.894483		0.900572
0.17		0.891527		0.897423
0.18		0.888829		0.894538
0.19		0.886376		0.891903
0.2		0.884155		0.889504
0.21		0.882155		0.887332
0.22		0.880364		0.885373
0.23		0.878771		0.883618
0.24		0.877367		0.882055
0.25		0.876141		0.880674
0.26		0.875083		0.879467
0.27		0.874186		0.878424
0.28		0.873439		0.877535
0.29		0.872836		0.876794
0.3		0.872367		0.876191
0.31		0.872026		0.87572
0.32		0.871805		0.875372
0.33		0.871697		0.875142
0.34		0.871697		0.875022
0.35		0.871797		0.875006
0.36		0.871992		0.875088
0.37		0.872275		0.875262
0.38		0.872643		0.875523
0.39		0.873089		0.875865
0.4		0.873608		0.876284
0.41		0.874196		0.876774
0.42		0.874848		0.877332
0.43		0.875561		0.877952
0.44		0.876329		0.878631
0.45		0.877149		0.879365
0.46		0.878018		0.880149
0.47		0.878932		0.880981
0.48		0.879887		0.881857
0.49		0.880881		0.882774
0.5		0.88191		0.883728
0.51		0.882971		0.884717
0.52		0.884063		0.885738
0.53		0.885181		0.886788
0.54		0.886324		0.887865
0.55		0.88749		0.888966
0.56		0.888675		0.890089
0.57		0.889879		0.891233
0.58		0.891099		0.892394
0.59		0.892333		0.893571
0.6		0.893579		0.894762
0.61		0.894836		0.895965
0.62		0.896101		0.89718
0.63		0.897375		0.898403
0.64		0.898654		0.899634
0.65		0.899938		0.900871
0.66		0.901226		0.902113
0.67		0.902516		0.903359
0.68		0.903807		0.904607
0.69		0.905098		0.905857
0.7		0.906388		0.907107
0.71		0.907676		0.908356
