Time		Euler-Method	Solution
0		0.5		0
0.1		0.986088		0.504006
0.2		1.33676		0.929969
0.3		1.45358		1.15892
0.4		1.28927		1.11062
0.5		0.86543		0.768453
0.6		0.274274		0.190492
0.7		-0.337857		-0.497785
0.8		-0.802753		-1.12902
0.9		-0.971672		-1.53307
1		-0.755949		-1.581
1.1		-0.156248		-1.22288
1.2		0.728356		-0.509128
1.3		1.71593		0.412071
1.4		2.58046		1.32301
1.5		3.10614		1.98575
1.6		3.14475		2.20186
1.7		2.66157		1.86818
1.8		1.75653		1.01365
1.9		0.652703		-0.194319
2		-0.348502		-1.4788
2.1		-0.937119		-2.51386
2.2		-0.873976		-3.00414
2.3		-0.0599466		-2.76485
2.4		1.42398		-1.78148
2.5		3.31928		-0.231486
2.6		5.23897		1.54172
2.7		6.75527		3.10054
2.8		7.50719		4.01711
2.9		7.30209		3.98556
3		6.18424		2.91439
3.1		4.44904		0.972765
3.2		2.59359		-1.42599
3.3		1.20958		-3.70625
3.4		0.840553		-5.26264
3.5		1.83672		-5.61434
3.6		4.24489		-4.54321
3.7		7.76589		-2.17811
3.8		11.7976		1.00206
3.9		15.5613		4.25615
4		18.2878		6.7458
4.1		19.4204		7.74328
4.2		18.7844		6.83227
4.3		16.6753		4.04895
4.4		13.8345		-0.0798832
4.5		11.3063		-4.62218
4.6		10.2016		-8.44036
4.7		11.4205		-10.4655
4.8		15.3996		-9.98235
4.9		21.9547		-6.85286
5		30.2684		-1.61237
