Time		Angular_Position		Angular_Velocity
0		0.01		1
0.01		0.02		0.99902
0.02		0.0299902		0.99706
0.03		0.0399608		0.994121
0.04		0.049902		0.990205
0.05		0.0598041		0.985314
0.06		0.0696572		0.979454
0.07		0.0794517		0.972627
0.08		0.089178		0.964841
0.09		0.0988264		0.956101
0.1		0.108387		0.946416
0.11		0.117852		0.935795
0.12		0.12721		0.924245
0.13		0.136452		0.911779
0.14		0.14557		0.898406
0.15		0.154554		0.88414
0.16		0.163395		0.868994
0.17		0.172085		0.852981
0.18		0.180615		0.836117
0.19		0.188976		0.818417
0.2		0.19716		0.799897
0.21		0.205159		0.780575
0.22		0.212965		0.76047
0.23		0.22057		0.739599
0.24		0.227966		0.717983
0.25		0.235146		0.695643
0.26		0.242102		0.672598
0.27		0.248828		0.648872
0.28		0.255317		0.624487
0.29		0.261562		0.599466
0.3		0.267556		0.573833
0.31		0.273295		0.547613
0.32		0.278771		0.52083
0.33		0.283979		0.49351
0.34		0.288914		0.46568
0.35		0.293571		0.437367
0.36		0.297945		0.408597
0.37		0.302031		0.379398
0.38		0.305825		0.349799
0.39		0.309323		0.319828
0.4		0.312521		0.289515
0.41		0.315416		0.258888
0.42		0.318005		0.227977
0.43		0.320285		0.196813
0.44		0.322253		0.165425
0.45		0.323907		0.133844
0.46		0.325245		0.102101
0.47		0.326266		0.070227
0.48		0.326969		0.0382529
0.49		0.327351		0.00620994
0.5		0.327413		-0.0258705
0.51		0.327155		-0.057957
0.52		0.326575		-0.0900181
0.53		0.325675		-0.122022
0.54		0.324455		-0.153939
0.55		0.322915		-0.185735
0.56		0.321058		-0.217381
0.57		0.318884		-0.248845
0.58		0.316396		-0.280095
0.59		0.313595		-0.311102
0.6		0.310484		-0.341834
0.61		0.307065		-0.372262
0.62		0.303343		-0.402354
0.63		0.299319		-0.432082
0.64		0.294998		-0.461415
0.65		0.290384		-0.490325
0.66		0.285481		-0.518782
0.67		0.280293		-0.54676
0.68		0.274826		-0.574228
0.69		0.269083		-0.601161
0.7		0.263072		-0.627531
0.71		0.256796		-0.653312
0.72		0.250263		-0.678478
0.73		0.243478		-0.703004
0.74		0.236448		-0.726865
0.75		0.22918		-0.750037
0.76		0.221679		-0.772497
0.77		0.213954		-0.794221
0.78		0.206012		-0.815189
0.79		0.19786		-0.835378
0.8		0.189507		-0.854768
0.81		0.180959		-0.87334
0.82		0.172225		-0.891074
0.83		0.163315		-0.907952
0.84		0.154235		-0.923957
0.85		0.144996		-0.939072
0.86		0.135605		-0.953281
0.87		0.126072		-0.966571
0.88		0.116406		-0.978926
0.89		0.106617		-0.990334
0.9		0.0967138		-1.00078
0.91		0.086706		-1.01026
0.92		0.0766034		-1.01876
0.93		0.0664158		-1.02626
0.94		0.0561531		-1.03277
0.95		0.0458254		-1.03828
0.96		0.0354427		-1.04277
0.97		0.025015		-1.04624
0.98		0.0145526		-1.04869
0.99		0.00406566		-1.05012
1		-0.00643552		-1.05052
1.01		-0.0169407		-1.04989
1.02		-0.0274395		-1.04823
1.03		-0.0379218		-1.04554
1.04		-0.0483772		-1.04182
1.05		-0.0587954		-1.03708
1.06		-0.0691662		-1.03132
1.07		-0.0794793		-1.02454
1.08		-0.0897247		-1.01675
1.09		-0.0998922		-1.00796
1.1		-0.109972		-0.998168
1.11		-0.119953		-0.98739
1.12		-0.129827		-0.975635
1.13		-0.139584		-0.962912
1.14		-0.149213		-0.949233
1.15		-0.158705		-0.93461
1.16		-0.168051		-0.919057
1.17		-0.177242		-0.902588
1.18		-0.186268		-0.885218
1.19		-0.19512		-0.866964
1.2		-0.20379		-0.847842
1.21		-0.212268		-0.827871
1.22		-0.220547		-0.807068
1.23		-0.228617		-0.785455
1.24		-0.236472		-0.76305
1.25		-0.244102		-0.739876
1.26		-0.251501		-0.715954
1.27		-0.258661		-0.691307
1.28		-0.265574		-0.665958
1.29		-0.272233		-0.639932
1.3		-0.278633		-0.613253
1.31		-0.284765		-0.585947
1.32		-0.290625		-0.55804
1.33		-0.296205		-0.529559
1.34		-0.301501		-0.500531
1.35		-0.306506		-0.470984
1.36		-0.311216		-0.440946
1.37		-0.315625		-0.410447
1.38		-0.31973		-0.379516
1.39		-0.323525		-0.348182
1.4		-0.327007		-0.316477
1.41		-0.330171		-0.28443
1.42		-0.333016		-0.252073
1.43		-0.335536		-0.219438
1.44		-0.337731		-0.186555
1.45		-0.339596		-0.153458
1.46		-0.341131		-0.120177
1.47		-0.342333		-0.0867462
1.48		-0.3432		-0.0531976
1.49		-0.343732		-0.019564
1.5		-0.343928		0.0141218
1.51		-0.343787		0.0478267
1.52		-0.343308		0.0815178
1.53		-0.342493		0.115162
1.54		-0.341342		0.148726
1.55		-0.339854		0.182178
1.56		-0.338033		0.215484
1.57		-0.335878		0.248611
1.58		-0.333392		0.281527
1.59		-0.330576		0.314199
1.6		-0.327434		0.346596
1.61		-0.323968		0.378684
1.62		-0.320182		0.410433
1.63		-0.316077		0.441811
1.64		-0.311659		0.472786
1.65		-0.306931		0.503329
1.66		-0.301898		0.533408
1.67		-0.296564		0.562994
1.68		-0.290934		0.592057
1.69		-0.285013		0.620569
1.7		-0.278808		0.6485
1.71		-0.272323		0.675823
1.72		-0.265564		0.702511
1.73		-0.258539		0.728536
1.74		-0.251254		0.753873
1.75		-0.243715		0.778496
1.76		-0.23593		0.80238
1.77		-0.227906		0.825501
1.78		-0.219651		0.847836
1.79		-0.211173		0.869362
1.8		-0.202479		0.890057
1.81		-0.193579		0.9099
1.82		-0.18448		0.928871
1.83		-0.175191		0.94695
1.84		-0.165722		0.964118
1.85		-0.15608		0.980359
1.86		-0.146277		0.995655
1.87		-0.13632		1.00999
1.88		-0.12622		1.02335
1.89		-0.115987		1.03572
1.9		-0.10563		1.04709
1.91		-0.0951589		1.05744
1.92		-0.0845845		1.06676
1.93		-0.0739169		1.07505
1.94		-0.0631663		1.0823
1.95		-0.0523434		1.08849
1.96		-0.0414585		1.09362
1.97		-0.0305224		1.09768
1.98		-0.0195456		1.10067
1.99		-0.00853885		1.10259
2		0.002487		1.10342
2.01		0.0135212		1.10318
2.02		0.024553		1.10185
2.03		0.0355716		1.09945
2.04		0.046566		1.09596
2.05		0.0575257		1.0914
2.06		0.0684396		1.08576
2.07		0.0792972		1.07905
2.08		0.0900878		1.07128
2.09		0.100801		1.06245
2.1		0.111425		1.05258
2.11		0.121951		1.04166
2.12		0.132367		1.0297
2.13		0.142664		1.01673
2.14		0.152832		1.00275
2.15		0.162859		0.987774
2.16		0.172737		0.971814
2.17		0.182455		0.954885
2.18		0.192004		0.937005
2.19		0.201374		0.918188
2.2		0.210556		0.898454
2.21		0.219541		0.877819
2.22		0.228319		0.856304
2.23		0.236882		0.833929
2.24		0.245221		0.810715
2.25		0.253328		0.786683
2.26		0.261195		0.761857
2.27		0.268814		0.73626
2.28		0.276176		0.709916
2.29		0.283275		0.682851
2.3		0.290104		0.65509
2.31		0.296655		0.62666
2.32		0.302921		0.597587
2.33		0.308897		0.567901
2.34		0.314576		0.537629
2.35		0.319953		0.506801
2.36		0.325021		0.475445
2.37		0.329775		0.443593
2.38		0.334211		0.411275
2.39		0.338324		0.378523
2.4		0.342109		0.345367
2.41		0.345563		0.31184
2.42		0.348681		0.277975
2.43		0.351461		0.243804
2.44		0.353899		0.209361
2.45		0.355992		0.174679
2.46		0.357739		0.139792
2.47		0.359137		0.104734
2.48		0.360184		0.0695381
2.49		0.36088		0.03424
2.5		0.361222		-0.00112622
2.51		0.361211		-0.036526
2.52		0.360846		-0.0719247
2.53		0.360126		-0.107288
2.54		0.359054		-0.14258
2.55		0.357628		-0.177767
2.56		0.35585		-0.212815
2.57		0.353722		-0.247688
2.58		0.351245		-0.282353
2.59		0.348422		-0.316775
2.6		0.345254		-0.35092
2.61		0.341745		-0.384755
2.62		0.337897		-0.418246
2.63		0.333715		-0.45136
2.64		0.329201		-0.484064
2.65		0.32436		-0.516326
2.66		0.319197		-0.548113
2.67		0.313716		-0.579394
2.68		0.307922		-0.610138
2.69		0.301821		-0.640315
2.7		0.295418		-0.669893
2.71		0.288719		-0.698844
2.72		0.28173		-0.727139
