Time		Angular_Position		Angular_Velocity
0		0.01		1
0.01		0.0199902		0.99902
0.02		0.0299608		0.997061
0.03		0.0399021		0.994125
0.04		0.0498042		0.990214
0.05		0.0596575		0.985334
0.06		0.0694524		0.979487
0.07		0.0791792		0.972681
0.08		0.0888284		0.964921
0.09		0.0983906		0.956216
0.1		0.107856		0.946574
0.11		0.117216		0.936004
0.12		0.126462		0.924517
0.13		0.135583		0.912123
0.14		0.144571		0.898836
0.15		0.153418		0.884668
0.16		0.162114		0.869633
0.17		0.170652		0.853746
0.18		0.179022		0.837022
0.19		0.187217		0.819478
0.2		0.195228		0.801131
0.21		0.203048		0.781999
0.22		0.210669		0.7621
0.23		0.218083		0.741454
0.24		0.225284		0.720082
0.25		0.232264		0.698004
0.26		0.239017		0.675242
0.27		0.245535		0.651819
0.28		0.251812		0.627756
0.29		0.257843		0.603079
0.3		0.263621		0.57781
0.31		0.269141		0.551975
0.32		0.274397		0.525599
0.33		0.279384		0.498708
0.34		0.284098		0.471329
0.35		0.288532		0.443487
0.36		0.292684		0.415211
0.37		0.29655		0.386528
0.38		0.300124		0.357466
0.39		0.303405		0.328054
0.4		0.306388		0.29832
0.41		0.309071		0.268294
0.42		0.311451		0.238005
0.43		0.313526		0.207483
0.44		0.315294		0.176757
0.45		0.316752		0.145859
0.46		0.3179		0.114817
0.47		0.318737		0.0836628
0.48		0.319261		0.0524266
0.49		0.319473		0.021139
0.5		0.319371		-0.0101694
0.51		0.318956		-0.0414677
0.52		0.318229		-0.0727254
0.53		0.31719		-0.103912
0.54		0.31584		-0.134996
0.55		0.31418		-0.165949
0.56		0.312213		-0.196738
0.57		0.30994		-0.227335
0.58		0.307363		-0.257709
0.59		0.304484		-0.287831
0.6		0.301308		-0.31767
0.61		0.297836		-0.347199
0.62		0.294072		-0.376386
0.63		0.29002		-0.405205
0.64		0.285683		-0.433627
0.65		0.281067		-0.461624
0.66		0.276175		-0.489169
0.67		0.271013		-0.516234
0.68		0.265585		-0.542793
0.69		0.259897		-0.568821
0.7		0.253954		-0.594291
0.71		0.247762		-0.619178
0.72		0.241328		-0.643459
0.73		0.234657		-0.667109
0.74		0.227756		-0.690105
0.75		0.220631		-0.712425
0.76		0.213291		-0.734047
0.77		0.205741		-0.75495
0.78		0.19799		-0.775112
0.79		0.190045		-0.794515
0.8		0.181914		-0.81314
0.81		0.173604		-0.830967
0.82		0.165124		-0.847981
0.83		0.156483		-0.864163
0.84		0.147688		-0.879498
0.85		0.138748		-0.893971
0.86		0.129672		-0.907569
0.87		0.120469		-0.920277
0.88		0.111149		-0.932083
0.89		0.101719		-0.942975
0.9		0.0921894		-0.952944
0.91		0.0825696		-0.961978
0.92		0.0728689		-0.97007
0.93		0.0630968		-0.977211
0.94		0.0532628		-0.983395
0.95		0.0433767		-0.988614
0.96		0.033448		-0.992865
0.97		0.0234866		-0.996143
0.98		0.0135022		-0.998445
0.99		0.00350448		-0.999768
1		-0.00649663		-1.00011
1.01		-0.0164914		-0.999475
1.02		-0.02647		-0.997859
1.03		-0.0364226		-0.995265
1.04		-0.0463396		-0.991695
1.05		-0.0562111		-0.987154
1.06		-0.0660276		-0.981645
1.07		-0.0757793		-0.975175
1.08		-0.0854568		-0.967748
1.09		-0.0950505		-0.959373
1.1		-0.104551		-0.950058
1.11		-0.113949		-0.939812
1.12		-0.123236		-0.928645
1.13		-0.132401		-0.916568
1.14		-0.141437		-0.903593
1.15		-0.150335		-0.889732
1.16		-0.159085		-0.874999
1.17		-0.167679		-0.859409
1.18		-0.176108		-0.842977
1.19		-0.184366		-0.825718
1.2		-0.192442		-0.80765
1.21		-0.20033		-0.788791
1.22		-0.208022		-0.769158
1.23		-0.215509		-0.748772
1.24		-0.222786		-0.727652
1.25		-0.229844		-0.705819
1.26		-0.236677		-0.683295
1.27		-0.243278		-0.6601
1.28		-0.249641		-0.636259
1.29		-0.255759		-0.611794
1.3		-0.261626		-0.58673
1.31		-0.267237		-0.561091
1.32		-0.272586		-0.534901
1.33		-0.277668		-0.508188
1.34		-0.282477		-0.480977
1.35		-0.28701		-0.453294
1.36		-0.291262		-0.425167
1.37		-0.295228		-0.396623
1.38		-0.298905		-0.367691
1.39		-0.302289		-0.338398
1.4		-0.305377		-0.308774
1.41		-0.308165		-0.278847
1.42		-0.310652		-0.248647
1.43		-0.312834		-0.218203
1.44		-0.314709		-0.187545
1.45		-0.316276		-0.156703
