Time		RK-Method		Solution
0		1.00005		1
0.01		1.0002		1.00005
0.02		1.00045		1.0002
0.03		1.0008		1.00045
0.04		1.00125		1.0008
0.05		1.0018		1.00125
0.06		1.00245		1.0018
0.07		1.0032		1.00245
0.08		1.00405		1.0032
0.09		1.00501		1.00405
0.1		1.00606		1.00501
0.11		1.00721		1.00606
0.12		1.00847		1.00721
0.13		1.00982		1.00847
0.14		1.01128		1.00982
0.15		1.01284		1.01128
0.16		1.0145		1.01284
0.17		1.01627		1.0145
0.18		1.01813		1.01627
0.19		1.0201		1.01813
0.2		1.02217		1.0201
0.21		1.02435		1.02217
0.22		1.02662		1.02435
0.23		1.02901		1.02662
0.24		1.03149		1.02901
0.25		1.03409		1.03149
0.26		1.03678		1.03409
0.27		1.03958		1.03678
0.28		1.04249		1.03958
0.29		1.04551		1.04249
0.3		1.04863		1.04551
0.31		1.05186		1.04863
0.32		1.05519		1.05186
0.33		1.05864		1.05519
0.34		1.06219		1.05864
0.35		1.06585		1.06219
0.36		1.06962		1.06585
0.37		1.0735		1.06962
0.38		1.0775		1.0735
0.39		1.0816		1.0775
0.4		1.08582		1.0816
0.41		1.09014		1.08582
0.42		1.09459		1.09014
0.43		1.09914		1.09459
0.44		1.10381		1.09914
0.45		1.1086		1.10381
0.46		1.1135		1.1086
0.47		1.11852		1.1135
0.48		1.12365		1.11852
0.49		1.12891		1.12365
0.5		1.13428		1.12891
0.51		1.13977		1.13428
0.52		1.14538		1.13977
0.53		1.15111		1.14538
0.54		1.15697		1.15111
0.55		1.16295		1.15697
0.56		1.16905		1.16295
0.57		1.17527		1.16905
0.58		1.18162		1.17527
0.59		1.1881		1.18162
0.6		1.1947		1.1881
0.61		1.20144		1.1947
0.62		1.2083		1.20144
0.63		1.21529		1.2083
0.64		1.22241		1.21529
0.65		1.22966		1.22241
0.66		1.23704		1.22966
0.67		1.24456		1.23704
0.68		1.25222		1.24456
0.69		1.26001		1.25222
0.7		1.26793		1.26001
0.71		1.276		1.26793
0.72		1.2842		1.276
0.73		1.29254		1.2842
0.74		1.30103		1.29254
0.75		1.30965		1.30103
0.76		1.31842		1.30965
0.77		1.32733		1.31842
0.78		1.33639		1.32733
0.79		1.3456		1.33639
0.8		1.35495		1.3456
0.81		1.36446		1.35495
0.82		1.37411		1.36446
0.83		1.38392		1.37411
0.84		1.39388		1.38392
0.85		1.40399		1.39388
0.86		1.41426		1.40399
0.87		1.42468		1.41426
0.88		1.43526		1.42468
0.89		1.44601		1.43526
0.9		1.45691		1.44601
0.91		1.46797		1.45691
0.92		1.4792		1.46797
0.93		1.4906		1.4792
0.94		1.50216		1.4906
0.95		1.51388		1.50216
0.96		1.52578		1.51388
0.97		1.53785		1.52578
0.98		1.55009		1.53785
0.99		1.5625		1.55009
1		1.57509		1.5625
1.01		1.58785		1.57509
1.02		1.60079		1.58785
1.03		1.61392		1.60079
1.04		1.62722		1.61392
1.05		1.6407		1.62722
1.06		1.65437		1.6407
1.07		1.66823		1.65437
1.08		1.68227		1.66823
1.09		1.69651		1.68227
1.1		1.71093		1.69651
1.11		1.72554		1.71093
1.12		1.74035		1.72554
1.13		1.75536		1.74035
1.14		1.77056		1.75536
1.15		1.78596		1.77056
1.16		1.80157		1.78596
1.17		1.81737		1.80157
1.18		1.83338		1.81737
1.19		1.8496		1.83338
1.2		1.86602		1.8496
1.21		1.88266		1.86602
1.22		1.8995		1.88266
1.23		1.91656		1.8995
1.24		1.93384		1.91656
1.25		1.95133		1.93384
1.26		1.96904		1.95133
1.27		1.98697		1.96904
1.28		2.00513		1.98697
1.29		2.02351		2.00513
1.3		2.04211		2.02351
1.31		2.06095		2.04211
1.32		2.08001		2.06095
1.33		2.09931		2.08001
1.34		2.11884		2.09931
1.35		2.13861		2.11884
1.36		2.15862		2.13861
1.37		2.17887		2.15862
1.38		2.19936		2.17887
1.39		2.2201		2.19936
1.4		2.24108		2.2201
1.41		2.26232		2.24108
1.42		2.2838		2.26232
1.43		2.30554		2.2838
1.44		2.32753		2.30554
1.45		2.34978		2.32753
1.46		2.37229		2.34978
1.47		2.39507		2.37229
1.48		2.4181		2.39507
1.49		2.44141		2.4181
1.5		2.46498		2.44141
1.51		2.48882		2.46498
1.52		2.51294		2.48882
1.53		2.53733		2.51294
1.54		2.562		2.53733
1.55		2.58695		2.562
1.56		2.61218		2.58695
1.57		2.6377		2.61218
1.58		2.66351		2.6377
1.59		2.6896		2.66351
1.6		2.71599		2.6896
1.61		2.74267		2.71599
1.62		2.76964		2.74267
1.63		2.79692		2.76964
1.64		2.8245		2.79692
1.65		2.85238		2.8245
1.66		2.88057		2.85238
1.67		2.90907		2.88057
1.68		2.93788		2.90907
1.69		2.96701		2.93788
1.7		2.99645		2.96701
1.71		3.02621		2.99645
1.72		3.05629		3.02621
1.73		3.0867		3.05629
1.74		3.11743		3.0867
1.75		3.1485		3.11743
1.76		3.17989		3.1485
1.77		3.21162		3.17989
1.78		3.24369		3.21162
1.79		3.2761		3.24369
1.8		3.30885		3.2761
1.81		3.34195		3.30885
1.82		3.3754		3.34195
1.83		3.40919		3.3754
1.84		3.44334		3.40919
1.85		3.47785		3.44334
