Time		Position		Velocity
0		0		1
0.01		0.01		1
0.02		0.0199824		0.998236
0.03		0.0299295		0.994711
0.04		0.0398238		0.989432
0.05		0.0496479		0.982407
0.06		0.0593843		0.973649
0.07		0.0690161		0.963173
0.08		0.0785261		0.950999
0.09		0.0878975		0.937147
0.1		0.097114		0.921642
0.11		0.106159		0.904511
0.12		0.115017		0.885784
0.13		0.123672		0.865495
0.14		0.132109		0.84368
0.15		0.140312		0.820376
0.16		0.148269		0.795625
0.17		0.155963		0.76947
0.18		0.163383		0.741958
0.19		0.170514		0.713137
0.2		0.177345		0.683059
0.21		0.183863		0.651775
0.22		0.190056		0.619342
0.23		0.195914		0.585816
0.24		0.201427		0.551256
0.25		0.206584		0.515725
0.26		0.211377		0.479283
0.27		0.215797		0.441996
0.28		0.219836		0.40393
0.29		0.223488		0.365151
0.3		0.226745		0.325728
0.31		0.229602		0.28573
0.32		0.232055		0.245228
0.33		0.234097		0.204294
0.34		0.235727		0.162999
0.35		0.236942		0.121416
0.36		0.237738		0.07962
0.37		0.238115		0.037683
0.38		0.238071		-0.0043204
0.39		0.237608		-0.0463162
0.4		0.236726		-0.0882303
0.41		0.235426		-0.129989
0.42		0.233711		-0.171518
0.43		0.231583		-0.212745
0.44		0.229047		-0.253596
0.45		0.226107		-0.294
0.46		0.222769		-0.333885
0.47		0.219037		-0.373182
0.48		0.214919		-0.41182
0.49		0.210421		-0.449731
0.5		0.205553		-0.48685
0.51		0.200322		-0.523109
0.52		0.194737		-0.558446
0.53		0.188809		-0.592798
0.54		0.182548		-0.626103
0.55		0.175965		-0.658305
0.56		0.169072		-0.689345
0.57		0.16188		-0.71917
0.58		0.154403		-0.747725
0.59		0.146653		-0.774962
0.6		0.138645		-0.800831
0.61		0.130392		-0.825288
0.62		0.121909		-0.84829
0.63		0.113211		-0.869794
0.64		0.104313		-0.889765
0.65		0.0952318		-0.908166
0.66		0.0859822		-0.924965
0.67		0.0765809		-0.940132
0.68		0.0670445		-0.953641
0.69		0.0573898		-0.965467
0.7		0.0476339		-0.975591
0.71		0.037794		-0.983993
0.72		0.0278874		-0.99066
0.73		0.0179316		-0.99558
0.74		0.00794413		-0.998743
0.75		-0.00205731		-1.00014
0.76		-0.0120551		-0.999781
0.77		-0.0220317		-0.997655
0.78		-0.0319694		-0.993768
0.79		-0.0418506		-0.988129
0.8		-0.0516581		-0.980746
0.81		-0.0613744		-0.971634
0.82		-0.0709825		-0.960808
0.83		-0.0804654		-0.948286
0.84		-0.0898063		-0.934092
0.85		-0.0989888		-0.91825
0.86		-0.107997		-0.900789
0.87		-0.116814		-0.881738
0.88		-0.125425		-0.861132
0.89		-0.133815		-0.839007
0.9		-0.141969		-0.815402
0.91		-0.149873		-0.790359
0.92		-0.157512		-0.763921
0.93		-0.164874		-0.736136
0.94		-0.171944		-0.707052
0.95		-0.178711		-0.676721
0.96		-0.185163		-0.645196
0.97		-0.191289		-0.612534
0.98		-0.197077		-0.57879
0.99		-0.202517		-0.544026
1		-0.2076		-0.508302
1.01		-0.212317		-0.471681
1.02		-0.216659		-0.434229
1.03		-0.220619		-0.39601
1.04		-0.22419		-0.357093
1.05		-0.227365		-0.317546
1.06		-0.23014		-0.277439
1.07		-0.232508		-0.236842
1.08		-0.234467		-0.195827
1.09		-0.236011		-0.154467
1.1		-0.23714		-0.112835
1.11		-0.23785		-0.0710037
1.12		-0.23814		-0.029047
1.13		-0.23801		0.0129609
1.14		-0.237461		0.0549459
1.15		-0.236493		0.096834
1.16		-0.235107		0.138551
1.17		-0.233307		0.180024
1.18		-0.231095		0.22118
1.19		-0.228476		0.261945
1.2		-0.225453		0.302248
1.21		-0.222033		0.342018
1.22		-0.218221		0.381184
1.23		-0.214024		0.419679
1.24		-0.20945		0.457433
1.25		-0.204506		0.494379
1.26		-0.199202		0.530454
1.27		-0.193546		0.565594
1.28		-0.187548		0.599735
1.29		-0.18122		0.632819
1.3		-0.174572		0.664786
1.31		-0.167617		0.69558
1.32		-0.160365		0.725148
1.33		-0.152831		0.753436
1.34		-0.145027		0.780396
1.35		-0.136967		0.805978
1.36		-0.128666		0.830139
1.37		-0.120137		0.852836
1.38		-0.111397		0.874028
1.39		-0.10246		0.893679
1.4		-0.0933426		0.911753
1.41		-0.0840604		0.928218
1.42		-0.07463		0.943047
1.43		-0.0650679		0.956211
1.44		-0.055391		0.967689
1.45		-0.0456164		0.97746
1.46		-0.0357613		0.985507
1.47		-0.0258432		0.991815
1.48		-0.0158794		0.996374
1.49		-0.00588766		0.999175
1.5		0.00411447		1.00021
1.51		0.0141094		0.999488
1.52		0.0240793		0.996999
1.53		0.0340069		0.992751
1.54		0.0438744		0.986753
1.55		0.0536645		0.979013
1.56		0.06336		0.969547
1.57		0.0729437		0.95837
1.58		0.0823987		0.945503
1.59		0.0917084		0.930968
1.6		0.100856		0.91479
1.61		0.109826		0.896999
1.62		0.118603		0.877626
1.63		0.12717		0.856704
1.64		0.135512		0.834272
1.65		0.143616		0.810367
1.66		0.151466		0.785033
1.67		0.159049		0.758315
1.68		0.166352		0.730258
1.69		0.173361		0.700914
1.7		0.180065		0.670333
1.71		0.18645		0.63857
1.72		0.192507		0.60568
1.73		0.198224		0.571722
1.74		0.203592		0.536755
1.75		0.2086		0.500841
1.76		0.213241		0.464044
1.77		0.217505		0.426429
1.78		0.221386		0.388061
1.79		0.224876		0.349008
1.8		0.227969		0.30934
1.81		0.23066		0.269126
1.82		0.232945		0.228438
1.83		0.234818		0.187347
1.84		0.236277		0.145925
1.85		0.23732		0.104245
1.86		0.237944		0.0623821
1.87		0.238148		0.0204089
1.88		0.237932		-0.0216004
1.89		0.237296		-0.0635715
1.9		0.236242		-0.105431
1.91		0.234771		-0.147104
1.92		0.232885		-0.188517
1.93		0.23059		-0.229598
1.94		0.227887		-0.270274
1.95		0.224782		-0.310473
1.96		0.221281		-0.350125
1.97		0.217389		-0.389159
1.98		0.213114		-0.427506
1.99		0.208463		-0.4651
2		0.203444		-0.501872
2.01		0.198067		-0.53776
2.02		0.19234		-0.572699
2.03		0.186274		-0.606628
2.04		0.179879		-0.639486
2.05		0.173167		-0.671217
2.06		0.166149		-0.701764
2.07		0.158838		-0.731072
2.08		0.151247		-0.759091
2.09		0.14339		-0.785771
2.1		0.135279		-0.811065
2.11		0.12693		-0.834928
2.12		0.118356		-0.857319
2.13		0.109574		-0.878197
2.14		0.100599		-0.897526
2.15		0.0914464		-0.915272
2.16		0.0821324		-0.931403
2.17		0.0726735		-0.945891
2.18		0.0630864		-0.95871
2.19		0.053388		-0.969839
2.2		0.0435955		-0.979257
2.21		0.033726		-0.986947
2.22		0.023797		-0.992896
2.23		0.0138261		-0.997094
2.24		0.00383076		-0.999533
2.25		-0.00617133		-1.00021
2.26		-0.0161625		-0.99912
2.27		-0.0261252		-0.996269
2.28		-0.0360418		-0.99166
2.29		-0.0458948		-0.985303
2.3		-0.0556669		-0.977207
2.31		-0.0653408		-0.967387
2.32		-0.0748994		-0.955861
2.33		-0.0843259		-0.942649
2.34		-0.0936036		-0.927774
2.35		-0.102716		-0.911262
2.36		-0.111648		-0.893143
2.37		-0.120382		-0.873448
2.38		-0.128904		-0.852213
2.39		-0.137199		-0.829474
2.4		-0.145252		-0.805272
2.41		-0.153048		-0.77965
2.42		-0.160575		-0.752652
2.43		-0.167818		-0.724327
2.44		-0.174765		-0.694724
2.45		-0.181404		-0.663895
2.46		-0.187723		-0.631895
2.47		-0.193711		-0.598781
2.48		-0.199357		-0.56461
2.49		-0.204651		-0.529444
2.5		-0.209585		-0.493343
2.51		-0.214149		-0.456372
2.52		-0.218335		-0.418597
2.53		-0.222135		-0.380082
2.54		-0.225544		-0.340898
2.55		-0.228556		-0.301112
2.56		-0.231163		-0.260794
2.57		-0.233364		-0.220017
2.58		-0.235152		-0.178852
2.59		-0.236526		-0.137371
2.6		-0.237482		-0.0956478
2.61		-0.23802		-0.0537559
2.62		-0.238138		-0.0117692
2.63		-0.237835		0.0302383
2.64		-0.237113		0.0721924
2.65		-0.235973		0.114019
2.66		-0.234417		0.155645
2.67		-0.232447		0.196996
2.68		-0.230067		0.238
2.69		-0.227281		0.278583
2.7		-0.224094		0.318676
2.71		-0.220512		0.358206
2.72		-0.216541		0.397104
2.73		-0.212188		0.435302
2.74		-0.207461		0.472732
2.75		-0.202367		0.509328
2.76		-0.196917		0.545026
2.77		-0.19112		0.579762
2.78		-0.184985		0.613475
2.79		-0.178524		0.646107
2.8		-0.171748		0.677598
2.81		-0.164669		0.707894
2.82		-0.157299		0.736942
2.83		-0.149652		0.76469
2.84		-0.141742		0.791088
2.85		-0.133581		0.816092
2.86		-0.125184		0.839655
2.87		-0.116567		0.861738
2.88		-0.107744		0.8823
2.89		-0.0987307		0.901306
2.9		-0.0895434		0.918722
2.91		-0.0801983		0.934518
2.92		-0.0707116		0.948665
2.93		-0.0611002		0.961138
2.94		-0.0513811		0.971916
2.95		-0.0415713		0.98098
2.96		-0.0316881		0.988313
2.97		-0.0217491		0.993903
2.98		-0.0117717		0.997739
2.99		-0.00177357		0.999816
3		0.00822772		1.00013
3.01		0.0182145		0.998677
3.02		0.0281691		0.995464
3.03		0.0380741		0.990495
3.04		0.0479119		0.983779
3.05		0.0576651		0.975327
3.06		0.0673167		0.965155
3.07		0.0768495		0.953281
3.08		0.0862467		0.939724
3.09		0.0954919		0.92451
3.1		0.104569		0.907666
3.11		0.113461		0.88922
3.12		0.122153		0.869205
3.13		0.130629		0.847657
3.14		0.138875		0.824614
3.15		0.146877		0.800117
3.16		0.154619		0.774208
3.17		0.162088		0.746933
3.18		0.169271		0.718341
3.19		0.176156		0.688481
3.2		0.18273		0.657407
3.21		0.188982		0.625174
3.22		0.1949		0.591837
3.23		0.200475		0.557457
3.24		0.205696		0.522093
3.25		0.210554		0.485808
3.26		0.215041		0.448666
3.27		0.219148		0.410733
3.28		0.222869		0.372076
3.29		0.226196		0.332762
3.3		0.229125		0.29286
3.31		0.231649		0.252443
3.32		0.233765		0.21158
3.33		0.235469		0.170344
3.34		0.236757		0.128807
3.35		0.237627		0.0870431
3.36		0.238078		0.0451257
3.37		0.23811		0.00312864
3.38		0.237721		-0.0388739
3.39		0.236913		-0.0808079
3.4		0.235687		-0.122599
3.41		0.234045		-0.164174
3.42		0.231991		-0.20546
3.43		0.229527		-0.246383
3.44		0.226658		-0.286872
3.45		0.223389		-0.326854
3.46		0.219727		-0.36626
3.47		0.215677		-0.40502
3.48		0.211246		-0.443065
3.49		0.206443		-0.480329
3.5		0.201275		-0.516746
3.51		0.195753		-0.552251
3.52		0.189885		-0.586781
3.53		0.183682		-0.620277
3.54		0.177155		-0.652679
3.55		0.170316		-0.683929
3.56		0.163176		-0.713973
3.57		0.155749		-0.742757
3.58		0.148047		-0.770231
3.59		0.140083		-0.796346
3.6		0.131872		-0.821057
3.61		0.123429		-0.844319
3.62		0.114768		-0.866092
3.63		0.105905		-0.886337
3.64		0.0968548		-0.905019
3.65		0.0876338		-0.922104
