Time		Position		Velocity
0		0		1
0.01		0.00999706		0.999118
0.02		0.0199765		0.996474
0.03		0.0299207		0.992072
0.04		0.0398121		0.985921
0.05		0.0496333		0.978031
0.06		0.059367		0.968416
0.07		0.0689959		0.957092
0.08		0.0785032		0.944081
0.09		0.087872		0.929405
0.1		0.0970858		0.913089
0.11		0.106128		0.895163
0.12		0.114984		0.875658
0.13		0.123636		0.854608
0.14		0.132071		0.832052
0.15		0.140273		0.808028
0.16		0.148227		0.782578
0.17		0.15592		0.755748
0.18		0.163337		0.727586
0.19		0.170467		0.69814
0.2		0.177296		0.667463
0.21		0.183812		0.635608
0.22		0.190004		0.602633
0.23		0.195861		0.568595
0.24		0.201373		0.533553
0.25		0.206529		0.497571
0.26		0.211321		0.460711
0.27		0.215741		0.423039
0.28		0.21978		0.38462
0.29		0.223431		0.345523
0.3		0.226688		0.305817
0.31		0.229546		0.265571
0.32		0.231998		0.224857
0.33		0.234041		0.183746
0.34		0.235672		0.142312
0.35		0.236887		0.100626
0.36		0.237684		0.0587625
0.37		0.238062		0.0167956
0.38		0.23802		-0.025201
0.39		0.237558		-0.0671531
0.4		0.236677		-0.108987
0.41		0.235379		-0.150628
0.42		0.233665		-0.192004
0.43		0.23154		-0.233041
0.44		0.229006		-0.273667
0.45		0.226068		-0.313811
0.46		0.222731		-0.3534
0.47		0.219002		-0.392367
0.48		0.214886		-0.430642
0.49		0.210392		-0.468157
0.5		0.205526		-0.504846
0.51		0.200298		-0.540645
0.52		0.194716		-0.57549
0.53		0.188791		-0.609321
0.54		0.182533		-0.642076
0.55		0.175954		-0.6737
0.56		0.169063		-0.704135
0.57		0.161875		-0.733328
0.58		0.154401		-0.761227
0.59		0.146655		-0.787784
0.6		0.13865		-0.812952
0.61		0.130401		-0.836686
0.62		0.121921		-0.858944
0.63		0.113227		-0.879687
0.64		0.104333		-0.898879
0.65		0.0952547		-0.916485
0.66		0.0860085		-0.932475
0.67		0.0766106		-0.94682
0.68		0.0670777		-0.959495
0.69		0.0574264		-0.970478
0.7		0.0476738		-0.979749
0.71		0.0378372		-0.987292
0.72		0.0279338		-0.993094
0.73		0.0179811		-0.997144
0.74		0.00799677		-0.999436
0.75		-0.00200171		-0.999965
0.76		-0.0119966		-0.99873
0.77		-0.0219704		-0.995733
0.78		-0.0319055		-0.990981
0.79		-0.0417842		-0.984481
0.8		-0.0515893		-0.976244
0.81		-0.0613034		-0.966285
0.82		-0.0709093		-0.954622
0.83		-0.0803902		-0.941276
0.84		-0.0897293		-0.926269
0.85		-0.0989101		-0.909629
0.86		-0.107917		-0.891384
0.87		-0.116733		-0.871567
0.88		-0.125343		-0.850213
0.89		-0.133732		-0.827359
0.9		-0.141885		-0.803046
0.91		-0.149788		-0.777317
0.92		-0.157427		-0.750216
0.93		-0.164788		-0.721793
0.94		-0.171858		-0.692096
0.95		-0.178626		-0.661179
0.96		-0.185078		-0.629096
0.97		-0.191204		-0.595903
0.98		-0.196993		-0.561659
0.99		-0.202434		-0.526424
1		-0.207518		-0.490261
1.01		-0.212236		-0.453233
1.02		-0.21658		-0.415406
1.03		-0.220542		-0.376846
1.04		-0.224115		-0.337622
1.05		-0.227292		-0.297802
1.06		-0.230069		-0.257457
1.07		-0.23244		-0.216657
1.08		-0.234401		-0.175476
1.09		-0.235948		-0.133985
1.1		-0.23708		-0.0922577
1.11		-0.237793		-0.0503678
1.12		-0.238087		-0.008389
1.13		-0.237961		0.0336046
1.14		-0.237415		0.0755389
1.15		-0.23645		0.11734
1.16		-0.235069		0.158934
1.17		-0.233273		0.200248
1.18		-0.231065		0.241208
1.19		-0.22845		0.281744
1.2		-0.225432		0.321782
1.21		-0.222016		0.361253
1.22		-0.218209		0.400086
1.23		-0.214017		0.438214
1.24		-0.209447		0.475569
1.25		-0.204508		0.512085
1.26		-0.199209		0.547698
1.27		-0.193557		0.582345
1.28		-0.187565		0.615965
1.29		-0.181242		0.648499
1.3		-0.174599		0.679889
1.31		-0.167648		0.710079
1.32		-0.160401		0.739018
1.33		-0.152872		0.766652
1.34		-0.145073		0.792935
1.35		-0.137018		0.817819
1.36		-0.128721		0.841261
1.37		-0.120198		0.863219
1.38		-0.111462		0.883654
1.39		-0.10253		0.902531
1.4		-0.0934168		0.919816
1.41		-0.0841389		0.935479
1.42		-0.0747127		0.949491
1.43		-0.0651547		0.961829
1.44		-0.0554817		0.972471
1.45		-0.045711		0.981398
1.46		-0.0358596		0.988593
1.47		-0.0259449		0.994045
1.48		-0.0159845		0.997744
1.49		-0.00599591		0.999683
1.5		0.00400327		0.999859
1.51		0.0139954		0.998271
1.52		0.0239628		0.994923
1.53		0.033888		0.989819
1.54		0.0437534		0.98297
1.55		0.0535416		0.974388
1.56		0.0632354		0.964086
1.57		0.0728177		0.952085
1.58		0.0822715		0.938404
1.59		0.0915802		0.923068
1.6		0.100727		0.906104
1.61		0.109697		0.887542
1.62		0.118473		0.867414
1.63		0.12704		0.845757
1.64		0.135383		0.822608
1.65		0.143487		0.798008
1.66		0.151339		0.772
1.67		0.158923		0.744631
1.68		0.166227		0.715949
1.69		0.173238		0.686003
1.7		0.179943		0.654848
1.71		0.186331		0.622538
1.72		0.19239		0.58913
1.73		0.19811		0.554683
1.74		0.20348		0.519257
1.75		0.208492		0.482916
1.76		0.213136		0.445723
1.77		0.217404		0.407744
1.78		0.221288		0.369046
1.79		0.224783		0.329696
1.8		0.22788		0.289766
1.81		0.230576		0.249324
1.82		0.232865		0.208442
1.83		0.234744		0.167193
1.84		0.236208		0.125649
1.85		0.237256		0.0838831
1.86		0.237885		0.0419695
1.87		0.238095		-1.81625e-05
1.88		0.237885		-0.0420058
1.89		0.237255		-0.0839193
1.9		0.236207		-0.125685
1.91		0.234742		-0.167229
1.92		0.232864		-0.208478
1.93		0.230574		-0.249359
1.94		0.227878		-0.2898
1.95		0.22478		-0.329731
1.96		0.221285		-0.369079
1.97		0.2174		-0.407777
1.98		0.213132		-0.445756
1.99		0.208488		-0.482948
2		0.203476		-0.519288
2.01		0.198105		-0.554713
2.02		0.192385		-0.589159
2.03		0.186325		-0.622567
2.04		0.179937		-0.654876
2.05		0.173232		-0.68603
2.06		0.166221		-0.715974
2.07		0.158917		-0.744655
2.08		0.151332		-0.772023
2.09		0.143481		-0.798029
2.1		0.135376		-0.822628
2.11		0.127033		-0.845776
2.12		0.118466		-0.867432
2.13		0.109689		-0.887558
2.14		0.10072		-0.906119
2.15		0.0915723		-0.923082
2.16		0.0822634		-0.938416
2.17		0.0728094		-0.952096
2.18		0.0632271		-0.964096
2.19		0.0535332		-0.974396
2.2		0.0437449		-0.982977
2.21		0.0338794		-0.989824
2.22		0.0239542		-0.994926
2.23		0.0139868		-0.998273
2.24		0.00399462		-0.999859
2.25		-0.00600455		-0.999682
2.26		-0.0159931		-0.997741
2.27		-0.0259535		-0.994041
2.28		-0.0358681		-0.988588
2.29		-0.0457195		-0.981391
2.3		-0.0554902		-0.972463
2.31		-0.065163		-0.961819
2.32		-0.0747209		-0.94948
2.33		-0.084147		-0.935466
2.34		-0.0934247		-0.919802
2.35		-0.102538		-0.902515
2.36		-0.11147		-0.883637
2.37		-0.120205		-0.8632
2.38		-0.128729		-0.841241
2.39		-0.137025		-0.817798
2.4		-0.14508		-0.792913
2.41		-0.152879		-0.766629
2.42		-0.160408		-0.738993
2.43		-0.167654		-0.710054
2.44		-0.174605		-0.679862
2.45		-0.181247		-0.648471
2.46		-0.18757		-0.615937
2.47		-0.193563		-0.582316
2.48		-0.199213		-0.547668
2.49		-0.204513		-0.512054
2.5		-0.209451		-0.475537
2.51		-0.214021		-0.438181
2.52		-0.218212		-0.400053
2.53		-0.222019		-0.361219
2.54		-0.225435		-0.321748
2.55		-0.228452		-0.281709
2.56		-0.231067		-0.241173
2.57		-0.233274		-0.200212
2.58		-0.23507		-0.158898
2.59		-0.236451		-0.117304
2.6		-0.237416		-0.0755026
2.61		-0.237961		-0.0335683
2.62		-0.238087		0.00842533
2.63		-0.237793		0.0504041
2.64		-0.237079		0.0922939
2.65		-0.235947		0.134021
2.66		-0.234399		0.175512
2.67		-0.232438		0.216693
2.68		-0.230067		0.257492
2.69		-0.22729		0.297836
2.7		-0.224112		0.337656
2.71		-0.220539		0.37688
2.72		-0.216576		0.415439
2.73		-0.212232		0.453266
2.74		-0.207514		0.490293
2.75		-0.202429		0.526455
2.76		-0.196988		0.561689
2.77		-0.191199		0.595932
2.78		-0.185073		0.629124
2.79		-0.17862		0.661206
2.8		-0.171852		0.692122
2.81		-0.164782		0.721818
2.82		-0.15742		0.75024
2.83		-0.149781		0.777339
2.84		-0.141878		0.803068
2.85		-0.133725		0.827379
2.86		-0.125335		0.850232
2.87		-0.116725		0.871585
2.88		-0.107909		0.8914
2.89		-0.0989023		0.909644
2.9		-0.0897213		0.926283
2.91		-0.080382		0.941288
2.92		-0.070901		0.954633
2.93		-0.061295		0.966295
2.94		-0.0515808		0.976252
2.95		-0.0417757		0.984487
2.96		-0.0318969		0.990986
2.97		-0.0219618		0.995737
2.98		-0.011988		0.998732
2.99		-0.00199306		0.999965
3		0.00800541		0.999435
3.01		0.0179898		0.997141
3.02		0.0279424		0.99309
3.03		0.0378457		0.987286
3.04		0.0476823		0.979742
3.05		0.0574348		0.970469
3.06		0.067086		0.959485
3.07		0.0766188		0.946808
3.08		0.0860166		0.932461
3.09		0.0952626		0.91647
3.1		0.104341		0.898863
3.11		0.113235		0.87967
3.12		0.121929		0.858925
3.13		0.130408		0.836666
3.14		0.138657		0.812931
3.15		0.146662		0.787762
3.16		0.154408		0.761204
3.17		0.161881		0.733303
3.18		0.16907		0.704109
3.19		0.175959		0.673673
3.2		0.182539		0.642049
3.21		0.188797		0.609292
3.22		0.194721		0.575461
3.23		0.200302		0.540614
3.24		0.20553		0.504815
3.25		0.210396		0.468125
3.26		0.21489		0.430609
3.27		0.219005		0.392334
3.28		0.222735		0.353366
3.29		0.226071		0.313776
3.3		0.229008		0.273632
3.31		0.231542		0.233006
3.32		0.233667		0.191968
3.33		0.23538		0.150592
3.34		0.236678		0.108951
3.35		0.237558		0.0671168
3.36		0.23802		0.0251646
3.37		0.238062		-0.0168319
3.38		0.237683		-0.0587988
3.39		0.236886		-0.100662
3.4		0.235671		-0.142348
3.41		0.23404		-0.183782
3.42		0.231996		-0.224892
3.43		0.229543		-0.265606
3.44		0.226686		-0.305852
3.45		0.223428		-0.345557
3.46		0.219776		-0.384654
3.47		0.215737		-0.423072
3.48		0.211317		-0.460743
3.49		0.206525		-0.497603
3.5		0.201368		-0.533584
3.51		0.195856		-0.568624
3.52		0.189999		-0.602662
3.53		0.183807		-0.635636
3.54		0.17729		-0.66749
3.55		0.170461		-0.698166
3.56		0.163331		-0.727611
3.57		0.155913		-0.755772
3.58		0.14822		-0.782601
3.59		0.140266		-0.808049
3.6		0.132064		-0.832072
3.61		0.123629		-0.854627
3.62		0.114976		-0.875675
3.63		0.106121		-0.895179
3.64		0.0970779		-0.913104
3.65		0.087864		-0.929418
3.66		0.078495		-0.944093
3.67		0.0689876		-0.957103
