Time		String-Length		Angular-Position
0		1		0.3
0.01		0.999593		0.299928
0.02		0.998373		0.29971
0.03		0.996343		0.299348
0.04		0.993506		0.298839
0.05		0.989868		0.298184
0.06		0.985436		0.297382
0.07		0.980217		0.29643
0.08		0.974223		0.295328
0.09		0.967464		0.294074
0.1		0.959954		0.292666
0.11		0.951707		0.291102
0.12		0.942738		0.289379
0.13		0.933065		0.287495
0.14		0.922707		0.285446
0.15		0.911683		0.283231
0.16		0.900015		0.280845
0.17		0.887725		0.278284
0.18		0.874837		0.275546
0.19		0.861376		0.272626
0.2		0.847369		0.26952
0.21		0.832843		0.266223
0.22		0.817826		0.26273
0.23		0.802347		0.259037
0.24		0.786438		0.255139
0.25		0.770129		0.25103
0.26		0.753454		0.246705
0.27		0.736445		0.242158
0.28		0.719136		0.237384
0.29		0.701562		0.232377
0.3		0.68376		0.22713
0.31		0.665764		0.221638
0.32		0.647611		0.215895
0.33		0.62934		0.209894
0.34		0.610986		0.20363
0.35		0.59259		0.197098
0.36		0.574188		0.19029
0.37		0.555819		0.183203
0.38		0.537523		0.17583
0.39		0.519338		0.168167
0.4		0.501303		0.160211
0.41		0.483457		0.151956
0.42		0.465838		0.1434
0.43		0.448485		0.134541
0.44		0.431436		0.125377
0.45		0.414728		0.115908
0.46		0.398399		0.106134
0.47		0.382485		0.0960563
0.48		0.367022		0.0856787
0.49		0.352044		0.0750052
0.5		0.337585		0.0640419
0.51		0.323679		0.052796
0.52		0.310356		0.0412768
0.53		0.297647		0.0294952
0.54		0.28558		0.0174639
0.55		0.274184		0.00519749
0.56		0.263482		-0.0072877
0.57		0.2535		-0.0199734
0.58		0.244258		-0.0328395
0.59		0.235776		-0.0458642
0.6		0.228073		-0.0590241
0.61		0.221163		-0.0722943
0.62		0.215059		-0.0856485
0.63		0.209774		-0.0990592
0.64		0.205314		-0.112498
0.65		0.201686		-0.125936
0.66		0.198894		-0.139343
0.67		0.196939		-0.152689
0.68		0.195819		-0.165945
0.69		0.195532		-0.179081
0.7		0.19607		-0.192069
0.71		0.197426		-0.204879
0.72		0.19959		-0.217486
0.73		0.202548		-0.229863
0.74		0.206286		-0.241986
0.75		0.210788		-0.253833
0.76		0.216035		-0.265382
0.77		0.222008		-0.276614
0.78		0.228684		-0.287513
0.79		0.236041		-0.298063
0.8		0.244055		-0.308251
0.81		0.2527		-0.318066
0.82		0.261949		-0.327499
