Inputs		Function-Values
-10		-6.27928
-9.99		-6.19515
-9.98		-6.11056
-9.97		-6.02553
-9.96		-5.94007
-9.95		-5.85419
-9.94		-5.7679
-9.93		-5.6812
-9.92		-5.59412
-9.91		-5.50664
-9.9		-5.4188
-9.89		-5.33059
-9.88		-5.24202
-9.87		-5.15311
-9.86		-5.06387
-9.85		-4.9743
-9.84		-4.88441
-9.83		-4.79423
-9.82		-4.70374
-9.81		-4.61297
-9.8		-4.52192
-9.79		-4.43061
-9.78		-4.33904
-9.77		-4.24722
-9.76		-4.15517
-9.75		-4.06289
-9.74		-3.9704
-9.73		-3.87769
-9.72		-3.78479
-9.71		-3.69171
-9.7		-3.59844
-9.69		-3.50501
-9.68		-3.41142
-9.67		-3.31769
-9.66		-3.22381
-9.65		-3.12981
-9.64		-3.03569
-9.63		-2.94146
-9.62		-2.84713
-9.61		-2.75272
-9.6		-2.65822
-9.59		-2.56366
-9.58		-2.46904
-9.57		-2.37437
-9.56		-2.27966
-9.55		-2.18492
-9.54		-2.09016
-9.53		-1.99539
-9.52		-1.90061
-9.51		-1.80585
-9.5		-1.71111
-9.49		-1.61639
-9.48		-1.52171
-9.47		-1.42708
-9.46		-1.33251
-9.45		-1.238
-9.44		-1.14357
-9.43		-1.04923
-9.42		-0.95498
-9.41		-0.860835
-9.4		-0.766804
-9.39		-0.672896
-9.38		-0.579121
-9.37		-0.485487
-9.36		-0.392005
-9.35		-0.298683
-9.34		-0.205531
-9.33		-0.112557
-9.32		-0.019771
-9.31		0.0728179
-9.3		0.165201
-9.29		0.257369
-9.28		0.349313
-9.27		0.441024
-9.26		0.532494
-9.25		0.623713
-9.24		0.714672
-9.23		0.805364
-9.22		0.895779
-9.21		0.985908
-9.2		1.07574
-9.19		1.16528
-9.18		1.2545
-9.17		1.3434
-9.16		1.43198
-9.15		1.52021
-9.14		1.60811
-9.13		1.69565
-9.12		1.78283
-9.11		1.86964
-9.1		1.95607
-9.09		2.04212
-9.08		2.12778
-9.07		2.21303
-9.06		2.29788
-9.05		2.38231
-9.04		2.46631
-9.03		2.54989
-9.02		2.63302
-9.01		2.7157
-9		2.79794
-8.99		2.87971
-8.98		2.96101
-8.97		3.04183
-8.96		3.12217
-8.95		3.20202
-8.94		3.28137
-8.93		3.36021
-8.92		3.43855
-8.91		3.51636
-8.9		3.59365
-8.89		3.67041
-8.88		3.74662
-8.87		3.8223
-8.86		3.89742
-8.85		3.97198
-8.84		4.04597
-8.83		4.1194
-8.82		4.19224
-8.81		4.26451
-8.8		4.33618
-8.79		4.40726
-8.78		4.47773
-8.77		4.5476
-8.76		4.61685
-8.75		4.68549
-8.74		4.7535
-8.73		4.82088
-8.72		4.88762
-8.71		4.95373
-8.7		5.01919
-8.69		5.08399
-8.68		5.14814
-8.67		5.21163
-8.66		5.27445
-8.65		5.3366
-8.64		5.39807
-8.63		5.45886
-8.62		5.51896
-8.61		5.57838
-8.6		5.63709
-8.59		5.69511
-8.58		5.75243
-8.57		5.80904
-8.56		5.86493
-8.55		5.92011
-8.54		5.97457
-8.53		6.02831
-8.52		6.08131
-8.51		6.13359
-8.5		6.18513
-8.49		6.23593
-8.48		6.28599
-8.47		6.3353
-8.46		6.38386
-8.45		6.43168
-8.44		6.47873
-8.43		6.52503
-8.42		6.57057
-8.41		6.61534
-8.4		6.65934
-8.39		6.70258
-8.38		6.74504
-8.37		6.78673
-8.36		6.82764
-8.35		6.86777
-8.34		6.90712
-8.33		6.94568
-8.32		6.98346
-8.31		7.02045
-8.3		7.05665
-8.29		7.09206
-8.28		7.12667
-8.27		7.16049
-8.26		7.19351
-8.25		7.22574
-8.24		7.25716
-8.23		7.28778
-8.22		7.3176
-8.21		7.34662
-8.2		7.37484
-8.19		7.40224
-8.18		7.42885
-8.17		7.45464
-8.16		7.47963
-8.15		7.50381
-8.14		7.52718
-8.13		7.54974
-8.12		7.57149
-8.11		7.59243
-8.1		7.61256
-8.09		7.63189
-8.08		7.6504
-8.07		7.6681
-8.06		7.68499
-8.05		7.70108
-8.04		7.71635
-8.03		7.73082
-8.02		7.74447
-8.01		7.75732
-8		7.76937
-7.99		7.7806
-7.98		7.79104
-7.97		7.80066
