beta		beta		tan(beta)
-31.4159		-31.4159		1.22465e-015
-31.4059		-31.4059		0.0100003
-31.3959		-31.3959		0.0200027
-31.3859		-31.3859		0.030009
-31.3759		-31.3759		0.0400213
-31.3659		-31.3659		0.0500417
-31.3559		-31.3559		0.0600721
-31.3459		-31.3459		0.0701146
-31.3359		-31.3359		0.0801711
-31.3259		-31.3259		0.0902438
-31.3159		-31.3159		0.100335
-31.3059		-31.3059		0.110446
-31.2959		-31.2959		0.120579
-31.2859		-31.2859		0.130737
-31.2759		-31.2759		0.140922
-31.2659		-31.2659		0.151135
-31.2559		-31.2559		0.161379
-31.2459		-31.2459		0.171657
-31.2359		-31.2359		0.18197
-31.2259		-31.2259		0.19232
-31.2159		-31.2159		0.20271
-31.2059		-31.2059		0.213142
-31.1959		-31.1959		0.223619
-31.1859		-31.1859		0.234143
-31.1759		-31.1759		0.244717
-31.1659		-31.1659		0.255342
-31.1559		-31.1559		0.266022
-31.1459		-31.1459		0.276758
-31.1359		-31.1359		0.287554
-31.1259		-31.1259		0.298413
-31.1159		-31.1159		0.309336
-31.1059		-31.1059		0.320328
-31.0959		-31.0959		0.331389
-31.0859		-31.0859		0.342525
-31.0759		-31.0759		0.353737
-31.0659		-31.0659		0.365028
-31.0559		-31.0559		0.376403
-31.0459		-31.0459		0.387863
-31.0359		-31.0359		0.399413
-31.0259		-31.0259		0.411055
-31.0159		-31.0159		0.422793
-31.0059		-31.0059		0.434631
-30.9959		-30.9959		0.446573
-30.9859		-30.9859		0.458621
-30.9759		-30.9759		0.470781
-30.9659		-30.9659		0.483055
-30.9559		-30.9559		0.495449
-30.9459		-30.9459		0.507966
-30.9359		-30.9359		0.520611
-30.9259		-30.9259		0.533388
-30.9159		-30.9159		0.546302
-30.9059		-30.9059		0.559359
-30.8959		-30.8959		0.572562
-30.8859		-30.8859		0.585917
-30.8759		-30.8759		0.59943
-30.8659		-30.8659		0.613105
-30.8559		-30.8559		0.62695
-30.8459		-30.8459		0.640969
-30.8359		-30.8359		0.655168
-30.8259		-30.8259		0.669556
-30.8159		-30.8159		0.684137
-30.8059		-30.8059		0.698919
-30.7959		-30.7959		0.713909
-30.7859		-30.7859		0.729115
-30.7759		-30.7759		0.744544
-30.7659		-30.7659		0.760204
-30.7559		-30.7559		0.776105
-30.7459		-30.7459		0.792254
-30.7359		-30.7359		0.808661
-30.7259		-30.7259		0.825336
-30.7159		-30.7159		0.842288
-30.7059		-30.7059		0.859529
-30.6959		-30.6959		0.877068
-30.6859		-30.6859		0.894918
-30.6759		-30.6759		0.91309
-30.6659		-30.6659		0.931596
-30.6559		-30.6559		0.950451
-30.6459		-30.6459		0.969668
-30.6359		-30.6359		0.989262
-30.6259		-30.6259		1.00925
-30.6159		-30.6159		1.02964
-30.6059		-30.6059		1.05046
-30.5959		-30.5959		1.07171
-30.5859		-30.5859		1.09343
-30.5759		-30.5759		1.11563
-30.5659		-30.5659		1.13833
-30.5559		-30.5559		1.16156
-30.5459		-30.5459		1.18532
-30.5359		-30.5359		1.20966
-30.5259		-30.5259		1.2346
-30.5159		-30.5159		1.26016
-30.5059		-30.5059		1.28637
-30.4959		-30.4959		1.31326
-30.4859		-30.4859		1.34087
-30.4759		-30.4759		1.36923
-30.4659		-30.4659		1.39838
-30.4559		-30.4559		1.42836
-30.4459		-30.4459		1.4592
-30.4359		-30.4359		1.49096
-30.4259		-30.4259		1.52368
-30.4159		-30.4159		1.55741
-30.4059		-30.4059		1.59221
-30.3959		-30.3959		1.62813
-30.3859		-30.3859		1.66524
-30.3759		-30.3759		1.70361
-30.3659		-30.3659		1.74332
-30.3559		-30.3559		1.78442
-30.3459		-30.3459		1.82703
-30.3359		-30.3359		1.87122
-30.3259		-30.3259		1.91709
-30.3159		-30.3159		1.96476
-30.3059		-30.3059		2.01434
-30.2959		-30.2959		2.06596
-30.2859		-30.2859		2.11975
-30.2759		-30.2759		2.17588
-30.2659		-30.2659		2.2345
-30.2559		-30.2559		2.2958
-30.2459		-30.2459		2.35998
-30.2359		-30.2359		2.42727
-30.2259		-30.2259		2.4979
-30.2159		-30.2159		2.57215
-30.2059		-30.2059		2.65032
-30.1959		-30.1959		2.73275
-30.1859		-30.1859		2.81982
-30.1759		-30.1759		2.91193
-30.1659		-30.1659		3.00957
-30.1559		-30.1559		3.11327
-30.1459		-30.1459		3.22363
-30.1359		-30.1359		3.34135
-30.1259		-30.1259		3.46721
-30.1159		-30.1159		3.6021
-30.1059		-30.1059		3.74708
-30.0959		-30.0959		3.90335
-30.0859		-30.0859		4.07231
-30.0759		-30.0759		4.25562
-30.0659		-30.0659		4.45522
-30.0559		-30.0559		4.67344
-30.0459		-30.0459		4.91306
-30.0359		-30.0359		5.17744
-30.0259		-30.0259		5.47069
-30.0159		-30.0159		5.79788
-30.0059		-30.0059		6.16536
-29.9959		-29.9959		6.58112
-29.9859		-29.9859		7.05546
-29.9759		-29.9759		7.60183
-29.9659		-29.9659		8.23809
-29.9559		-29.9559		8.98861
-29.9459		-29.9459		9.88737
-29.9359		-29.9359		10.9834
-29.9259		-29.9259		12.3499
-29.9159		-29.9159		14.1014
-29.9059		-29.9059		16.4281
-29.8959		-29.8959		19.6695
-29.8859		-29.8859		24.4984
-29.8759		-29.8759		32.4611
-29.8659		-29.8659		48.0785
-29.8559		-29.8559		92.6205
-29.8459		-29.8459		1255.77
-29.8359		-29.8359		-108.649
-29.8259		-29.8259		-52.067
-29.8159		-29.8159		-34.2325
-29.8059		-29.8059		-25.4947
-29.7959		-29.7959		-20.3073
-29.7859		-29.7859		-16.8711
-29.7759		-29.7759		-14.427
-29.7659		-29.7659		-12.5993
-29.7559		-29.7559		-11.1806
-29.7459		-29.7459		-10.0472
-29.7359		-29.7359		-9.12077
-29.7259		-29.7259		-8.34923
-29.7159		-29.7159		-7.6966
-29.7059		-29.7059		-7.13726
-29.6959		-29.6959		-6.65244
-29.6859		-29.6859		-6.2281
-29.6759		-29.6759		-5.85353
-29.6659		-29.6659		-5.52038
-29.6559		-29.6559		-5.22209
-29.6459		-29.6459		-4.95341
-29.6359		-29.6359		-4.71009
-29.6259		-29.6259		-4.48866
-29.6159		-29.6159		-4.28626
-29.6059		-29.6059		-4.1005
-29.5959		-29.5959		-3.92937
-29.5859		-29.5859		-3.77118
-29.5759		-29.5759		-3.62449
-29.5659		-29.5659		-3.48806
-29.5559		-29.5559		-3.36083
-29.5459		-29.5459		-3.24187
-29.5359		-29.5359		-3.13038
-29.5259		-29.5259		-3.02566
-29.5159		-29.5159		-2.9271
-29.5059		-29.5059		-2.83414
-29.4959		-29.4959		-2.7463
-29.4859		-29.4859		-2.66316
-29.4759		-29.4759		-2.58433
-29.4659		-29.4659		-2.50948
-29.4559		-29.4559		-2.43828
-29.4459		-29.4459		-2.37048
-29.4359		-29.4359		-2.30582
-29.4259		-29.4259		-2.24408
-29.4159		-29.4159		-2.18504
-29.4059		-29.4059		-2.12853
-29.3959		-29.3959		-2.07437
-29.3859		-29.3859		-2.02242
-29.3759		-29.3759		-1.97252
-29.3659		-29.3659		-1.92456
-29.3559		-29.3559		-1.87841
-29.3459		-29.3459		-1.83396
-29.3359		-29.3359		-1.79111
-29.3259		-29.3259		-1.74977
-29.3159		-29.3159		-1.70985
-29.3059		-29.3059		-1.67127
-29.2959		-29.2959		-1.63396
-29.2859		-29.2859		-1.59785
-29.2759		-29.2759		-1.56288
-29.2659		-29.2659		-1.52898
-29.2559		-29.2559		-1.4961
-29.2459		-29.2459		-1.4642
-29.2359		-29.2359		-1.43321
-29.2259		-29.2259		-1.4031
-29.2159		-29.2159		-1.37382
-29.2059		-29.2059		-1.34534
-29.1959		-29.1959		-1.31761
-29.1859		-29.1859		-1.29061
-29.1759		-29.1759		-1.26429
-29.1659		-29.1659		-1.23863
-29.1559		-29.1559		-1.21359
-29.1459		-29.1459		-1.18916
-29.1359		-29.1359		-1.1653
-29.1259		-29.1259		-1.142
-29.1159		-29.1159		-1.11921
-29.1059		-29.1059		-1.09694
-29.0959		-29.0959		-1.07514
-29.0859		-29.0859		-1.05381
-29.0759		-29.0759		-1.03293
-29.0659		-29.0659		-1.01247
-29.0559		-29.0559		-0.992418
-29.0459		-29.0459		-0.972763
-29.0359		-29.0359		-0.953487
-29.0259		-29.0259		-0.934576
-29.0159		-29.0159		-0.916014
-29.0059		-29.0059		-0.89779
-28.9959		-28.9959		-0.87989
