x		-cot(x)		Potential
-6.28319		-4.08281e+015			nan
-6.27319		-99.9967			nan
-6.26319		-49.9933			nan
-6.25319		-33.3233			nan
-6.24319		-24.9867			nan
-6.23319		-19.9833			nan
-6.22319		-16.6467			nan
-6.21319		-14.2624			nan
-6.20319		-12.4733			nan
-6.19319		-11.0811			nan
-6.18319		-9.96664			nan
-6.17319		-9.05421			nan
-6.16319		-8.29329			nan
-6.15319		-7.64893			nan
-6.14319		-7.09613			nan
-6.13319		-6.61659			nan
-6.12319		-6.19658			nan
-6.11319		-5.82558			nan
-6.10319		-5.49543			nan
-6.09319		-5.19967			nan
-6.08319		-4.93315			nan
-6.07319		-4.6917			nan
-6.06319		-4.47188			nan
-6.05319		-4.27089			nan
-6.04319		-4.08636			nan
-6.03319		-3.91632			nan
-6.02319		-3.75909			nan
-6.01319		-3.61326			nan
-6.00319		-3.4776			nan
-5.99319		-3.35106			nan
-5.98319		-3.23273			nan
-5.97319		-3.1218			nan
-5.96319		-3.0176			nan
-5.95319		-2.9195			nan
-5.94319		-2.82696			nan
-5.93319		-2.73951			nan
-5.92319		-2.65673			nan
-5.91319		-2.57823			nan
-5.90319		-2.50368			nan
-5.89319		-2.43276			nan
-5.88319		-2.36522			nan
-5.87319		-2.3008			nan
-5.86319		-2.23928			nan
-5.85319		-2.18045			nan
-5.84319		-2.12413			nan
-5.83319		-2.07016			nan
-5.82319		-2.01837			nan
-5.81319		-1.96864			nan
-5.80319		-1.92082			nan
-5.79319		-1.87481			nan
-5.78319		-1.83049			nan
-5.77319		-1.78776			nan
-5.76319		-1.74654			nan
-5.75319		-1.70673			nan
-5.74319		-1.66825			nan
-5.73319		-1.63104			nan
-5.72319		-1.59502			nan
-5.71319		-1.56014			nan
-5.70319		-1.52633			nan
-5.69319		-1.49353			nan
-5.68319		-1.4617			nan
-5.67319		-1.43078			nan
-5.66319		-1.40074			nan
-5.65319		-1.37153			nan
-5.64319		-1.3431			nan
-5.63319		-1.31544			nan
-5.62319		-1.28849			nan
-5.61319		-1.26222			nan
-5.60319		-1.23661			nan
-5.59319		-1.21163			nan
-5.58319		-1.18724			nan
-5.57319		-1.16343			nan
-5.56319		-1.14016			nan
-5.55319		-1.11742			nan
-5.54319		-1.09518			nan
-5.53319		-1.07343			nan
-5.52319		-1.05213			nan
-5.51319		-1.03128			nan
-5.50319		-1.01086			nan
-5.49319		-0.990838			nan
-5.48319		-0.971215			nan
-5.47319		-0.951968			nan
-5.46319		-0.933085			nan
-5.45319		-0.914551			nan
-5.44319		-0.896353			nan
-5.43319		-0.878478			nan
-5.42319		-0.860914			nan
-5.41319		-0.843651			nan
-5.40319		-0.826676			nan
-5.39319		-0.809979			nan
-5.38319		-0.793551			nan
-5.37319		-0.777382			nan
-5.36319		-0.761462			nan
-5.35319		-0.745782			nan
-5.34319		-0.730335			nan
-5.33319		-0.715112			nan
-5.32319		-0.700105			nan
-5.31319		-0.685306			nan
-5.30319		-0.67071			nan
-5.29319		-0.656307			nan
-5.28319		-0.642093			nan
-5.27319		-0.628059			nan
-5.26319		-0.614201			nan
-5.25319		-0.600513			nan
-5.24319		-0.586987			nan
-5.23319		-0.57362			nan
-5.22319		-0.560405			nan
-5.21319		-0.547337			nan
-5.20319		-0.534411			nan
-5.19319		-0.521623			nan
-5.18319		-0.508968			nan
-5.17319		-0.496441			nan
-5.16319		-0.484038			nan
-5.15319		-0.471754			nan
-5.14319		-0.459585			nan
-5.13319		-0.447528			nan
-5.12319		-0.435578			nan
-5.11319		-0.423732			nan
-5.10319		-0.411986			nan
-5.09319		-0.400336			nan
-5.08319		-0.38878			nan
-5.07319		-0.377312			nan
-5.06319		-0.365931			nan
-5.05319		-0.354633			nan
-5.04319		-0.343415			nan
-5.03319		-0.332273			nan
-5.02319		-0.321206			nan
-5.01319		-0.310209			nan
-5.00319		-0.29928			nan
-4.99319		-0.288417			nan
-4.98319		-0.277616			nan
-4.97319		-0.266874			nan
-4.96319		-0.25619			nan
-4.95319		-0.245561			nan
-4.94319		-0.234984			nan
-4.93319		-0.224456			nan
-4.92319		-0.213975			nan
-4.91319		-0.203539			nan
-4.90319		-0.193146			nan
-4.89319		-0.182792			nan
-4.88319		-0.172477			nan
-4.87319		-0.162197			nan
-4.86319		-0.15195			nan
-4.85319		-0.141734			nan
-4.84319		-0.131547			nan
-4.83319		-0.121387			nan
-4.82319		-0.111252			nan
-4.81319		-0.101139			nan
-4.80319		-0.0910467			nan
-4.79319		-0.0809726			nan
-4.78319		-0.0709148			nan
-4.77319		-0.0608713			nan
-4.76319		-0.0508401			nan
-4.75319		-0.040819			nan
-4.74319		-0.0308061			nan
-4.73319		-0.0207993			nan
-4.72319		-0.0107967			nan
-4.71319		-0.000796327			nan
-4.70319		0.00920393			nan
-4.69319		0.019206			nan
-4.68319		0.029212			nan
-4.67319		0.0392238			nan
-4.66319		0.0492434			nan
-4.65319		0.0592729			nan
-4.64319		0.0693144			nan
-4.63319		0.0793697			nan
-4.62319		0.089441			nan
-4.61319		0.0995304			nan
-4.60319		0.10964			nan
-4.59319		0.119772			nan
-4.58319		0.129927			nan
-4.57319		0.14011			nan
-4.56319		0.150321			nan
-4.55319		0.160562			nan
-4.54319		0.170837			nan
-4.53319		0.181147			nan
-4.52319		0.191494			nan
-4.51319		0.201881			nan
-4.50319		0.21231			nan
-4.49319		0.222783			nan
-4.48319		0.233304			nan
-4.47319		0.243873			nan
-4.46319		0.254494			nan
-4.45319		0.265169			nan
-4.44319		0.275901			nan
-4.43319		0.286692			nan
-4.42319		0.297546			nan
-4.41319		0.308464			nan
-4.40319		0.31945			nan
-4.39319		0.330506			nan
-4.38319		0.341635			nan
-4.37319		0.352841			nan
-4.36319		0.364126			nan
-4.35319		0.375494			nan
-4.34319		0.386947			nan
-4.33319		0.39849			nan
-4.32319		0.410124			nan
-4.31319		0.421855			nan
-4.30319		0.433685			nan
-4.29319		0.445618			nan
-4.28319		0.457658			nan
-4.27319		0.469808			nan
-4.26319		0.482073			nan
-4.25319		0.494457			nan
-4.24319		0.506964			nan
-4.23319		0.519599			nan
-4.22319		0.532366			nan
-4.21319		0.545269			nan
-4.20319		0.558314			nan
-4.19319		0.571505			nan
-4.18319		0.584848			nan
-4.17319		0.598348			nan
-4.16319		0.61201			nan
-4.15319		0.625841			nan
-4.14319		0.639846			nan
-4.13319		0.654031			nan
-4.12319		0.668403			nan
-4.11319		0.682968			nan
-4.10319		0.697734			nan
-4.09319		0.712708			nan
-4.08319		0.727896			nan
-4.07319		0.743307			nan
-4.06319		0.758949			nan
-4.05319		0.77483			nan
-4.04319		0.790959			nan
-4.03319		0.807345			nan
-4.02319		0.823998			nan
-4.01319		0.840928			nan
-4.00319		0.858145			nan
-3.99319		0.87566			nan
-3.98319		0.893484			nan
-3.97319		0.91163			nan
-3.96319		0.93011			nan
-3.95319		0.948937			nan
-3.94319		0.968124			nan
-3.93319		0.987687			nan
-3.92319		1.00764			nan
-3.91319		1.028			nan
-3.90319		1.04878			nan
-3.89319		1.07			nan
-3.88319		1.09169			nan
-3.87319		1.11385			nan
-3.86319		1.13651			nan
-3.85319		1.15969			nan
-3.84319		1.18341			nan
-3.83319		1.2077			nan
-3.82319		1.23259			nan
-3.81319		1.2581			nan
-3.80319		1.28426			nan
-3.79319		1.3111			nan
-3.78319		1.33865			nan
-3.77319		1.36695			nan
-3.76319		1.39603			nan
-3.75319		1.42594			nan
-3.74319		1.45671			nan
-3.73319		1.48839			nan
-3.72319		1.52103			nan
-3.71319		1.55468			nan
-3.70319		1.58939			nan
-3.69319		1.62523			nan
-3.68319		1.66224			nan
-3.67319		1.70051			nan
-3.66319		1.7401			nan
-3.65319		1.7811			nan
-3.64319		1.82358			nan
-3.63319		1.86764			nan
-3.62319		1.91337			nan
-3.61319		1.9609			nan
-3.60319		2.01032			nan
-3.59319		2.06177			nan
-3.58319		2.11538			nan
-3.57319		2.17132			nan
-3.56319		2.22973			nan
-3.55319		2.29081			nan
-3.54319		2.35476			nan
-3.53319		2.42179			nan
-3.52319		2.49215			nan
-3.51319		2.5661			nan
-3.50319		2.64395			nan
-3.49319		2.72603			nan
-3.48319		2.8127			nan
-3.47319		2.9044			nan
-3.46319		3.00158			nan
-3.45319		3.10478			nan
-3.44319		3.21458			nan
-3.43319		3.33169			nan
-3.42319		3.45686			nan
-3.41319		3.59101			nan
-3.40319		3.73514			nan
-3.39319		3.89046			nan
-3.38319		4.05835			nan
-3.37319		4.24045			nan
-3.36319		4.43868			nan
-3.35319		4.65532			nan
-3.34319		4.89312			nan
-3.33319		5.15539			nan
-3.32319		5.44617			nan
-3.31319		5.77045			nan
-3.30319		6.13444			nan
-3.29319		6.54602			nan
-3.28319		7.01525			nan
-3.27319		7.55529			nan
-3.26319		8.18361			nan
-3.25319		8.92393			nan
-3.24319		9.80934			nan
-3.23319		10.8874			-0.0656908
-3.22319		12.2288			-0.102746
-3.21319		13.944			-0.129833
-3.20319		16.2152			-0.152367
-3.19319		19.3654			-0.172146
-3.18319		24.0288			-0.190036
-3.17319		31.6424			-0.20653
-3.16319		46.3048			-0.22194
-3.15319		86.2577			-0.236481
-3.14319		627.882			-0.250305
-3.13319		-118.941			-0.263527
-3.12319		-54.32			-0.276235
-3.11319		-35.1927			-0.288499
-3.10319		-26.0239			-0.300374
-3.09319		-20.6419			-0.311905
-3.08319		-17.1017			-0.323132
-3.07319		-14.5955			-0.334086
-3.06319		-12.7278			-0.344794
-3.05319		-11.2818			-0.355281
-3.04319		-10.129			-0.365566
-3.03319		-9.1883			-0.375667
-3.02319		-8.40592			-0.3856
-3.01319		-7.74487			-0.395378
-3.00319		-7.17886			-0.405016
-2.99319		-6.68867			-0.414522
-2.98319		-6.25995			-0.423908
-2.97319		-5.88174			-0.433182
-2.96319		-5.54555			-0.442353
-2.95319		-5.2447			-0.451428
-2.94319		-4.97383			-0.460415
-2.93319		-4.72862			-0.469318
-2.92319		-4.50557			-0.478145
-2.91319		-4.30174			-0.486901
-2.90319		-4.11473			-0.49559
-2.89319		-3.9425			-0.504217
-2.88319		-3.78334			-0.512786
-2.87319		-3.63578			-0.521303
-2.86319		-3.49857			-0.529769
-2.85319		-3.37064			-0.53819
-2.84319		-3.25106			-0.546568
-2.83319		-3.139			-0.554906
-2.82319		-3.03377			-0.563207
-2.81319		-2.93473			-0.571475
-2.80319		-2.84135			-0.579711
-2.79319		-2.75312			-0.587919
-2.78319		-2.66962			-0.596101
-2.77319		-2.59046			-0.604259
-2.76319		-2.5153			-0.612395
-2.75319		-2.44383			-0.620511
-2.74319		-2.37576			-0.62861
-2.73319		-2.31086			-0.636693
-2.72319		-2.24889			-0.644762
-2.71319		-2.18965			-0.65282
-2.70319		-2.13294			-0.660867
-2.69319		-2.0786			-0.668905
-2.68319		-2.02648			-0.676937
-2.67319		-1.97643			-0.684963
-2.66319		-1.92831			-0.692985
-2.65319		-1.88202			-0.701004
-2.64319		-1.83744			-0.709023
-2.63319		-1.79446			-0.717041
-2.62319		-1.75301			-0.725062
-2.61319		-1.71298			-0.733085
-2.60319		-1.67429			-0.741113
-2.59319		-1.63689			-0.749146
-2.58319		-1.60068			-0.757186
-2.57319		-1.56562			-0.765234
-2.56319		-1.53164			-0.773291
-2.55319		-1.49869			-0.781359
-2.54319		-1.4667			-0.789438
-2.53319		-1.43565			-0.797529
-2.52319		-1.40547			-0.805634
-2.51319		-1.37612			-0.813754
-2.50319		-1.34758			-0.82189
-2.49319		-1.31979			-0.830043
-2.48319		-1.29273			-0.838213
-2.47319		-1.26636			-0.846403
-2.46319		-1.24065			-0.854612
-2.45319		-1.21557			-0.862843
-2.44319		-1.19109			-0.871096
-2.43319		-1.16718			-0.879372
-2.42319		-1.14383			-0.887672
-2.41319		-1.12101			-0.895997
-2.40319		-1.09869			-0.904348
-2.39319		-1.07686			-0.912726
-2.38319		-1.05549			-0.921132
-2.37319		-1.03457			-0.929567
-2.36319		-1.01408			-0.938032
-2.35319		-0.994			-0.946528
-2.34319		-0.974314			-0.955056
-2.33319		-0.955009			-0.963617
-2.32319		-0.936069			-0.972212
-2.31319		-0.91748			-0.980842
-2.30319		-0.899229			-0.989508
-2.29319		-0.881303			-0.998211
-2.28319		-0.863691			-1.00695
-2.27319		-0.84638			-1.01573
-2.26319		-0.82936			-1.02455
-2.25319		-0.81262			-1.03341
-2.24319		-0.79615			-1.04231
-2.23319		-0.77994			-1.05126
-2.22319		-0.763981			-1.06025
-2.21319		-0.748264			-1.06928
-2.20319		-0.73278			-1.07836
-2.19319		-0.717522			-1.08749
-2.18319		-0.702481			-1.09666
-2.17319		-0.68765			-1.10589
-2.16319		-0.673021			-1.11516
-2.15319		-0.658588			-1.12449
-2.14319		-0.644344			-1.13387
-2.13319		-0.630283			-1.1433
-2.12319		-0.616397			-1.15279
-2.11319		-0.602682			-1.16233
-2.10319		-0.589131			-1.17193
-2.09319		-0.575738			-1.18159
-2.08319		-0.562499			-1.19131
-2.07319		-0.549409			-1.20109
-2.06319		-0.536461			-1.21093
-2.05319		-0.523651			-1.22083
-2.04319		-0.510975			-1.2308
-2.03319		-0.498428			-1.24083
-2.02319		-0.486005			-1.25093
-2.01319		-0.473702			-1.2611
-2.00319		-0.461516			-1.27134
-1.99319		-0.449441			-1.28165
-1.98319		-0.437474			-1.29203
-1.97319		-0.425612			-1.30249
-1.96319		-0.41385			-1.31302
-1.95319		-0.402185			-1.32362
-1.94319		-0.390614			-1.33431
-1.93319		-0.379133			-1.34507
-1.92319		-0.367738			-1.35591
-1.91319		-0.356427			-1.36684
-1.90319		-0.345196			-1.37785
-1.89319		-0.334043			-1.38895
-1.88319		-0.322964			-1.40013
-1.87319		-0.311956			-1.4114
-1.86319		-0.301016			-1.42277
-1.85319		-0.290143			-1.43422
-1.84319		-0.279332			-1.44577
-1.83319		-0.268581			-1.45741
-1.82319		-0.257888			-1.46916
-1.81319		-0.24725			-1.481
-1.80319		-0.236665			-1.49294
-1.79319		-0.226129			-1.50499
-1.78319		-0.215641			-1.51714
-1.77319		-0.205198			-1.5294
-1.76319		-0.194798			-1.54176
-1.75319		-0.184439			-1.55424
-1.74319		-0.174117			-1.56683
-1.73319		-0.163832			-1.57954
-1.72319		-0.15358			-1.59237
-1.71319		-0.143359			-1.60531
-1.70319		-0.133168			-1.61838
-1.69319		-0.123004			-1.63157
-1.68319		-0.112865			-1.64489
-1.67319		-0.102748			-1.65834
-1.66319		-0.0926527			-1.67193
-1.65319		-0.0825759			-1.68564
-1.64319		-0.0725157			-1.6995
-1.63319		-0.0624701			-1.71349
-1.62319		-0.052437			-1.72763
-1.61319		-0.0424144			-1.74191
-1.60319		-0.0324003			-1.75634
-1.59319		-0.0223927			-1.77092
-1.58319		-0.0123896			-1.78566
-1.57319		-0.00238898			-1.80056
-1.56319		0.00761117			-1.81561
-1.55319		0.0176128			-1.83084
-1.54319		0.027618			-1.84622
-1.53319		0.0376288			-1.86178
-1.52319		0.047647			-1.87752
-1.51319		0.0576748			-1.89343
-1.50319		0.0677142			-1.90953
-1.49319		0.0777672			-1.92581
-1.48319		0.0878359			-1.94228
-1.47319		0.0979222			-1.95894
-1.46319		0.108028			-1.9758
-1.45319		0.118156			-1.99287
-1.44319		0.128308			-2.01014
-1.43319		0.138486			-2.02762
-1.42319		0.148693			-2.04532
-1.41319		0.158929			-2.06324
-1.40319		0.169198			-2.08138
-1.39319		0.179503			-2.09975
-1.38319		0.189844			-2.11836
-1.37319		0.200224			-2.13721
-1.36319		0.210646			-2.1563
-1.35319		0.221112			-2.17565
-1.34319		0.231625			-2.19526
-1.33319		0.242186			-2.21512
-1.32319		0.252799			-2.23526
-1.31319		0.263465			-2.25567
-1.30319		0.274188			-2.27637
-1.29319		0.28497			-2.29735
-1.28319		0.295813			-2.31863
-1.27319		0.306721			-2.34022
-1.26319		0.317695			-2.36211
-1.25319		0.32874			-2.38432
-1.24319		0.339858			-2.40686
-1.23319		0.351051			-2.42973
-1.22319		0.362324			-2.45294
-1.21319		0.373678			-2.47651
-1.20319		0.385117			-2.50043
-1.19319		0.396645			-2.52472
-1.18319		0.408265			-2.54939
-1.17319		0.41998			-2.57445
-1.16319		0.431794			-2.5999
-1.15319		0.44371			-2.62577
-1.14319		0.455733			-2.65205
-1.13319		0.467865			-2.67877
-1.12319		0.480112			-2.70592
-1.11319		0.492477			-2.73353
-1.10319		0.504964			-2.76161
-1.09319		0.517578			-2.79017
-1.08319		0.530323			-2.81922
-1.07319		0.543205			-2.84878
-1.06319		0.556226			-2.87886
-1.05319		0.569394			-2.90947
-1.04319		0.582712			-2.94064
-1.03319		0.596187			-2.97237
-1.02319		0.609823			-3.0047
-1.01319		0.623626			-3.03762
-1.00319		0.637603			-3.07116
-0.993185		0.651759			-3.10534
-0.983185		0.666101			-3.14019
-0.973185		0.680635			-3.17571
-0.963185		0.695369			-3.21193
-0.953185		0.710309			-3.24887
-0.943185		0.725462			-3.28656
-0.933185		0.740837			-3.32502
-0.923185		0.756442			-3.36428
-0.913185		0.772284			-3.40436
-0.903185		0.788373			-3.44528
-0.893185		0.804718			-3.48709
-0.883185		0.821328			-3.5298
-0.873185		0.838213			-3.57344
-0.863185		0.855383			-3.61807
-0.853185		0.87285			-3.66369
-0.843185		0.890624			-3.71036
-0.833185		0.908718			-3.7581
-0.823185		0.927144			-3.80697
-0.813185		0.945915			-3.85699
-0.803185		0.965044			-3.90822
-0.793185		0.984546			-3.9607
-0.783185		1.00444			-4.01447
-0.773185		1.02473			-4.06959
-0.763185		1.04544			-4.12612
-0.753185		1.06659			-4.18409
-0.743185		1.0882			-4.24359
-0.733185		1.11028			-4.30466
-0.723185		1.13286			-4.36737
-0.713185		1.15596			-4.43179
-0.703185		1.1796			-4.498
-0.693185		1.2038			-4.56608
-0.683185		1.22859			-4.63609
-0.673185		1.25399			-4.70814
-0.663185		1.28005			-4.78231
-0.653185		1.30677			-4.8587
-0.643185		1.33421			-4.93742
-0.633185		1.36239			-5.01857
-0.623185		1.39135			-5.10227
-0.613185		1.42112			-5.18865
-0.603185		1.45175			-5.27784
-0.593185		1.48329			-5.36998
-0.583185		1.51577			-5.46522
-0.573185		1.54925			-5.56374
-0.563185		1.58379			-5.66569
-0.553185		1.61944			-5.77127
-0.543185		1.65627			-5.88068
-0.533185		1.69433			-5.99413
-0.523185		1.73371			-6.11186
-0.513185		1.77447			-6.23411
-0.503185		1.81671			-6.36116
-0.493185		1.86051			-6.4933
-0.483185		1.90597			-6.63084
-0.473185		1.9532			-6.77412
-0.463185		2.00231			-6.92353
-0.453185		2.05343			-7.07945
-0.443185		2.10669			-7.24235
-0.433185		2.16225			-7.41269
-0.423185		2.22026			-7.591
-0.413185		2.2809			-7.77787
-0.403185		2.34437			-7.97393
-0.393185		2.4109			-8.17988
-0.383185		2.48071			-8.3965
-0.373185		2.55407			-8.62465
-0.363185		2.63128			-8.86527
-0.353185		2.71266			-9.11943
-0.343185		2.79857			-9.3883
-0.333185		2.88944			-9.67323
-0.323185		2.98571			-9.97569
-0.313185		3.08791			-10.2974
-0.303185		3.19663			-10.6402
-0.293185		3.31252			-11.0062
-0.283185		3.43635			-11.398
-0.273185		3.569			-11.8184
-0.263185		3.71147			-12.2706
-0.253185		3.86492			-12.7584
-0.243185		4.03071			-13.2862
-0.233185		4.21042			-13.8592
-0.223185		4.40594			-14.4833
-0.213185		4.61948			-15.1658
-0.203185		4.8537			-15.9154
-0.193185		5.11182			-16.7424
-0.183185		5.39775			-17.6596
-0.173185		5.71632			-18.6824
-0.163185		6.07351			-19.8305
-0.153185		6.4769			-21.1282
-0.143185		6.93616			-22.607
-0.133185		7.46389			-24.3076
-0.123185		8.07675			-26.2841
-0.113185		8.79731			-28.6095
-0.103185		9.65688			-31.3854
-0.0931853		10.7002			-34.7567
-0.0831853		11.9936			-38.9382
-0.0731853		13.6395			-44.262
-0.0631853		15.8054			-51.2704
-0.0531853		18.7845			-60.9138
-0.0431853		23.1416			-75.0224
-0.0331853		30.1228			-97.6331
-0.0231853		43.123			-139.747
-0.0131853		75.8376			-245.738
-0.00318531		313.94			-1017.22
0.00681469		-146.739			475.465
0.0168147		-59.4662			192.695
0.0268147		-37.284			120.831
0.0368147		-27.1508			88.0068
0.0468147		-21.3452			69.2051
0.0568147		-17.5821			57.0214
0.0668147		-14.9445			48.4843
0.0768147		-12.9927			42.1696
0.0868147		-11.4898			37.3092
0.0968147		-10.2967			33.4526
0.106815		-9.32638			30.3179
0.116815		-8.52159			27.7195
0.126815		-7.8432			25.5307
0.136815		-7.26349			23.6617
0.146815		-6.7623			22.047
0.156815		-6.3246			20.6381
0.166815		-5.93897			19.3979
0.176815		-5.59658			18.2978
0.186815		-5.29048			17.3154
0.196815		-5.01515			16.4326
0.206815		-4.76611			15.635
0.216815		-4.53973			14.9109
0.226815		-4.33302			14.2504
0.236815		-4.14348			13.6456
0.246815		-3.96902			13.0897
0.256815		-3.80787			12.577
0.266815		-3.65856			12.1026
0.276815		-3.51978			11.6623
0.286815		-3.39044			11.2527
0.296815		-3.26958			10.8705
0.306815		-3.15638			10.5132
0.316815		-3.0501			10.1783
0.326815		-2.95012			9.86378
0.336815		-2.85586			9.56787
0.346815		-2.76684			9.28894
0.356815		-2.68262			9.02555
0.366815		-2.60279			8.77643
0.376815		-2.52701			8.54045
0.386815		-2.45497			8.3166
0.396815		-2.38639			8.10394
0.406815		-2.321			7.90167
0.416815		-2.25857			7.70902
0.426815		-2.19891			7.52533
0.436815		-2.14181			7.34997
0.446815		-2.08711			7.18239
0.456815		-2.03464			7.02208
0.466815		-1.98426			6.86857
0.476815		-1.93585			6.72143
0.486815		-1.88928			6.58027
0.496815		-1.84443			6.44473
0.506815		-1.8012			6.31448
0.516815		-1.75951			6.1892
0.526815		-1.71926			6.06862
0.536815		-1.68037			5.95247
0.546815		-1.64276			5.84052
0.556815		-1.60637			5.73252
0.566815		-1.57113			5.62828
0.576815		-1.53698			5.52759
0.586815		-1.50387			5.43029
0.596815		-1.47173			5.33619
0.606815		-1.44053			5.24513
0.616815		-1.41022			5.15698
0.626815		-1.38074			5.07159
0.636815		-1.35207			4.98883
0.646815		-1.32417			4.90857
0.656815		-1.29699			4.83071
0.666815		-1.27051			4.75514
0.676815		-1.2447			4.68175
0.686815		-1.21952			4.61045
0.696815		-1.19495			4.54115
0.706815		-1.17095			4.47376
0.716815		-1.14752			4.40821
0.726815		-1.12461			4.34441
0.736815		-1.10221			4.28231
0.746815		-1.08031			4.22182
0.756815		-1.05887			4.16288
0.766815		-1.03788			4.10544
0.776815		-1.01732			4.04943
0.786815		-0.997171			3.9948
0.796815		-0.977424			3.94151
0.806815		-0.958059			3.88949
0.816815		-0.939061			3.8387
0.826815		-0.920417			3.7891
0.836815		-0.902114			3.74065
0.846815		-0.884137			3.6933
0.856815		-0.866476			3.64701
0.866815		-0.849118			3.60176
0.876815		-0.832052			3.55749
0.886815		-0.815268			3.51419
0.896815		-0.798755			3.47181
0.906815		-0.782505			3.43033
0.916815		-0.766506			3.38971
0.926815		-0.750751			3.34994
0.936815		-0.735231			3.31097
0.946815		-0.719937			3.2728
0.956815		-0.704862			3.23538
0.966815		-0.689998			3.1987
0.976815		-0.675338			3.16274
0.986815		-0.660874			3.12746
0.996815		-0.6466			3.09286
1.00681		-0.63251			3.05891
1.01681		-0.618597			3.0256
1.02681		-0.604855			2.9929
1.03681		-0.591278			2.96079
1.04681		-0.577861			2.92926
1.05681		-0.564598			2.8983
1.06681		-0.551484			2.86788
1.07681		-0.538513			2.83799
1.08681		-0.525682			2.80862
1.09681		-0.512985			2.77975
1.10681		-0.500418			2.75137
1.11681		-0.487975			2.72346
1.12681		-0.475654			2.69601
1.13681		-0.463449			2.66902
1.14681		-0.451357			2.64246
1.15681		-0.439373			2.61633
1.16681		-0.427495			2.59062
1.17681		-0.415717			2.56531
1.18681		-0.404037			2.54039
1.19681		-0.392451			2.51586
1.20681		-0.380955			2.4917
1.21681		-0.369547			2.46791
1.22681		-0.358223			2.44448
1.23681		-0.34698			2.42139
1.24681		-0.335814			2.39864
1.25681		-0.324723			2.37622
1.26681		-0.313704			2.35413
1.27681		-0.302754			2.33235
1.28681		-0.29187			2.31088
1.29681		-0.281049			2.2897
1.30681		-0.270289			2.26882
1.31681		-0.259587			2.24823
1.32681		-0.248941			2.22792
1.33681		-0.238347			2.20788
1.34681		-0.227804			2.18811
1.35681		-0.217309			2.1686
